#      Natural abundances
#  Z  A  El   abundance  uncert.
#               [%]       [%]
#-------------------------------
  50 116 Sn  14.540000  0.090000
  50 117 Sn   7.680000  0.070000
  50 118 Sn  24.220000  0.090000
  50 119 Sn   8.590000  0.040000
  50 120 Sn  32.580000  0.090000
  50 122 Sn   4.630000  0.030000
  50 124 Sn   5.790000  0.050000
  51 121 Sb  57.210000  0.050000
  51 123 Sb  42.790000  0.050000
  52 120 Te   0.090000  0.010000
  52 122 Te   2.550000  0.120000
  52 123 Te   0.890000  0.030000
  52 124 Te   4.740000  0.140000
  52 125 Te   7.070000  0.150000
  52 126 Te  18.840000  0.250000
  52 128 Te  31.740000  0.080000
  52 130 Te  34.080000  0.620000
  53 127 I  100.000000  0.000000
  54 124 Xe   0.095000  0.005000
  54 126 Xe   0.089000  0.003000
  54 128 Xe   1.910000  0.013000
  54 129 Xe  26.401000  0.138000
  54 130 Xe   4.071000  0.022000
  54 131 Xe  21.232000  0.051000
  54 132 Xe  26.909000  0.055000
  54 134 Xe  10.436000  0.035000
  54 136 Xe   8.857000  0.072000
  55 133 Cs 100.000000  0.000000
  56 130 Ba   0.110000  0.010000
  56 132 Ba   0.100000  0.010000
  56 134 Ba   2.420000  0.150000
  56 135 Ba   6.590000  0.100000
  56 136 Ba   7.850000  0.240000
  56 137 Ba  11.230000  0.230000
  56 138 Ba  71.700000  0.290000
  57 138 La   0.088810  0.000710
  57 139 La  99.911190  0.000710
  58 136 Ce   0.186000  0.002000
  58 138 Ce   0.251000  0.002000
  58 140 Ce  88.449000  0.051000
  58 142 Ce  11.114000  0.051000
  59 141 Pr 100.000000  0.000000
  60 142 Nd  27.153000  0.040000
  60 143 Nd  12.173000  0.026000
  60 144 Nd  23.798000  0.019000
  60 145 Nd   8.293000  0.012000
  60 146 Nd  17.189000  0.032000
  60 148 Nd   5.756000  0.021000
  60 150 Nd   5.638000  0.028000
  62 144 Sm   3.080000  0.040000
  62 147 Sm  15.000000  0.140000
  62 148 Sm  11.250000  0.090000
  62 149 Sm  13.820000  0.100000
  62 150 Sm   7.370000  0.090000
  62 152 Sm  26.740000  0.090000
  62 154 Sm  22.740000  0.140000
  63 151 Eu  47.810000  0.060000
  63 153 Eu  52.190000  0.060000
  64 152 Gd   0.200000  0.030000
  64 154 Gd   2.180000  0.020000
  64 155 Gd  14.800000  0.090000
  64 156 Gd  20.470000  0.030000
  64 157 Gd  15.650000  0.040000
  64 158 Gd  24.840000  0.080000
  64 160 Gd  21.860000  0.030000
  65 159 Tb 100.000000  0.000000
  66 156 Dy   0.056000  0.003000
  66 158 Dy   0.095000  0.003000
  66 160 Dy   2.329000  0.018000
  66 161 Dy  18.889000  0.042000
  66 162 Dy  25.475000  0.036000
  66 163 Dy  24.896000  0.042000
  66 164 Dy  28.260000  0.054000
  67 165 Ho 100.000000  0.000000
  68 162 Er   0.139000  0.005000
  68 164 Er   1.601000  0.003000
  68 166 Er  33.503000  0.036000
  68 167 Er  22.869000  0.009000
  68 168 Er  26.978000  0.018000
  68 170 Er  14.910000  0.036000
  69 169 Tm 100.000000  0.000000
  70 168 Yb   0.123000  0.003000
  70 170 Yb   2.982000  0.039000
  70 171 Yb  14.086000  0.140000
  70 172 Yb  21.686000  0.130000
  70 173 Yb  16.103000  0.063000
  70 174 Yb  32.025000  0.080000
  70 176 Yb  12.995000  0.083000
  71 175 Lu  97.401000  0.013000
  71 176 Lu   2.599000  0.013000
  72 174 Hf   0.160000  0.120000
  72 176 Hf   5.260000  0.700000
  72 177 Hf  18.600000  0.160000
  72 178 Hf  27.280000  0.280000
  72 179 Hf  13.620000  0.110000
  72 180 Hf  35.080000  0.330000
  73 180 Ta   0.012010  0.000320
  73 181 Ta  99.987990  0.000320
  74 180 W    0.120000  0.010000
  74 182 W   26.500000  0.160000
  74 183 W   14.310000  0.040000
  74 184 W   30.640000  0.020000
  74 186 W   28.430000  0.190000
  75 185 Re  37.400000  0.050000
  75 187 Re  62.600000  0.050000
  76 184 Os   0.020000  0.020000
  76 186 Os   1.590000  0.640000
  76 187 Os   1.960000  0.170000
  76 188 Os  13.240000  0.270000
  76 189 Os  16.150000  0.230000
  76 190 Os  26.260000  0.200000
  76 192 Os  40.780000  0.320000
  77 191 Ir  37.300000  0.200000
  77 193 Ir  62.700000  0.200000
  78 190 Pt   0.012000  0.002000
  78 192 Pt   0.782000  0.024000
  78 194 Pt  32.864000  0.410000
  78 195 Pt  33.775000  0.240000
  78 196 Pt  25.211000  0.340000
  78 198 Pt   7.356000  0.130000
  79 197 Au 100.000000  0.000000
  80 196 Hg   0.150000  0.010000
  80 198 Hg  10.040000  0.030000
  80 199 Hg  16.940000  0.120000
  80 200 Hg  23.140000  0.090000
  80 201 Hg  13.170000  0.090000
  80 202 Hg  29.740000  0.130000
  80 204 Hg   6.820000  0.040000
  81 203 Tl  29.515000  0.044000
  81 205 Tl  70.485000  0.044000
  82 204 Pb   1.400000  0.600000
  82 206 Pb  24.100000  3.000000
  82 207 Pb  22.100000  5.000000
  82 208 Pb  52.400000  7.000000
  83 209 Bi 100.000000  0.000000
  90 230 Th   0.020000  0.020000
  90 232 Th  99.980000  0.020000
  91 231 Pa 100.000000  0.000000
  92 234 U    0.005400  0.000500
  92 235 U    0.720400  0.000600
  92 238 U   99.274200  0.001000
