#
#  Z   A s fl     Mexp      Err 
#                 [MeV]    [MeV] 
#----------------------------------
   0   1 n  2     8.071     0.000
   6  19 C  2    32.414     0.098
   6  20 C  2    37.504     0.231
   6  21 C  1    45.643     0.596
   6  22 C  2    53.611     0.231
   6  23 C  1    64.171     0.997
   7  10 N  2    38.800     0.400
   7  11 N  2    24.366     0.005
   7  12 N  2    17.338     0.001
   7  13 N  2     5.345     0.000
   7  14 N  2     2.863     0.000
   7  15 N  2     0.101     0.000
   7  16 N  2     5.684     0.002
   7  17 N  2     7.870     0.015
   7  18 N  2    13.113     0.019
   7  19 N  2    15.856     0.016
   7  20 N  2    21.766     0.079
   7  21 N  2    25.232     0.134
   7  22 N  2    31.765     0.208
   7  23 N  2    36.720     0.421
   7  24 N  1    46.938     0.401
   7  25 N  1    55.983     0.503
   8  11 O  2    47.739     0.060
   8  12 O  2    32.013     0.012
   8  13 O  2    23.115     0.010
   8  14 O  2     8.008     0.000
   8  15 O  2     2.856     0.000
   8  16 O  2    -4.737     0.000
   8  17 O  2    -0.809     0.000
   8  18 O  2    -0.783     0.000
   8  19 O  2     3.333     0.003
   8  20 O  2     3.796     0.001
   8  21 O  2     8.062     0.012
   8  22 O  2     9.283     0.057
   8  23 O  2    14.621     0.122
   8  24 O  2    18.500     0.165
   8  25 O  2    27.329     0.165
   8  26 O  2    34.661     0.165
   8  27 O  1    44.670     0.500
   8  28 O  1    52.080     0.699
   9  13 F  1    42.030     0.500
   9  14 F  2    31.964     0.041
   9  15 F  2    16.567     0.014
   9  16 F  2    10.675     0.005
   9  17 F  2     1.952     0.000
   9  18 F  2     0.873     0.000
   9  19 F  2    -1.487     0.000
   9  20 F  2    -0.017     0.000
   9  21 F  2    -0.048     0.002
   9  22 F  2     2.793     0.012
   9  23 F  2     3.285     0.033
   9  24 F  2     7.545     0.098
   9  25 F  2    11.334     0.096
   9  26 F  2    18.675     0.107
   9  27 F  2    25.133     0.120
   9  28 F  2    33.404     0.120
   9  29 F  2    40.150     0.525
   9  30 F  1    48.960     0.500
   9  31 F  1    56.843     0.535
  10  15 Ne 2    40.215     0.067
  10  16 Ne 2    23.987     0.020
  10  17 Ne 2    16.500     0.000
  10  18 Ne 2     5.318     0.000
  10  19 Ne 2     1.752     0.000
  10  20 Ne 2    -7.042     0.000
  10  21 Ne 2    -5.732     0.000
  10  22 Ne 2    -8.025     0.000
  10  23 Ne 2    -5.154     0.000
  10  24 Ne 2    -5.952     0.001
  10  25 Ne 2    -2.036     0.029
  10  26 Ne 2     0.481     0.018
  10  27 Ne 2     7.051     0.091
  10  28 Ne 2    11.300     0.126
  10  29 Ne 2    18.400     0.150
  10  30 Ne 2    23.280     0.253
  10  31 Ne 2    31.182     0.266
  10  32 Ne 1    36.999     0.503
  10  33 Ne 1    46.130     0.600
  10  34 Ne 1    52.842     0.513
  11  17 Na 2    34.720     0.060
  11  18 Na 2    25.038     0.094
  11  19 Na 2    12.929     0.011
  11  20 Na 2     6.850     0.001
  11  21 Na 2    -2.185     0.000
  11  22 Na 2    -5.181     0.000
  11  23 Na 2    -9.530     0.000
  11  24 Na 2    -8.418     0.000
  11  25 Na 2    -9.358     0.001
  11  26 Na 2    -6.861     0.004
  11  27 Na 2    -5.518     0.004
  11  28 Na 2    -0.988     0.010
  11  29 Na 2     2.680     0.007
  11  30 Na 2     8.475     0.005
  11  31 Na 2    12.246     0.014
  11  32 Na 2    18.640     0.037
  11  33 Na 2    23.780     0.450
  11  34 Na 2    31.680     0.599
  11  35 Na 1    37.831     0.670
  11  36 Na 1    45.903     0.687
  11  37 Na 1    53.134     0.687
  11  38 Na 1    61.905     0.715
  11  39 Na 1    69.977     0.743
  12  19 MG 2    31.838     0.060
  12  20 MG 2    17.478     0.002
  12  21 MG 2    10.904     0.001
  12  22 MG 2    -0.400     0.000
  12  23 MG 2    -5.474     0.000
  12  24 MG 2   -13.934     0.000
  12  25 MG 2   -13.193     0.000
  12  26 MG 2   -16.215     0.000
  12  27 MG 2   -14.587     0.000
  12  28 MG 2   -15.020     0.000
  12  29 MG 2   -10.612     0.000
  12  30 MG 2    -8.881     0.001
  12  31 MG 2    -3.122     0.003
  12  32 MG 2    -0.829     0.003
  12  33 MG 2     4.963     0.003
  12  34 MG 2     8.323     0.007
  12  35 MG 2    15.640     0.270
  12  36 MG 2    20.380     0.690
  12  37 MG 2    28.211     0.699
  12  38 MG 1    34.074     0.503
  12  39 MG 1    42.775     0.513
  12  40 MG 1    49.550     0.500
  12  41 MG 1    58.100     0.500
  13  21 Al 1    27.090     0.600
  13  22 Al 1    18.201     0.401
  13  23 Al 2     6.748     0.000
  13  24 Al 2    -0.049     0.000
  13  25 Al 2    -8.916     0.000
  13  26 Al 2   -12.210     0.000
  13  27 Al 2   -17.197     0.000
  13  28 Al 2   -16.851     0.000
  13  29 Al 2   -18.208     0.000
  13  30 Al 2   -15.864     0.002
  13  31 Al 2   -14.951     0.002
  13  32 Al 2   -11.099     0.007
  13  33 Al 2    -8.497     0.007
  13  34 Al 2    -2.998     0.002
  13  35 Al 2    -0.224     0.007
  13  36 Al 2     5.950     0.150
  13  37 Al 2     9.810     0.180
  13  38 Al 1    16.470     0.150
  13  39 Al 1    21.490     0.300
  13  40 Al 1    28.820     0.300
  13  41 Al 1    34.590     0.400
  13  42 Al 1    41.990     0.500
  13  43 Al 1    48.270     0.600
  14  22 Si 1    33.640     0.500
  14  23 Si 1    23.950     0.500
  14  24 Si 2    10.745     0.019
  14  25 Si 2     3.827     0.010
  14  26 Si 2    -7.141     0.000
  14  27 Si 2   -12.385     0.000
  14  28 Si 2   -21.493     0.000
  14  29 Si 2   -21.895     0.000
  14  30 Si 2   -24.433     0.000
  14  31 Si 2   -22.949     0.000
  14  32 Si 2   -24.078     0.000
  14  33 Si 2   -20.514     0.001
  14  34 Si 2   -19.992     0.001
  14  35 Si 2   -14.391     0.036
  14  36 Si 2   -12.436     0.072
  14  37 Si 2    -6.572     0.114
  14  38 Si 2    -4.170     0.105
  14  39 Si 2     2.320     0.136
  14  40 Si 2     5.667     0.122
  14  41 Si 1    13.200     0.300
  14  42 Si 1    16.840     0.300
  14  43 Si 1    24.330     0.400
  14  44 Si 1    29.310     0.500
  14  45 Si 1    37.090     0.600
  15  24 P  1    34.020     0.500
  15  25 P  1    20.190     0.400
  15  26 P  1    10.973     0.196
  15  27 P  2    -0.659     0.009
  15  28 P  2    -7.148     0.001
  15  29 P  2   -16.953     0.000
  15  30 P  2   -20.201     0.000
  15  31 P  2   -24.441     0.000
  15  32 P  2   -24.305     0.000
  15  33 P  2   -26.337     0.001
  15  34 P  2   -24.549     0.001
  15  35 P  2   -24.858     0.002
  15  36 P  2   -20.251     0.013
  15  37 P  2   -18.996     0.038
  15  38 P  2   -14.622     0.073
  15  39 P  2   -12.775     0.113
  15  40 P  2    -8.139     0.084
  15  41 P  2    -4.980     0.120
  15  42 P  2     1.092     0.095
  15  43 P  1     5.040     0.300
  15  44 P  1    11.110     0.400
  15  45 P  1    15.960     0.500
  15  46 P  1    22.840     0.500
  15  47 P  1    28.810     0.600
  16  26 S  1    27.680     0.600
  16  27 S  1    17.491     0.400
  16  28 S  2     4.073     0.160
  16  29 S  2    -3.094     0.013
  16  30 S  2   -14.059     0.000
  16  31 S  2   -19.043     0.000
  16  32 S  2   -26.016     0.000
  16  33 S  2   -26.586     0.000
  16  34 S  2   -29.932     0.000
  16  35 S  2   -28.846     0.000
  16  36 S  2   -30.664     0.000
  16  37 S  2   -26.896     0.000
  16  38 S  2   -26.861     0.007
  16  39 S  2   -23.163     0.050
  16  40 S  2   -22.838     0.004
  16  41 S  2   -19.009     0.004
  16  42 S  2   -17.638     0.003
  16  43 S  2   -12.195     0.005
  16  44 S  2    -9.204     0.005
  16  45 S  1    -3.340     0.300
  16  46 S  1     0.640     0.400
  16  47 S  1     7.200     0.400
  16  48 S  1    12.390     0.500
  16  49 S  1    20.391     0.583
  17  28 Cl 1    28.270     0.500
  17  29 Cl 1    14.022     0.189
  17  30 Cl 2     4.675     0.024
  17  31 Cl 2    -7.035     0.003
  17  32 Cl 2   -13.335     0.001
  17  33 Cl 2   -21.003     0.000
  17  34 Cl 2   -24.440     0.000
  17  35 Cl 2   -29.014     0.000
  17  36 Cl 2   -29.522     0.000
  17  37 Cl 2   -31.762     0.000
  17  38 Cl 2   -29.798     0.000
  17  39 Cl 2   -29.800     0.002
  17  40 Cl 2   -27.558     0.032
  17  41 Cl 2   -27.307     0.069
  17  42 Cl 2   -24.832     0.060
  17  43 Cl 2   -24.160     0.062
  17  44 Cl 2   -20.479     0.086
  17  45 Cl 2   -18.263     0.136
  17  46 Cl 2   -13.735     0.097
  17  47 Cl 1    -9.580     0.200
  17  48 Cl 1    -4.280     0.500
  17  49 Cl 1     0.740     0.400
  17  50 Cl 1     7.700     0.400
  17  51 Cl 1    14.290     0.700
  17  52 Cl 1    22.360     0.700
  18  29 Ar 1    37.969     0.439
  18  30 Ar 1    22.071     0.179
  18  31 Ar 1    11.325     0.200
  18  32 Ar 2    -2.200     0.002
  18  33 Ar 2    -9.384     0.000
  18  34 Ar 2   -18.378     0.000
  18  35 Ar 2   -23.047     0.001
  18  36 Ar 2   -30.232     0.000
  18  37 Ar 2   -30.948     0.000
  18  38 Ar 2   -34.715     0.000
  18  39 Ar 2   -33.242     0.005
  18  40 Ar 2   -35.040     0.000
  18  41 Ar 2   -33.068     0.000
  18  42 Ar 2   -34.423     0.006
  18  43 Ar 2   -32.010     0.005
  18  44 Ar 2   -32.673     0.002
  18  45 Ar 2   -29.771     0.001
  18  46 Ar 2   -29.771     0.002
  18  47 Ar 2   -25.367     0.001
  18  48 Ar 2   -22.355     0.017
  18  49 Ar 1   -17.060     0.400
  18  50 Ar 1   -13.230     0.500
  18  51 Ar 1    -6.490     0.400
  18  52 Ar 1    -1.380     0.600
  18  53 Ar 1     6.791     0.699
  18  54 Ar 1    12.560     0.800
  19  31 K  1    34.260     0.300
  19  32 K  1    21.990     0.400
  19  33 K  1     7.540     0.200
  19  34 K  1    -1.220     0.196
  19  35 K  2   -11.173     0.001
  19  36 K  2   -17.417     0.000
  19  37 K  2   -24.800     0.000
  19  38 K  2   -28.801     0.000
  19  39 K  2   -33.807     0.000
  19  40 K  2   -33.535     0.000
  19  41 K  2   -35.560     0.000
  19  42 K  2   -35.022     0.000
  19  43 K  2   -36.575     0.000
  19  44 K  2   -35.781     0.000
  19  45 K  2   -36.616     0.001
  19  46 K  2   -35.414     0.001
  19  47 K  2   -35.712     0.001
  19  48 K  2   -32.284     0.001
  19  49 K  2   -29.611     0.001
  19  50 K  2   -25.728     0.008
  19  51 K  2   -22.515     0.013
  19  52 K  2   -17.138     0.034
  19  53 K  2   -12.296     0.112
  19  54 K  1    -5.150     0.400
  19  55 K  1     0.470     0.500
  19  56 K  1     7.980     0.600
  19  57 K  1    14.130     0.600
  19  58 K  1    21.930     0.700
  19  59 K  1    28.750     0.800
  20  33 Ca 1    31.030     0.400
  20  34 Ca 1    14.890     0.300
  20  35 Ca 1     5.190     0.200
  20  36 Ca 2    -6.451     0.040
  20  37 Ca 2   -13.136     0.001
  20  38 Ca 2   -22.059     0.000
  20  39 Ca 2   -27.283     0.001
  20  40 Ca 2   -34.846     0.000
  20  41 Ca 2   -35.138     0.000
  20  42 Ca 2   -38.547     0.000
  20  43 Ca 2   -38.409     0.000
  20  44 Ca 2   -41.469     0.000
  20  45 Ca 2   -40.812     0.000
  20  46 Ca 2   -43.140     0.002
  20  47 Ca 2   -42.345     0.002
  20  48 Ca 2   -44.225     0.000
  20  49 Ca 2   -41.300     0.000
  20  50 Ca 2   -39.589     0.002
  20  51 Ca 2   -36.332     0.001
  20  52 Ca 2   -34.266     0.001
  20  53 Ca 2   -29.388     0.044
  20  54 Ca 2   -25.161     0.048
  20  55 Ca 2   -18.650     0.160
  20  56 Ca 2   -13.510     0.250
  20  57 Ca 1    -6.560     0.400
  20  58 Ca 1    -1.530     0.500
  20  59 Ca 1     5.810     0.600
  20  60 Ca 1    11.000     0.700
  20  61 Ca 1    19.010     0.800
  21  35 Sc 1    27.100     0.400
  21  36 Sc 1    16.150     0.300
  21  37 Sc 1     3.780     0.300
  21  38 Sc 1    -4.249     0.200
  21  39 Sc 2   -14.173     0.024
  21  40 Sc 2   -20.523     0.003
  21  41 Sc 2   -28.642     0.000
  21  42 Sc 2   -32.121     0.000
  21  43 Sc 2   -36.188     0.002
  21  44 Sc 2   -37.816     0.002
  21  45 Sc 2   -41.072     0.001
  21  46 Sc 2   -41.762     0.001
  21  47 Sc 2   -44.337     0.002
  21  48 Sc 2   -44.504     0.005
  21  49 Sc 2   -46.562     0.002
  21  50 Sc 2   -44.537     0.003
  21  51 Sc 2   -43.250     0.003
  21  52 Sc 2   -40.524     0.003
  21  53 Sc 2   -38.770     0.018
  21  54 Sc 2   -34.438     0.014
  21  55 Sc 2   -30.842     0.062
  21  56 Sc 2   -25.516     0.260
  21  57 Sc 2   -21.380     0.180
  21  58 Sc 2   -15.480     0.190
  21  59 Sc 2   -10.830     0.250
  21  60 Sc 1    -4.550     0.500
  21  61 Sc 1     0.500     0.600
  21  62 Sc 1     7.310     0.600
  21  63 Sc 1    13.070     0.700
  22  37 Ti 1    25.170     0.400
  22  38 Ti 1    11.370     0.300
  22  39 Ti 1     2.500     0.200
  22  40 Ti 2    -8.993     0.068
  22  41 Ti 2   -15.698     0.028
  22  42 Ti 2   -25.104     0.000
  22  43 Ti 2   -29.316     0.006
  22  44 Ti 2   -37.549     0.001
  22  45 Ti 2   -39.010     0.001
  22  46 Ti 2   -44.128     0.000
  22  47 Ti 2   -44.938     0.000
  22  48 Ti 2   -48.493     0.000
  22  49 Ti 2   -48.564     0.000
  22  50 Ti 2   -51.432     0.000
  22  51 Ti 2   -49.733     0.000
  22  52 Ti 2   -49.478     0.003
  22  53 Ti 2   -46.881     0.003
  22  54 Ti 2   -45.744     0.016
  22  55 Ti 2   -41.832     0.029
  22  56 Ti 2   -39.423     0.100
  22  57 Ti 2   -34.402     0.206
  22  58 Ti 2   -30.918     0.183
  22  59 Ti 1   -25.880     0.300
  22  60 Ti 2   -22.100     0.240
  22  61 Ti 1   -16.370     0.300
  22  62 Ti 1   -12.200     0.400
  22  63 Ti 1    -5.860     0.500
  22  64 Ti 1    -1.480     0.600
  22  65 Ti 1     5.210     0.700
  23  39 V  1    22.570     0.400
  23  40 V  1    12.470     0.300
  23  41 V  1     0.310     0.200
  23  42 V  1    -7.620     0.196
  23  43 V  2   -17.916     0.043
  23  44 V  2   -23.808     0.007
  23  45 V  2   -31.886     0.001
  23  46 V  2   -37.076     0.000
  23  47 V  2   -42.007     0.000
  23  48 V  2   -44.478     0.001
  23  49 V  2   -47.962     0.001
  23  50 V  2   -49.223     0.000
  23  51 V  2   -52.203     0.000
  23  52 V  2   -51.443     0.000
  23  53 V  2   -51.852     0.003
  23  54 V  2   -49.898     0.011
  23  55 V  2   -49.125     0.027
  23  56 V  2   -46.183     0.176
  23  57 V  2   -44.435     0.085
  23  58 V  2   -40.431     0.096
  23  59 V  2   -37.611     0.137
  23  60 V  2   -33.087     0.182
  23  61 V  2   -30.177     0.235
  23  62 V  2   -25.213     0.264
  23  63 V  2   -21.740     0.340
  23  64 V  1   -16.320     0.400
  23  65 V  1   -12.110     0.500
  23  66 V  1    -6.300     0.500
  23  67 V  1    -1.744     0.600
  24  41 Cr 1    20.410     0.400
  24  42 Cr 1     7.060     0.300
  24  43 Cr 1    -1.970     0.200
  24  44 Cr 2   -13.422     0.051
  24  45 Cr 2   -19.515     0.035
  24  46 Cr 2   -29.472     0.011
  24  47 Cr 2   -34.563     0.005
  24  48 Cr 2   -42.821     0.007
  24  49 Cr 2   -45.332     0.002
  24  50 Cr 2   -50.261     0.000
  24  51 Cr 2   -51.451     0.000
  24  52 Cr 2   -55.420     0.000
  24  53 Cr 2   -55.288     0.000
  24  54 Cr 2   -56.935     0.000
  24  55 Cr 2   -55.110     0.000
  24  56 Cr 2   -55.285     0.001
  24  57 Cr 2   -52.525     0.002
  24  58 Cr 2   -51.992     0.003
  24  59 Cr 2   -48.116     0.001
  24  60 Cr 2   -46.909     0.001
  24  61 Cr 2   -42.497     0.002
  24  62 Cr 2   -40.853     0.003
  24  63 Cr 2   -36.178     0.073
  24  64 Cr 2   -33.640     0.300
  24  65 Cr 1   -28.310     0.200
  24  66 Cr 1   -25.140     0.300
  24  67 Cr 1   -19.270     0.400
  24  68 Cr 1   -15.690     0.500
  24  69 Cr 1    -9.630     0.500
  24  70 Cr 1    -5.640     0.600
  25  43 Mn 1    17.370     0.400
  25  44 Mn 1     7.460     0.300
  25  45 Mn 1    -4.980     0.300
  25  46 Mn 2   -12.418     0.087
  25  47 Mn 2   -22.566     0.032
  25  48 Mn 2   -29.297     0.007
  25  49 Mn 2   -37.620     0.002
  25  50 Mn 2   -42.627     0.000
  25  51 Mn 2   -48.243     0.000
  25  52 Mn 2   -50.711     0.000
  25  53 Mn 2   -54.690     0.000
  25  54 Mn 2   -55.558     0.001
  25  55 Mn 2   -57.713     0.000
  25  56 Mn 2   -56.912     0.000
  25  57 Mn 2   -57.486     0.002
  25  58 Mn 2   -55.828     0.003
  25  59 Mn 2   -55.525     0.002
  25  60 Mn 2   -52.968     0.002
  25  61 Mn 2   -51.742     0.002
  25  62 Mn 2   -48.524     0.007
  25  63 Mn 2   -46.887     0.004
  25  64 Mn 2   -42.989     0.004
  25  65 Mn 2   -40.967     0.004
  25  66 Mn 2   -36.750     0.011
  25  67 Mn 1   -33.580     0.200
  25  68 Mn 1   -28.920     0.300
  25  69 Mn 1   -25.360     0.400
  25  70 Mn 1   -20.450     0.500
  25  71 Mn 1   -16.620     0.500
  25  72 Mn 1   -11.170     0.600
  25  73 Mn 1    -6.700     0.600
  26  45 Fe 1    14.408     0.283
  26  46 Fe 1     1.210     0.300
  26  47 Fe 1    -7.130     0.500
  26  48 Fe 2   -18.009     0.092
  26  49 Fe 2   -24.751     0.024
  26  50 Fe 2   -34.476     0.008
  26  51 Fe 2   -40.189     0.001
  26  52 Fe 2   -48.332     0.000
  26  53 Fe 2   -50.947     0.002
  26  54 Fe 2   -56.255     0.000
  26  55 Fe 2   -57.481     0.000
  26  56 Fe 2   -60.607     0.000
  26  57 Fe 2   -60.182     0.000
  26  58 Fe 2   -62.155     0.000
  26  59 Fe 2   -60.665     0.000
  26  60 Fe 2   -61.413     0.003
  26  61 Fe 2   -58.921     0.003
  26  62 Fe 2   -58.878     0.003
  26  63 Fe 2   -55.636     0.004
  26  64 Fe 2   -54.970     0.005
  26  65 Fe 2   -51.218     0.005
  26  66 Fe 2   -50.068     0.004
  26  67 Fe 2   -45.708     0.004
  26  68 Fe 1   -43.897     0.193
  26  69 Fe 1   -39.199     0.200
  26  70 Fe 1   -36.890     0.300
  26  71 Fe 1   -31.930     0.400
  26  72 Fe 1   -29.250     0.500
  26  73 Fe 1   -23.990     0.500
  26  74 Fe 1   -20.660     0.500
  26  75 Fe 1   -14.700     0.600
  26  76 Fe 1   -10.590     0.600
  27  47 Co 1    10.620     0.600
  27  48 Co 1     1.730     0.500
  27  49 Co 1    -9.780     0.500
  27  50 Co 2   -17.589     0.126
  27  51 Co 2   -27.342     0.048
  27  52 Co 2   -34.344     0.005
  27  53 Co 2   -42.659     0.002
  27  54 Co 2   -48.010     0.000
  27  55 Co 2   -54.030     0.000
  27  56 Co 2   -56.041     0.000
  27  57 Co 2   -59.346     0.001
  27  58 Co 2   -59.847     0.001
  27  59 Co 2   -62.230     0.000
  27  60 Co 2   -61.650     0.000
  27  61 Co 2   -62.898     0.001
  27  62 Co 2   -61.424     0.019
  27  63 Co 2   -61.852     0.019
  27  64 Co 2   -59.792     0.020
  27  65 Co 2   -59.185     0.002
  27  66 Co 2   -56.409     0.014
  27  67 Co 2   -55.322     0.006
  27  68 Co 2   -51.643     0.004
  27  69 Co 2   -50.385     0.086
  27  70 Co 2   -46.525     0.011
  27  71 Co 2   -44.370     0.465
  27  72 Co 1   -40.300     0.300
  27  73 Co 1   -37.970     0.300
  27  74 Co 1   -33.540     0.400
  27  75 Co 1   -30.560     0.400
  27  76 Co 1   -25.660     0.500
  27  77 Co 1   -21.910     0.600
  27  78 Co 1   -15.320     0.700
  28  48 Ni 1    18.178     0.424
  28  49 Ni 1     8.530     0.600
  28  50 Ni 1    -3.460     0.500
  28  51 Ni 1   -11.650     0.500
  28  52 Ni 2   -22.560     0.083
  28  53 Ni 2   -29.631     0.025
  28  54 Ni 2   -39.278     0.005
  28  55 Ni 2   -45.336     0.001
  28  56 Ni 2   -53.908     0.000
  28  57 Ni 2   -56.084     0.001
  28  58 Ni 2   -60.229     0.000
  28  59 Ni 2   -61.157     0.000
  28  60 Ni 2   -64.473     0.000
  28  61 Ni 2   -64.222     0.000
  28  62 Ni 2   -66.746     0.000
  28  63 Ni 2   -65.513     0.000
  28  64 Ni 2   -67.099     0.000
  28  65 Ni 2   -65.126     0.000
  28  66 Ni 2   -66.006     0.001
  28  67 Ni 2   -63.743     0.003
  28  68 Ni 2   -63.464     0.003
  28  69 Ni 2   -59.979     0.004
  28  70 Ni 2   -59.214     0.002
  28  71 Ni 2   -55.406     0.002
  28  72 Ni 2   -54.226     0.002
  28  73 Ni 2   -50.108     0.002
  28  74 Ni 1   -48.700     0.200
  28  75 Ni 1   -44.240     0.200
  28  76 Ni 1   -42.190     0.300
  28  77 Ni 1   -37.350     0.400
  28  78 Ni 1   -34.880     0.400
  28  79 Ni 1   -28.160     0.500
  28  80 Ni 1   -23.240     0.600
  28  81 Ni 1   -16.090     0.700
  28  82 Ni 1   -10.720     0.800
  29  52 Cu 1    -1.880     0.600
  29  53 Cu 1   -13.140     0.500
  29  54 Cu 1   -21.240     0.400
  29  55 Cu 2   -31.635     0.156
  29  56 Cu 2   -38.630     0.006
  29  57 Cu 2   -47.309     0.001
  29  58 Cu 2   -51.668     0.001
  29  59 Cu 2   -56.358     0.001
  29  60 Cu 2   -58.345     0.002
  29  61 Cu 2   -61.984     0.001
  29  62 Cu 2   -62.788     0.001
  29  63 Cu 2   -65.580     0.000
  29  64 Cu 2   -65.424     0.000
  29  65 Cu 2   -67.264     0.001
  29  66 Cu 2   -66.258     0.001
  29  67 Cu 2   -67.320     0.001
  29  68 Cu 2   -65.567     0.002
  29  69 Cu 2   -65.736     0.001
  29  70 Cu 2   -62.976     0.001
  29  71 Cu 2   -62.711     0.001
  29  72 Cu 2   -59.783     0.001
  29  73 Cu 2   -58.987     0.002
  29  74 Cu 2   -56.006     0.006
  29  75 Cu 2   -54.470     0.001
  29  76 Cu 2   -50.982     0.001
  29  77 Cu 2   -48.863     0.001
  29  78 Cu 2   -44.789     0.013
  29  79 Cu 2   -42.408     0.105
  29  80 Cu 1   -36.679     0.300
  29  81 Cu 1   -31.910     0.300
  29  82 Cu 1   -25.730     0.400
  29  83 Cu 1   -20.390     0.500
  29  84 Cu 1   -13.720     0.500
  30  54 Zn 1    -5.702     0.217
  30  55 Zn 1   -14.270     0.400
  30  56 Zn 1   -25.390     0.400
  30  57 Zn 1   -32.550     0.200
  30  58 Zn 2   -42.299     0.050
  30  59 Zn 2   -47.216     0.001
  30  60 Zn 2   -54.174     0.001
  30  61 Zn 2   -56.349     0.016
  30  62 Zn 2   -61.168     0.001
  30  63 Zn 2   -62.213     0.002
  30  64 Zn 2   -66.004     0.001
  30  65 Zn 2   -65.912     0.001
  30  66 Zn 2   -68.899     0.001
  30  67 Zn 2   -67.880     0.001
  30  68 Zn 2   -70.007     0.001
  30  69 Zn 2   -68.418     0.001
  30  70 Zn 2   -69.565     0.002
  30  71 Zn 2   -67.329     0.003
  30  72 Zn 2   -68.145     0.002
  30  73 Zn 2   -65.593     0.002
  30  74 Zn 2   -65.757     0.003
  30  75 Zn 2   -62.559     0.002
  30  76 Zn 2   -62.303     0.001
  30  77 Zn 2   -58.789     0.002
  30  78 Zn 2   -57.483     0.002
  30  79 Zn 2   -53.432     0.002
  30  80 Zn 2   -51.649     0.003
  30  81 Zn 2   -46.200     0.005
  30  82 Zn 2   -42.314     0.003
  30  83 Zn 1   -36.290     0.300
  30  84 Zn 1   -31.830     0.400
  30  85 Zn 1   -25.100     0.500
  30  86 Zn 1   -20.062     0.500
  31  56 Ga 1    -3.840     0.500
  31  57 Ga 1   -15.410     0.400
  31  58 Ga 1   -23.540     0.300
  31  59 Ga 1   -33.760     0.170
  31  60 Ga 1   -39.590     0.200
  31  61 Ga 2   -47.135     0.038
  31  62 Ga 2   -51.987     0.001
  31  63 Ga 2   -56.547     0.001
  31  64 Ga 2   -58.833     0.001
  31  65 Ga 2   -62.657     0.001
  31  66 Ga 2   -63.724     0.001
  31  67 Ga 2   -66.879     0.001
  31  68 Ga 2   -67.086     0.001
  31  69 Ga 2   -69.328     0.001
  31  70 Ga 2   -68.910     0.001
  31  71 Ga 2   -70.139     0.001
  31  72 Ga 2   -68.588     0.001
  31  73 Ga 2   -69.699     0.002
  31  74 Ga 2   -68.050     0.003
  31  75 Ga 2   -68.461     0.001
  31  76 Ga 2   -66.297     0.002
  31  77 Ga 2   -65.992     0.002
  31  78 Ga 2   -63.704     0.001
  31  79 Ga 2   -62.548     0.001
  31  80 Ga 2   -59.224     0.003
  31  81 Ga 2   -57.628     0.003
  31  82 Ga 2   -52.931     0.002
  31  83 Ga 2   -49.257     0.003
