                    *********************************************************************************
                    *  Z= 66 A=157: Positive-Parity Spin-dependent Level Density [MeV-1] for DY157  *
   2.25  0.397  1.76E+02 4.28E+02 3.84E+03 3.02E+01 5.68E+01 7.52E+01 7.50E+01 6.47E+01 4.71E+01 3.62E+01 2.09E+01 1.32E+01 2.56E+00 1.28E+00 2.56E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.419  3.11E+02 6.48E+02 5.90E+03 4.69E+01 9.03E+01 1.06E+02 1.01E+02 9.74E+01 7.61E+01 5.75E+01 3.64E+01 1.96E+01 8.96E+00 2.56E+00 2.56E+00 2.95E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.439  5.34E+02 1.14E+03 1.10E+04 7.38E+01 1.45E+02 1.71E+02 1.71E+02 1.62E+02 1.34E+02 1.23E+02 7.30E+01 4.14E+01 2.55E+01 1.28E+01 3.84E+00 4.23E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.458  8.91E+02 1.71E+03 1.68E+04 1.01E+02 2.04E+02 2.64E+02 2.61E+02 2.37E+02 2.02E+02 1.68E+02 1.19E+02 7.00E+01 4.42E+01 2.30E+01 7.68E+00 4.23E+00 3.84E+00 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.477  1.47E+03 2.93E+03 2.99E+04 1.61E+02 3.12E+02 4.21E+02 4.22E+02 4.25E+02 3.66E+02 2.97E+02 2.07E+02 1.51E+02 8.10E+01 4.57E+01 2.47E+01 6.43E+00 4.23E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.495  2.35E+03 4.11E+03 4.23E+04 2.22E+02 4.46E+02 5.82E+02 6.03E+02 5.69E+02 4.97E+02 4.38E+02 2.97E+02 1.92E+02 1.30E+02 7.59E+01 3.25E+01 1.58E+01 5.51E+00 3.84E+00 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.513  3.73E+03 6.96E+03 7.24E+04 3.91E+02 7.57E+02 9.56E+02 1.00E+03 9.54E+02 8.20E+02 7.15E+02 5.16E+02 3.62E+02 2.15E+02 1.44E+02 7.09E+01 3.41E+01 1.32E+01 5.12E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.529  5.84E+03 9.86E+03 1.03E+05 5.53E+02 1.03E+03 1.36E+03 1.45E+03 1.35E+03 1.15E+03 9.96E+02 7.16E+02 5.15E+02 3.25E+02 2.04E+02 1.16E+02 5.45E+01 2.47E+01 5.51E+00 2.56E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.546  9.20E+03 1.70E+04 1.79E+05 9.43E+02 1.82E+03 2.36E+03 2.43E+03 2.33E+03 2.01E+03 1.72E+03 1.23E+03 8.76E+02 5.79E+02 3.41E+02 2.04E+02 1.10E+02 4.43E+01 1.96E+01 5.12E+00 3.84E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.562  1.44E+04 2.47E+04 2.60E+05 1.33E+03 2.58E+03 3.39E+03 3.60E+03 3.41E+03 2.90E+03 2.49E+03 1.76E+03 1.26E+03 8.38E+02 5.37E+02 2.94E+02 1.77E+02 7.70E+01 2.96E+01 8.07E+00 3.84E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.577  2.28E+04 4.27E+04 4.56E+05 2.26E+03 4.36E+03 5.74E+03 6.04E+03 5.91E+03 5.15E+03 4.41E+03 3.14E+03 2.22E+03 1.46E+03 9.39E+02 5.52E+02 2.99E+02 1.59E+02 6.15E+01 2.38E+01 6.79E+00 3.84E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.592  3.58E+04 6.12E+04 6.59E+05 3.10E+03 6.02E+03 8.08E+03 8.76E+03 8.53E+03 7.36E+03 6.41E+03 4.58E+03 3.25E+03 2.14E+03 1.37E+03 8.01E+02 4.48E+02 2.39E+02 1.02E+02 3.70E+01 1.10E+01 3.84E+00 2.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.621  8.83E+04 1.49E+05 1.64E+06 7.24E+03 1.40E+04 1.88E+04 2.07E+04 2.04E+04 1.79E+04 1.58E+04 1.17E+04 8.44E+03 5.64E+03 3.62E+03 2.10E+03 1.22E+03 6.63E+02 3.04E+02 1.21E+02 4.93E+01 1.10E+01 4.28E+00 1.67E+00 3.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.648  2.12E+05 3.47E+05 3.92E+06 1.60E+04 3.11E+04 4.22E+04 4.69E+04 4.69E+04 4.18E+04 3.74E+04 2.83E+04 2.08E+04 1.44E+04 9.48E+03 5.53E+03 3.23E+03 1.77E+03 8.87E+02 3.79E+02 1.72E+02 6.29E+01 1.86E+01 6.79E+00 2.95E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.675  5.01E+05 8.06E+05 9.24E+06 3.62E+04 7.03E+04 9.53E+04 1.07E+05 1.07E+05 9.67E+04 8.66E+04 6.64E+04 5.00E+04 3.51E+04 2.36E+04 1.45E+04 8.56E+03 4.65E+03 2.35E+03 1.09E+03 4.99E+02 2.15E+02 7.48E+01 1.71E+01 8.84E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.700  1.17E+06 1.86E+06 2.16E+07 8.11E+04 1.58E+05 2.14E+05 2.42E+05 2.44E+05 2.22E+05 2.00E+05 1.54E+05 1.17E+05 8.35E+04 5.74E+04 3.61E+04 2.19E+04 1.23E+04 6.34E+03 2.94E+03 1.44E+03 6.14E+02 2.57E+02 8.72E+01 2.86E+01 7.66E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.725  2.69E+06 4.25E+06 5.01E+07 1.80E+05 3.52E+05 4.80E+05 5.45E+05 5.53E+05 5.08E+05 4.60E+05 3.56E+05 2.74E+05 1.98E+05 1.37E+05 8.83E+04 5.46E+04 3.18E+04 1.68E+04 8.07E+03 3.95E+03 1.82E+03 7.87E+02 3.04E+02 1.28E+02 3.49E+01 1.58E+01 5.39E+00 3.33E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.749  6.15E+06 9.56E+06 1.15E+08 3.86E+05 7.54E+05 1.04E+06 1.20E+06 1.23E+06 1.14E+06 1.04E+06 8.18E+05 6.37E+05 4.64E+05 3.26E+05 2.13E+05 1.33E+05 8.00E+04 4.37E+04 2.18E+04 1.10E+04 5.16E+03 2.40E+03 1.00E+03 4.31E+02 1.58E+02 5.37E+01 2.14E+01 6.27E+00 2.95E+00 0.00E+00 3.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.772  1.39E+07 2.14E+07 2.60E+08 8.39E+05 1.64E+06 2.28E+06 2.64E+06 2.72E+06 2.53E+06 2.32E+06 1.85E+06 1.45E+06 1.08E+06 7.66E+05 5.08E+05 3.21E+05 1.96E+05 1.09E+05 5.68E+04 2.99E+04 1.44E+04 6.84E+03 3.00E+03 1.36E+03 5.33E+02 1.94E+02 7.36E+01 3.51E+01 1.18E+01 6.28E+00 3.33E+00 3.86E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.794  3.11E+07 4.73E+07 5.85E+08 1.81E+06 3.54E+06 4.93E+06 5.75E+06 5.95E+06 5.57E+06 5.14E+06 4.14E+06 3.27E+06 2.46E+06 1.77E+06 1.19E+06 7.63E+05 4.74E+05 2.69E+05 1.43E+05 7.78E+04 3.91E+04 1.91E+04 8.72E+03 4.11E+03 1.66E+03 7.16E+02 2.87E+02 1.12E+02 5.27E+01 2.18E+01 7.61E+00 4.61E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.816  6.89E+07 1.04E+08 1.30E+09 3.88E+06 7.62E+06 1.06E+07 1.24E+07 1.29E+07 1.22E+07 1.13E+07 9.15E+06 7.30E+06 5.54E+06 4.04E+06 2.75E+06 1.79E+06 1.13E+06 6.53E+05 3.55E+05 1.97E+05 1.03E+05 5.19E+04 2.43E+04 1.18E+04 5.15E+03 2.23E+03 9.63E+02 4.09E+02 1.79E+02 7.02E+01 3.37E+01 1.03E+01 1.28E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.837  1.52E+08 2.27E+08 2.87E+09 8.29E+06 1.63E+07 2.28E+07 2.67E+07 2.79E+07 2.64E+07 2.46E+07 2.00E+07 1.61E+07 1.23E+07 9.09E+06 6.26E+06 4.13E+06 2.66E+06 1.56E+06 8.68E+05 4.92E+05 2.63E+05 1.37E+05 6.66E+04 3.34E+04 1.48E+04 6.74E+03 3.13E+03 1.34E+03 5.79E+02 2.75E+02 1.11E+02 4.23E+01 1.41E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.878  7.94E+08 1.06E+09 1.37E+10 3.70E+07 7.29E+07 1.02E+08 1.21E+08 1.27E+08 1.21E+08 1.14E+08 9.42E+07 7.68E+07 5.98E+07 4.48E+07 3.16E+07 2.13E+07 1.41E+07 8.56E+06 4.94E+06 2.92E+06 1.63E+06 8.95E+05 4.61E+05 2.45E+05 1.17E+05 5.64E+04 2.82E+04 1.34E+04 6.48E+03 2.97E+03 1.44E+03 6.70E+02 1.95E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.917  3.72E+09 4.79E+09 6.33E+10 1.61E+08 3.18E+08 4.47E+08 5.31E+08 5.61E+08 5.40E+08 5.13E+08 4.29E+08 3.54E+08 2.80E+08 2.13E+08 1.53E+08 1.05E+08 7.16E+07 4.46E+07 2.66E+07 1.62E+07 9.46E+06 5.40E+06 2.91E+06 1.62E+06 8.14E+05 4.15E+05 2.19E+05 1.10E+05 5.54E+04 2.72E+04 1.37E+04 7.04E+03 2.02E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.954  1.68E+10 2.13E+10 2.86E+11 7.05E+08 1.39E+09 1.95E+09 2.30E+09 2.44E+09 2.37E+09 2.27E+09 1.90E+09 1.59E+09 1.27E+09 9.80E+08 7.17E+08 5.04E+08 3.50E+08 2.23E+08 1.36E+08 8.58E+07 5.17E+07 3.06E+07 1.72E+07 9.94E+06 5.22E+06 2.78E+06 1.53E+06 8.09E+05 4.28E+05 2.19E+05 1.16E+05 6.38E+04 1.98E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.990  7.33E+10 9.18E+10 1.26E+12 2.94E+09 5.82E+09 8.16E+09 9.65E+09 1.03E+10 1.01E+10 9.71E+09 8.18E+09 6.94E+09 5.59E+09 4.38E+09 3.25E+09 2.33E+09 1.64E+09 1.07E+09 6.74E+08 4.34E+08 2.69E+08 1.64E+08 9.53E+07 5.70E+07 3.11E+07 1.72E+07 9.83E+06 5.43E+06 2.99E+06 1.58E+06 8.75E+05 5.04E+05 1.67E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.025  2.33E+11 2.28E+11 3.18E+12 6.94E+09 1.37E+10 1.96E+10 2.36E+10 2.54E+10 2.46E+10 2.38E+10 2.07E+10 1.75E+10 1.43E+10 1.12E+10 8.37E+09 6.09E+09 4.34E+09 2.88E+09 1.84E+09 1.20E+09 7.59E+08 4.74E+08 2.83E+08 1.74E+08 9.76E+07 5.52E+07 3.24E+07 1.83E+07 1.03E+07 5.70E+06 3.23E+06 1.88E+06 6.47E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
