                    *********************************************************************************
                    *  Z= 88 A=227: Positive-Parity Spin-dependent Level Density [MeV-1] for RA227  *
   2.25  0.330  1.12E+03 2.95E+03 3.34E+04 1.30E+02 2.49E+02 3.56E+02 3.84E+02 4.23E+02 3.76E+02 3.14E+02 2.39E+02 1.72E+02 1.17E+02 8.28E+01 5.42E+01 2.86E+01 9.03E+00 3.01E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.348  2.09E+03 4.80E+03 5.53E+04 2.11E+02 3.90E+02 5.61E+02 6.07E+02 6.61E+02 6.09E+02 5.22E+02 4.25E+02 2.96E+02 2.06E+02 1.27E+02 8.73E+01 5.42E+01 2.56E+01 9.03E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.365  3.93E+03 9.88E+03 1.16E+05 3.88E+02 7.98E+02 1.15E+03 1.24E+03 1.34E+03 1.24E+03 1.04E+03 8.52E+02 6.68E+02 4.63E+02 2.86E+02 1.84E+02 1.07E+02 6.77E+01 3.16E+01 1.20E+01 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.381  7.16E+03 1.60E+04 1.89E+05 6.14E+02 1.26E+03 1.81E+03 1.96E+03 2.17E+03 1.98E+03 1.70E+03 1.41E+03 1.05E+03 7.68E+02 5.14E+02 3.25E+02 1.84E+02 1.01E+02 6.77E+01 3.16E+01 9.03E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.397  1.32E+04 3.25E+04 3.91E+05 1.25E+03 2.49E+03 3.60E+03 3.91E+03 4.33E+03 4.01E+03 3.53E+03 2.89E+03 2.23E+03 1.59E+03 1.04E+03 7.31E+02 4.34E+02 2.36E+02 1.26E+02 7.37E+01 3.16E+01 1.20E+01 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.412  2.38E+04 5.22E+04 6.33E+05 1.97E+03 3.91E+03 5.61E+03 6.22E+03 6.98E+03 6.40E+03 5.61E+03 4.74E+03 3.67E+03 2.58E+03 1.75E+03 1.16E+03 7.41E+02 4.15E+02 2.20E+02 1.17E+02 6.77E+01 2.86E+01 4.51E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.426  4.33E+04 1.04E+05 1.28E+06 3.79E+03 7.45E+03 1.08E+04 1.20E+04 1.34E+04 1.26E+04 1.14E+04 9.52E+03 7.54E+03 5.47E+03 3.69E+03 2.54E+03 1.56E+03 9.00E+02 5.24E+02 2.63E+02 1.26E+02 7.22E+01 2.86E+01 4.51E+00 4.51E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.440  7.67E+04 1.64E+05 2.05E+06 5.76E+03 1.13E+04 1.64E+04 1.87E+04 2.13E+04 1.99E+04 1.77E+04 1.52E+04 1.22E+04 8.85E+03 6.14E+03 4.21E+03 2.58E+03 1.49E+03 8.60E+02 4.77E+02 2.20E+02 1.07E+02 5.42E+01 1.96E+01 3.01E+00 4.51E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.454  1.37E+05 3.19E+05 4.04E+06 1.12E+04 2.20E+04 3.18E+04 3.52E+04 4.02E+04 3.75E+04 3.46E+04 3.00E+04 2.42E+04 1.79E+04 1.27E+04 8.89E+03 5.64E+03 3.26E+03 1.83E+03 9.92E+02 5.24E+02 2.44E+02 1.07E+02 5.42E+01 1.81E+01 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.467  2.39E+05 4.99E+05 6.39E+06 1.68E+04 3.32E+04 4.82E+04 5.51E+04 6.30E+04 5.97E+04 5.38E+04 4.62E+04 3.85E+04 2.86E+04 2.03E+04 1.45E+04 9.21E+03 5.51E+03 3.09E+03 1.70E+03 8.64E+02 4.31E+02 1.84E+02 8.73E+01 3.46E+01 7.52E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.480  4.22E+05 9.64E+05 1.25E+07 3.22E+04 6.35E+04 9.25E+04 1.04E+05 1.19E+05 1.12E+05 1.04E+05 9.12E+04 7.49E+04 5.58E+04 4.10E+04 2.96E+04 1.92E+04 1.16E+04 6.70E+03 3.69E+03 1.85E+03 9.41E+02 4.38E+02 1.84E+02 8.58E+01 3.16E+01 4.51E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.492  7.30E+05 1.50E+06 1.96E+07 4.88E+04 9.59E+04 1.40E+05 1.60E+05 1.85E+05 1.76E+05 1.61E+05 1.40E+05 1.18E+05 8.91E+04 6.46E+04 4.73E+04 3.09E+04 1.90E+04 1.10E+04 6.33E+03 3.15E+03 1.59E+03 7.57E+02 3.30E+02 1.31E+02 6.17E+01 1.96E+01 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.516  2.21E+06 4.41E+06 5.89E+07 1.38E+05 2.72E+05 3.96E+05 4.56E+05 5.29E+05 5.11E+05 4.72E+05 4.14E+05 3.54E+05 2.72E+05 2.01E+05 1.50E+05 1.00E+05 6.25E+04 3.79E+04 2.21E+04 1.15E+04 6.01E+03 2.75E+03 1.22E+03 5.62E+02 2.12E+02 8.73E+01 3.16E+01 3.01E+00 4.51E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.539  6.50E+06 1.28E+07 1.74E+08 3.85E+05 7.58E+05 1.11E+06 1.28E+06 1.49E+06 1.45E+06 1.36E+06 1.20E+06 1.04E+06 8.11E+05 6.10E+05 4.62E+05 3.17E+05 2.02E+05 1.25E+05 7.43E+04 4.04E+04 2.17E+04 1.04E+04 4.75E+03 2.05E+03 8.39E+02 3.38E+02 1.21E+02 3.91E+01 7.52E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.561  1.88E+07 3.64E+07 5.04E+08 1.06E+06 2.09E+06 3.05E+06 3.55E+06 4.15E+06 4.06E+06 3.82E+06 3.47E+06 3.01E+06 2.37E+06 1.81E+06 1.39E+06 9.77E+05 6.34E+05 4.01E+05 2.46E+05 1.37E+05 7.47E+04 3.77E+04 1.81E+04 8.02E+03 3.17E+03 1.28E+03 5.10E+02 1.62E+02 6.49E+01 1.20E+01 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.582  5.33E+07 1.02E+08 1.44E+09 2.87E+06 5.67E+06 8.30E+06 9.70E+06 1.14E+07 1.12E+07 1.06E+07 9.70E+06 8.50E+06 6.77E+06 5.27E+06 4.11E+06 2.93E+06 1.94E+06 1.25E+06 7.88E+05 4.52E+05 2.55E+05 1.33E+05 6.55E+04 3.00E+04 1.26E+04 5.19E+03 1.94E+03 7.32E+02 2.51E+02 8.15E+01 2.36E+01 4.68E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.603  1.49E+08 2.82E+08 4.04E+09 7.71E+06 1.52E+07 2.23E+07 2.62E+07 3.08E+07 3.05E+07 2.89E+07 2.68E+07 2.37E+07 1.90E+07 1.50E+07 1.18E+07 8.59E+06 5.81E+06 3.81E+06 2.46E+06 1.44E+06 8.40E+05 4.55E+05 2.32E+05 1.10E+05 4.85E+04 2.08E+04 8.04E+03 2.96E+03 1.06E+03 3.38E+02 1.16E+02 3.54E+01 6.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.623  4.10E+08 7.62E+08 1.11E+10 1.99E+07 3.93E+07 5.77E+07 6.88E+07 8.13E+07 8.15E+07 7.78E+07 7.25E+07 6.47E+07 5.25E+07 4.17E+07 3.34E+07 2.46E+07 1.70E+07 1.13E+07 7.53E+06 4.51E+06 2.70E+06 1.51E+06 7.98E+05 3.95E+05 1.82E+05 8.06E+04 3.25E+04 1.27E+04 4.67E+03 1.50E+03 5.48E+02 1.63E+02 4.36E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.642  1.11E+09 2.05E+09 3.04E+10 5.22E+07 1.03E+08 1.52E+08 1.81E+08 2.15E+08 2.16E+08 2.08E+08 1.95E+08 1.74E+08 1.43E+08 1.15E+08 9.29E+07 6.94E+07 4.86E+07 3.29E+07 2.23E+07 1.37E+07 8.45E+06 4.87E+06 2.66E+06 1.37E+06 6.59E+05 3.04E+05 1.28E+05 5.37E+04 2.08E+04 7.01E+03 2.58E+03 8.60E+02 2.06E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.660  2.99E+09 5.47E+09 8.23E+10 1.36E+08 2.69E+08 3.95E+08 4.74E+08 5.63E+08 5.69E+08 5.48E+08 5.18E+08 4.65E+08 3.84E+08 3.12E+08 2.53E+08 1.93E+08 1.36E+08 9.39E+07 6.49E+07 4.06E+07 2.57E+07 1.52E+07 8.63E+06 4.59E+06 2.31E+06 1.11E+06 4.96E+05 2.20E+05 9.07E+04 3.25E+04 1.25E+04 4.19E+03 1.13E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.678  7.97E+09 1.44E+10 2.20E+11 3.50E+08 6.92E+08 1.02E+09 1.22E+09 1.46E+09 1.48E+09 1.43E+09 1.36E+09 1.23E+09 1.02E+09 8.36E+08 6.86E+08 5.27E+08 3.77E+08 2.63E+08 1.85E+08 1.18E+08 7.63E+07 4.65E+07 2.71E+07 1.49E+07 7.84E+06 3.93E+06 1.84E+06 8.66E+05 3.78E+05 1.44E+05 5.87E+04 2.10E+04 5.48E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.696  2.10E+10 3.77E+10 5.82E+11 8.93E+08 1.77E+09 2.61E+09 3.14E+09 3.74E+09 3.81E+09 3.70E+09 3.53E+09 3.21E+09 2.69E+09 2.22E+09 1.83E+09 1.42E+09 1.03E+09 7.27E+08 5.20E+08 3.37E+08 2.22E+08 1.39E+08 8.31E+07 4.71E+07 2.57E+07 1.34E+07 6.57E+06 3.26E+06 1.51E+06 6.07E+05 2.60E+05 9.87E+04 2.71E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.730  1.65E+11 2.50E+11 3.95E+12 5.68E+09 1.13E+10 1.66E+10 2.01E+10 2.40E+10 2.46E+10 2.41E+10 2.32E+10 2.12E+10 1.80E+10 1.50E+10 1.26E+10 9.97E+09 7.35E+09 5.32E+09 3.91E+09 2.61E+09 1.78E+09 1.16E+09 7.26E+08 4.34E+08 2.52E+08 1.41E+08 7.50E+07 4.06E+07 2.07E+07 9.26E+06 4.41E+06 1.86E+06 5.65E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.763  1.09E+12 1.60E+12 2.59E+13 3.50E+10 6.95E+10 1.03E+11 1.24E+11 1.49E+11 1.54E+11 1.51E+11 1.47E+11 1.35E+11 1.16E+11 9.81E+10 8.33E+10 6.69E+10 5.01E+10 3.70E+10 2.78E+10 1.91E+10 1.34E+10 9.03E+09 5.88E+09 3.67E+09 2.25E+09 1.32E+09 7.50E+08 4.36E+08 2.39E+08 1.17E+08 6.04E+07 2.78E+07 9.38E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.794  5.59E+12 7.40E+12 1.42E+14 6.37E+10 1.33E+11 2.05E+11 2.75E+11 3.89E+11 5.33E+11 6.68E+11 8.12E+11 8.31E+11 7.27E+11 6.21E+11 5.33E+11 4.33E+11 3.28E+11 2.47E+11 1.89E+11 1.32E+11 9.52E+10 6.61E+10 4.44E+10 2.88E+10 1.84E+10 1.13E+10 6.79E+09 4.17E+09 2.43E+09 1.26E+09 6.99E+08 3.45E+08 1.27E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.824  1.31E+13 7.68E+12 2.32E+14 2.13E+10 4.61E+10 7.21E+10 3.85E+10 7.56E+10 1.25E+11 1.89E+11 2.15E+11 1.11E+11 1.39E+11 1.15E+11 2.18E+11 5.60E+11 9.08E+11 1.04E+12 9.76E+11 8.27E+11 6.44E+11 4.59E+11 3.16E+11 2.12E+11 1.40E+11 8.94E+10 5.61E+10 3.59E+10 2.20E+10 1.20E+10 7.07E+09 3.70E+09 1.45E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.853  1.97E+13 5.49E+12 2.11E+14 4.34E+09 6.76E+09 4.75E+09 2.14E+10 2.49E+10 2.39E+10 3.61E+10 5.24E+09 1.88E+10 8.55E+09 5.42E+10 6.80E+10 8.54E+10 1.10E+11 4.43E+09 2.80E+11 6.71E+11 7.14E+11 7.07E+11 6.62E+11 5.69E+11 4.91E+11 3.45E+11 2.23E+11 1.46E+11 9.27E+10 5.26E+10 3.18E+10 1.72E+10 7.10E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
