                    *********************************************************************************
                    *  Z= 65 A=160: Positive-Parity Spin-dependent Level Density [MeV-1] for TB160  *
  16.00  1.049  5.29E+12 3.70E+12 4.41E+13 1.28E+11 1.27E+11 3.80E+11 3.73E+11 6.04E+11 4.80E+11 5.06E+11 3.21E+11 2.15E+11 1.59E+11 1.34E+11 6.60E+10 6.48E+10 3.94E+10 3.83E+10 2.00E+10 1.71E+10 8.16E+09 7.38E+09 3.79E+09 3.04E+09 1.47E+09 1.01E+09 4.92E+08 3.34E+08 1.81E+08 1.11E+08 7.00E+07 4.93E+07 7.11E+07 4.00E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.081  1.09E+13 7.51E+12 8.00E+13 2.98E+11 2.97E+11 8.87E+11 8.72E+11 1.46E+12 1.09E+12 1.07E+12 5.72E+11 3.05E+11 2.09E+11 1.66E+11 6.63E+10 7.07E+10 4.00E+10 4.33E+10 2.11E+10 1.98E+10 8.52E+09 8.80E+09 4.22E+09 3.68E+09 1.72E+09 1.27E+09 6.03E+08 4.38E+08 2.46E+08 1.60E+08 1.13E+08 9.14E+07 1.71E+08 5.89E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.112  2.26E+13 1.60E+13 1.56E+14 6.96E+11 6.93E+11 2.07E+12 2.04E+12 3.51E+12 2.48E+12 2.26E+12 1.02E+12 4.31E+11 2.74E+11 2.06E+11 6.65E+10 7.72E+10 4.08E+10 4.90E+10 2.22E+10 2.31E+10 8.90E+09 1.05E+10 4.69E+09 4.45E+09 2.00E+09 1.60E+09 7.40E+08 5.73E+08 3.33E+08 2.31E+08 1.81E+08 1.69E+08 4.13E+08 8.66E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.143  4.82E+13 3.51E+13 3.23E+14 1.62E+12 1.62E+12 4.83E+12 4.76E+12 8.46E+12 5.63E+12 4.76E+12 1.82E+12 6.09E+11 3.59E+11 2.57E+11 6.68E+10 8.43E+10 4.15E+10 5.55E+10 2.34E+10 2.68E+10 9.30E+09 1.25E+10 5.21E+09 5.39E+09 2.33E+09 2.01E+09 9.07E+08 7.51E+08 4.50E+08 3.34E+08 2.90E+08 3.14E+08 9.94E+08 1.27E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.173  1.05E+14 7.84E+13 6.94E+14 3.78E+12 3.77E+12 1.13E+13 1.11E+13 2.04E+13 1.28E+13 1.01E+13 3.25E+12 8.62E+11 4.71E+11 3.19E+11 6.70E+10 9.21E+10 4.22E+10 6.28E+10 2.46E+10 3.12E+10 9.72E+09 1.49E+10 5.79E+09 6.53E+09 2.72E+09 2.52E+09 1.11E+09 9.83E+08 6.10E+08 4.83E+08 4.66E+08 5.82E+08 2.40E+09 1.87E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.244  9.73E+14 6.16E+14 5.13E+15 3.14E+13 3.13E+13 9.37E+13 9.26E+13 1.84E+14 9.97E+13 6.52E+13 1.38E+13 2.05E+12 9.26E+11 5.50E+11 6.76E+10 1.15E+11 4.41E+10 8.55E+10 2.80E+10 4.55E+10 1.08E+10 2.32E+10 7.54E+09 1.05E+10 3.99E+09 4.47E+09 1.85E+09 1.93E+09 1.30E+09 1.21E+09 1.53E+09 2.72E+09 2.16E+10 4.92E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.311  7.99E+15 5.00E+15 4.04E+16 2.61E+14 2.61E+14 7.80E+14 7.72E+14 1.66E+15 7.76E+14 4.22E+14 5.86E+13 4.88E+12 1.82E+12 9.47E+11 6.83E+10 1.43E+11 4.61E+10 1.16E+11 3.19E+10 6.63E+10 1.21E+10 3.61E+10 9.82E+09 1.70E+10 5.86E+09 7.91E+09 3.09E+09 3.79E+09 2.78E+09 3.04E+09 4.99E+09 1.27E+10 1.94E+11 1.29E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.436  8.82E+17 3.45E+17 2.70E+18 1.80E+16 1.80E+16 5.40E+16 5.36E+16 1.35E+17 4.71E+16 1.77E+16 1.06E+15 2.76E+13 7.07E+12 2.81E+12 6.95E+10 2.22E+11 5.03E+10 2.16E+11 4.14E+10 1.41E+11 1.51E+10 8.70E+10 1.66E+10 4.44E+10 1.26E+10 2.48E+10 8.56E+09 1.46E+10 1.26E+10 1.92E+10 5.34E+10 2.78E+11 1.58E+13 8.90E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.658  8.94E+21 1.79E+21 1.38E+22 8.60E+19 8.61E+19 2.58E+20 2.59E+20 8.94E+20 1.73E+20 3.12E+19 3.45E+17 8.83E+14 1.06E+14 2.48E+13 7.21E+10 5.33E+11 6.00E+10 7.45E+11 6.97E+10 6.36E+11 2.34E+10 5.07E+11 4.79E+10 3.01E+11 5.87E+10 2.44E+11 6.59E+10 2.16E+11 2.62E+11 7.65E+11 6.12E+12 1.33E+14 1.04E+17 4.23E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.854  3.58E+22 3.58E+21 2.76E+22 1.72E+20 1.72E+20 5.17E+20 5.18E+20 1.79E+21 3.46E+20 6.25E+19 6.89E+17 2.83E+16 1.60E+15 2.19E+14 7.48E+10 1.28E+12 7.15E+10 2.56E+12 1.17E+11 2.87E+12 3.62E+10 2.96E+12 1.38E+11 2.05E+12 2.73E+11 2.40E+12 5.07E+11 3.20E+12 5.44E+12 3.05E+13 1.22E+13 2.65E+14 2.08E+17 2.01E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.031  8.94E+22 7.15E+21 5.53E+22 3.44E+20 3.44E+20 1.03E+21 1.04E+21 3.58E+21 6.92E+20 1.25E+20 1.38E+18 9.05E+17 2.40E+16 1.93E+15 7.76E+10 3.09E+12 8.52E+10 8.84E+12 1.98E+11 1.30E+13 5.62E+10 1.72E+13 3.96E+11 1.39E+13 1.27E+12 2.36E+13 3.90E+12 4.74E+13 1.13E+14 1.21E+15 2.42E+13 5.30E+14 4.15E+17 9.54E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.194  1.97E+23 1.43E+22 1.11E+23 6.88E+20 6.89E+20 2.07E+21 2.07E+21 7.15E+21 1.38E+21 2.50E+20 2.75E+18 2.90E+19 3.60E+17 1.70E+16 8.05E+10 7.42E+12 1.02E+11 3.04E+13 3.33E+11 5.85E+13 8.71E+10 1.00E+14 1.14E+12 9.43E+13 5.90E+12 2.32E+14 3.00E+13 7.03E+14 2.34E+15 4.83E+16 4.83E+13 1.06E+15 8.30E+17 4.53E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.345  4.16E+23 2.95E+22 2.37E+23 1.38E+21 1.38E+21 4.13E+21 4.14E+21 1.43E+22 2.77E+21 4.99E+20 5.49E+18 9.28E+20 5.41E+18 1.50E+17 8.35E+10 1.79E+13 1.21E+11 1.05E+14 5.60E+11 2.64E+14 1.35E+11 5.86E+14 3.27E+12 6.41E+14 2.74E+13 2.28E+15 2.31E+14 1.04E+16 4.85E+16 1.92E+18 9.61E+13 2.11E+15 1.66E+18 2.15E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.487  9.99E+23 8.71E+22 9.53E+23 2.75E+21 2.75E+21 8.27E+21 8.28E+21 2.86E+22 5.54E+21 9.98E+20 1.10E+19 2.97E+22 8.13E+19 1.32E+18 8.66E+10 4.30E+13 1.44E+11 3.61E+14 9.42E+11 1.19E+15 2.09E+11 3.41E+15 9.41E+12 4.35E+15 1.27E+14 2.25E+16 1.78E+15 1.54E+17 1.01E+18 7.65E+19 1.91E+14 4.22E+15 3.32E+18 1.02E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.622  6.79E+24 1.07E+24 1.73E+25 5.50E+21 5.51E+21 1.65E+22 1.66E+22 5.72E+22 1.11E+22 2.00E+21 2.19E+19 9.52E+23 1.22E+21 1.17E+19 8.99E+10 1.03E+14 1.72E+11 1.24E+15 1.59E+12 5.39E+15 3.25E+11 1.99E+16 2.70E+13 2.95E+16 5.92E+14 2.21E+17 1.37E+16 2.29E+18 2.08E+19 3.05E+21 3.81E+14 8.44E+15 6.64E+18 4.85E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.750  1.66E+26 3.09E+25 5.28E+26 1.10E+22 1.10E+22 3.31E+22 3.31E+22 1.14E+23 2.21E+22 3.99E+21 4.37E+19 3.05E+25 1.83E+22 1.03E+20 9.32E+10 2.49E+14 2.05E+11 4.28E+15 2.67E+12 2.43E+16 5.03E+11 1.16E+17 7.78E+13 2.01E+17 2.75E+15 2.17E+18 1.05E+17 3.39E+19 4.32E+20 1.21E+23 7.59E+14 1.69E+16 1.33E+19 2.30E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.872  5.23E+27 9.82E+26 1.69E+28 2.20E+22 2.20E+22 6.61E+22 6.63E+22 2.29E+23 4.43E+22 7.98E+21 8.73E+19 9.75E+26 2.76E+23 9.08E+20 9.67E+10 5.99E+14 2.44E+11 1.48E+16 4.49E+12 1.10E+17 7.81E+11 6.76E+17 2.24E+14 1.36E+18 1.28E+16 2.14E+19 8.11E+17 5.03E+20 8.96E+21 4.83E+24 1.51E+15 3.37E+16 2.65E+19 1.09E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.990  1.68E+29 3.15E+28 5.44E+29 4.40E+22 4.40E+22 1.32E+23 1.32E+23 4.57E+23 8.86E+22 1.60E+22 1.74E+20 3.12E+28 4.14E+24 8.01E+21 1.00E+11 1.44E+15 2.91E+11 5.08E+16 7.56E+12 4.96E+17 1.21E+12 3.94E+18 6.43E+14 9.25E+18 5.94E+16 2.10E+20 6.24E+18 7.45E+21 1.86E+23 1.92E+26 3.01E+15 6.73E+16 5.31E+19 5.20E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.102  5.38E+30 1.01E+30 1.76E+31 8.80E+22 8.81E+22 2.64E+23 2.65E+23 9.15E+23 1.77E+23 3.19E+22 3.48E+20 1.00E+30 6.22E+25 7.06E+22 1.04E+11 3.47E+15 3.47E+11 1.75E+17 1.27E+13 2.24E+18 1.88E+12 2.30E+19 1.85E+15 6.28E+19 2.76E+17 2.07E+21 4.80E+19 1.10E+23 3.85E+24 7.65E+27 5.99E+15 1.34E+17 1.06E+20 2.47E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.211  1.73E+32 3.24E+31 5.68E+32 1.76E+23 1.76E+23 5.29E+23 5.30E+23 1.83E+24 3.54E+23 6.38E+22 6.95E+20 3.20E+31 9.35E+26 6.23E+23 1.08E+11 8.34E+15 4.14E+11 6.03E+17 2.14E+13 1.01E+19 2.91E+12 1.34E+20 5.32E+15 4.27E+20 1.28E+18 2.04E+22 3.70E+20 1.64E+24 7.99E+25 3.05E+29 1.19E+16 2.69E+17 2.12E+20 1.17E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.317  5.55E+33 1.04E+33 1.84E+34 3.52E+23 3.52E+23 1.06E+24 1.06E+24 3.66E+24 7.08E+23 1.28E+23 1.39E+21 1.03E+33 1.40E+28 5.49E+24 1.12E+11 2.01E+16 4.93E+11 2.08E+18 3.61E+13 4.57E+19 4.51E+12 7.81E+20 1.53E+16 2.90E+21 5.96E+18 2.00E+23 2.85E+21 2.43E+25 1.66E+27 1.21E+31 2.38E+16 5.37E+17 4.25E+20 5.57E+30 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.419  1.79E+35 3.36E+34 6.00E+35 7.04E+23 7.04E+23 2.11E+24 2.12E+24 7.32E+24 1.42E+24 2.55E+23 2.77E+21 3.28E+34 2.11E+29 4.85E+25 1.16E+11 4.83E+16 5.88E+11 7.16E+18 6.07E+13 2.06E+20 6.99E+12 4.55E+21 4.40E+16 1.97E+22 2.77E+19 1.97E+24 2.19E+22 3.60E+26 3.43E+28 4.83E+32 4.73E+16 1.07E+18 8.49E+20 2.64E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.518  5.76E+36 1.08E+36 1.96E+37 1.41E+24 1.41E+24 4.23E+24 4.24E+24 1.46E+25 2.83E+24 5.10E+23 5.53E+21 1.05E+36 3.17E+30 4.27E+26 1.21E+11 1.16E+17 7.01E+11 2.46E+19 1.02E+14 9.31E+20 1.08E+13 2.65E+22 1.26E+17 1.34E+23 1.29E+20 1.94E+25 1.69E+23 5.33E+27 7.12E+29 1.92E+34 9.42E+16 2.14E+18 1.70E+21 1.26E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.614  1.86E+38 3.50E+37 6.49E+38 2.81E+24 2.82E+24 8.46E+24 8.47E+24 2.93E+25 5.66E+24 1.02E+24 1.10E+22 3.36E+37 4.76E+31 3.77E+27 1.25E+11 2.80E+17 8.35E+11 8.49E+19 1.72E+14 4.20E+21 1.68E+13 1.55E+23 3.63E+17 9.07E+23 5.98E+20 1.91E+26 1.30E+24 7.90E+28 1.48E+31 7.65E+35 1.88E+17 4.28E+18 3.40E+21 5.96E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.708  6.04E+39 1.14E+39 2.17E+40 5.63E+24 5.63E+24 1.69E+25 1.69E+25 5.85E+25 1.13E+25 2.04E+24 2.21E+22 1.08E+39 7.15E+32 3.32E+28 1.30E+11 6.73E+17 9.96E+11 2.92E+20 2.90E+14 1.90E+22 2.61E+13 9.01E+23 1.04E+18 6.16E+24 2.78E+21 1.88E+27 9.98E+24 1.17E+30 3.06E+32 3.05E+37 3.74E+17 8.55E+18 6.79E+21 2.83E+37 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 65 A=160: Negative-parity Spin-dependent Level Density [MeV-1] for TB160  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.131  9.00E+00 6.95E+01 5.71E+02 6.10E-01 1.08E+01 6.27E+00 1.68E+01 1.06E+01 1.53E+01 6.07E+00 3.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.185  3.50E+01 1.36E+02 1.27E+03 7.60E-01 1.87E+01 1.25E+01 2.60E+01 1.53E+01 2.46E+01 1.53E+01 1.53E+01 6.07E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.227  7.50E+01 1.84E+02 2.23E+03 3.00E-01 1.26E+01 1.09E+01 1.84E+01 1.84E+01 2.44E+01 2.46E+01 3.35E+01 1.97E+01 1.67E+01 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.262  1.30E+02 2.57E+02 3.02E+03 1.50E-01 1.70E+01 2.50E+01 3.69E+01 2.75E+01 3.03E+01 2.62E+01 2.73E+01 2.44E+01 2.88E+01 9.10E+00 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.293  2.11E+02 3.91E+02 5.04E+03 4.50E-01 2.31E+01 2.81E+01 4.64E+01 4.14E+01 4.70E+01 4.29E+01 4.10E+01 2.91E+01 3.05E+01 2.43E+01 2.73E+01 7.58E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.321  3.35E+02 5.99E+02 7.68E+03 1.95E+00 5.67E+01 4.05E+01 6.76E+01 5.83E+01 7.20E+01 5.83E+01 5.78E+01 4.42E+01 4.29E+01 2.73E+01 3.49E+01 1.97E+01 1.52E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.347  5.56E+02 1.17E+03 1.40E+04 2.75E+00 1.20E+02 8.18E+01 1.67E+02 1.19E+02 1.75E+02 1.19E+02 1.06E+02 7.16E+01 6.40E+01 4.25E+01 3.79E+01 2.90E+01 2.88E+01 7.58E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.371  9.41E+02 1.91E+03 2.27E+04 2.60E+00 1.92E+02 1.42E+02 2.76E+02 2.23E+02 2.67E+02 1.68E+02 2.01E+02 1.19E+02 9.14E+01 5.77E+01 5.63E+01 3.50E+01 3.94E+01 2.12E+01 1.52E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.393  1.66E+03 3.85E+03 4.56E+04 2.45E+00 3.33E+02 2.92E+02 5.64E+02 4.69E+02 5.23E+02 3.86E+02 4.21E+02 2.66E+02 2.26E+02 1.08E+02 8.98E+01 5.94E+01 4.56E+01 2.88E+01 2.88E+01 7.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.415  2.93E+03 6.29E+03 7.46E+04 4.05E+00 5.08E+02 4.70E+02 9.20E+02 7.62E+02 9.02E+02 6.63E+02 6.46E+02 4.42E+02 3.83E+02 2.00E+02 1.53E+02 8.05E+01 6.23E+01 3.34E+01 3.94E+01 1.97E+01 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
