                    *********************************************************************************
                    *  Z= 83 A=210: Positive-Parity Spin-dependent Level Density [MeV-1] for BI210  *
   2.25  0.343  3.40E+01 5.40E+01 4.40E+02 1.00E+01 5.41E+00 5.81E+00 5.53E+00 6.89E+00 5.72E+00 5.83E+00 3.69E+00 3.41E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.362  4.70E+01 5.17E+01 3.59E+02 1.00E+01 8.74E+00 5.62E+00 7.19E+00 5.14E+00 5.72E+00 3.95E+00 3.69E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.380  5.60E+01 1.85E+01 9.30E+01 6.67E+00 3.33E+00 1.67E+00 1.67E+00 1.81E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.396  6.00E+01 1.67E+01 1.07E+02 1.67E+00 5.00E+00 1.67E+00 0.00E+00 6.67E+00 0.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.413  6.60E+01 3.29E+01 2.10E+02 1.00E+01 3.33E+00 2.32E+00 1.67E+00 7.22E+00 3.33E+00 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.428  8.00E+01 7.87E+01 5.14E+02 1.84E+01 1.11E+01 7.32E+00 8.33E+00 1.39E+01 1.00E+01 6.31E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.443  1.04E+02 1.14E+02 7.63E+02 2.17E+01 1.74E+01 1.36E+01 2.00E+01 1.17E+01 1.20E+01 1.30E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.458  1.43E+02 1.95E+02 2.04E+03 2.33E+01 1.92E+01 1.74E+01 2.22E+01 1.31E+01 1.70E+01 2.00E+01 2.00E+01 1.83E+01 8.33E+00 8.33E+00 3.33E+00 3.33E+00 0.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.472  2.22E+02 4.38E+02 5.62E+03 1.50E+01 1.54E+01 3.69E+01 5.07E+01 3.09E+01 4.50E+01 5.50E+01 5.17E+01 5.17E+01 3.46E+01 2.00E+01 1.00E+01 1.00E+01 8.33E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.486  3.44E+02 5.38E+02 7.50E+03 1.01E+01 1.76E+01 3.43E+01 5.25E+01 4.59E+01 5.00E+01 6.17E+01 5.33E+01 7.00E+01 4.62E+01 3.67E+01 2.50E+01 1.83E+01 1.17E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.499  5.11E+02 7.92E+02 1.09E+04 3.68E+01 3.07E+01 6.21E+01 4.45E+01 4.33E+01 7.00E+01 1.03E+02 9.83E+01 9.17E+01 7.00E+01 5.50E+01 4.00E+01 2.83E+01 1.33E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.512  7.16E+02 8.50E+02 1.24E+04 3.77E+01 3.80E+01 5.42E+01 2.67E+01 2.67E+01 7.50E+01 1.13E+02 1.08E+02 9.17E+01 9.00E+01 7.83E+01 5.00E+01 3.00E+01 1.83E+01 8.33E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.537  1.42E+03 1.98E+03 3.01E+04 5.26E+01 5.47E+01 1.30E+02 1.14E+02 1.66E+02 1.58E+02 1.77E+02 1.93E+02 1.87E+02 2.18E+02 1.68E+02 1.28E+02 9.83E+01 6.67E+01 3.33E+01 1.83E+01 6.67E+00 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.561  2.80E+03 3.54E+03 5.57E+04 7.78E+01 1.62E+02 1.62E+02 2.06E+02 1.98E+02 2.50E+02 3.42E+02 3.70E+02 3.72E+02 3.57E+02 3.25E+02 2.68E+02 1.98E+02 1.27E+02 7.17E+01 3.33E+01 1.67E+01 6.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.584  5.08E+03 5.58E+03 8.72E+04 9.33E+01 2.65E+02 3.15E+02 3.78E+02 4.05E+02 4.73E+02 4.75E+02 4.90E+02 4.92E+02 4.58E+02 4.72E+02 4.17E+02 3.25E+02 2.33E+02 1.63E+02 7.00E+01 3.83E+01 1.17E+01 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.606  9.19E+03 1.09E+04 1.69E+05 2.46E+02 3.70E+02 5.78E+02 7.33E+02 8.10E+02 8.98E+02 9.70E+02 1.04E+03 1.08E+03 1.01E+03 9.10E+02 7.43E+02 5.70E+02 4.10E+02 2.65E+02 1.37E+02 6.50E+01 3.00E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.627  1.59E+04 1.60E+04 2.49E+05 2.66E+02 6.22E+02 9.37E+02 1.20E+03 1.32E+03 1.32E+03 1.33E+03 1.42E+03 1.43E+03 1.33E+03 1.24E+03 1.10E+03 9.13E+02 6.68E+02 4.45E+02 2.55E+02 1.22E+02 4.83E+01 1.50E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.647  2.85E+04 3.42E+04 5.39E+05 4.75E+02 1.18E+03 1.86E+03 2.33E+03 2.62E+03 2.84E+03 3.07E+03 3.27E+03 3.28E+03 3.18E+03 2.83E+03 2.39E+03 1.85E+03 1.33E+03 8.63E+02 5.18E+02 2.50E+02 6.67E+01 2.17E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.667  5.11E+04 5.63E+04 8.93E+05 8.43E+02 2.28E+03 3.38E+03 4.07E+03 4.57E+03 4.81E+03 4.80E+03 4.78E+03 4.67E+03 4.56E+03 4.26E+03 3.75E+03 3.12E+03 2.38E+03 1.66E+03 1.09E+03 6.52E+02 3.57E+02 1.65E+02 7.33E+01 2.17E+01 1.17E+01 1.99E+01 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.687  9.75E+04 1.29E+05 2.16E+06 1.47E+03 4.27E+03 6.72E+03 8.45E+03 9.60E+03 1.03E+04 1.07E+04 1.11E+04 1.11E+04 1.07E+04 1.00E+04 8.93E+03 7.57E+03 6.08E+03 4.56E+03 3.19E+03 2.02E+03 1.18E+03 6.15E+02 3.00E+02 1.47E+02 7.00E+01 3.50E+01 1.00E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.705  1.83E+05 2.13E+05 3.62E+06 2.68E+03 7.30E+03 1.11E+04 1.42E+04 1.60E+04 1.71E+04 1.75E+04 1.72E+04 1.71E+04 1.66E+04 1.55E+04 1.40E+04 1.21E+04 1.01E+04 7.96E+03 5.87E+03 4.08E+03 2.70E+03 1.70E+03 1.03E+03 5.58E+02 2.82E+02 1.02E+02 3.83E+01 1.00E+01 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.724  3.43E+05 4.28E+05 7.56E+06 4.50E+03 1.28E+04 2.03E+04 2.63E+04 3.01E+04 3.28E+04 3.44E+04 3.46E+04 3.43E+04 3.33E+04 3.13E+04 2.86E+04 2.53E+04 2.17E+04 1.78E+04 1.37E+04 9.91E+03 6.74E+03 4.24E+03 2.60E+03 1.46E+03 7.90E+02 3.92E+02 1.62E+02 5.50E+01 2.00E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.759  1.21E+06 1.31E+06 2.43E+07 1.13E+04 3.38E+04 5.45E+04 7.23E+04 8.72E+04 9.78E+04 1.04E+05 1.05E+05 1.04E+05 9.94E+04 9.34E+04 8.59E+04 7.74E+04 6.80E+04 5.80E+04 4.75E+04 3.71E+04 2.75E+04 1.91E+04 1.27E+04 7.97E+03 4.61E+03 2.48E+03 1.20E+03 5.00E+02 1.70E+02 9.96E+01 6.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.793  3.83E+06 3.91E+06 7.49E+07 2.91E+04 8.85E+04 1.45E+05 1.97E+05 2.45E+05 2.80E+05 3.03E+05 3.12E+05 3.10E+05 2.98E+05 2.79E+05 2.56E+05 2.32E+05 2.06E+05 1.79E+05 1.50E+05 1.21E+05 9.37E+04 6.89E+04 4.80E+04 3.13E+04 1.90E+04 1.08E+04 5.54E+03 2.48E+03 9.70E+02 2.78E+02 4.50E+01 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.825  1.22E+07 1.27E+07 2.51E+08 8.85E+04 2.67E+05 4.41E+05 6.06E+05 7.53E+05 8.71E+05 9.54E+05 9.95E+05 9.95E+05 9.66E+05 9.13E+05 8.46E+05 7.70E+05 6.86E+05 5.99E+05 5.11E+05 4.20E+05 3.33E+05 2.53E+05 1.82E+05 1.25E+05 8.02E+04 4.79E+04 2.65E+04 1.34E+04 6.01E+03 2.42E+03 8.52E+02 3.00E+02 1.55E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.856  3.95E+07 4.20E+07 8.53E+08 2.80E+05 8.34E+05 1.37E+06 1.88E+06 2.33E+06 2.70E+06 2.97E+06 3.13E+06 3.18E+06 3.12E+06 2.99E+06 2.80E+06 2.57E+06 2.31E+06 2.04E+06 1.75E+06 1.47E+06 1.20E+06 9.38E+05 7.07E+05 5.09E+05 3.49E+05 2.26E+05 1.38E+05 7.94E+04 4.27E+04 2.15E+04 1.04E+04 4.75E+03 3.43E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.886  1.01E+08 8.13E+07 1.69E+09 5.34E+05 1.59E+06 2.60E+06 3.53E+06 4.34E+06 5.01E+06 5.53E+06 5.86E+06 6.00E+06 5.96E+06 5.75E+06 5.42E+06 5.00E+06 4.51E+06 3.99E+06 3.47E+06 2.94E+06 2.43E+06 1.95E+06 1.51E+06 1.13E+06 8.07E+05 5.52E+05 3.61E+05 2.24E+05 1.32E+05 7.39E+04 3.91E+04 2.01E+04 1.67E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
