                    *********************************************************************************
                    *  Z= 91 A=232: Positive-Parity Spin-dependent Level Density [MeV-1] for PA232  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   5.00  0.487  3.41E+06 6.85E+06 1.10E+08 1.48E+05 1.46E+05 4.34E+05 4.16E+05 6.81E+05 5.58E+05 7.00E+05 6.13E+05 6.26E+05 4.82E+05 4.85E+05 3.65E+05 3.45E+05 2.39E+05 1.96E+05 1.34E+05 1.00E+05 6.47E+04 4.93E+04 2.71E+04 1.95E+04 9.96E+03 6.29E+03 2.93E+03 1.86E+03 7.51E+02 4.47E+02 1.40E+02 6.39E+01 1.98E+01 1.98E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.511  1.00E+07 1.96E+07 3.20E+08 4.09E+05 4.05E+05 1.20E+06 1.15E+06 1.89E+06 1.56E+06 1.97E+06 1.73E+06 1.78E+06 1.39E+06 1.40E+06 1.07E+06 1.02E+06 7.19E+05 5.90E+05 4.13E+05 3.10E+05 2.03E+05 1.57E+05 9.00E+04 6.55E+04 3.56E+04 2.28E+04 1.11E+04 7.05E+03 3.17E+03 1.86E+03 7.02E+02 3.74E+02 1.14E+02 4.87E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.533  2.87E+07 5.49E+07 9.12E+08 1.11E+06 1.10E+06 3.25E+06 3.13E+06 5.14E+06 4.27E+06 5.39E+06 4.79E+06 4.95E+06 3.90E+06 3.96E+06 3.06E+06 2.93E+06 2.10E+06 1.74E+06 1.24E+06 9.42E+05 6.25E+05 4.88E+05 2.86E+05 2.09E+05 1.17E+05 7.68E+04 3.99E+04 2.55E+04 1.21E+04 7.04E+03 2.93E+03 1.59E+03 6.13E+02 2.93E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.555  8.02E+07 1.51E+08 2.55E+09 2.95E+06 2.92E+06 8.68E+06 8.38E+06 1.38E+07 1.15E+07 1.46E+07 1.30E+07 1.35E+07 1.08E+07 1.10E+07 8.58E+06 8.24E+06 6.00E+06 5.00E+06 3.62E+06 2.78E+06 1.88E+06 1.47E+06 8.89E+05 6.50E+05 3.73E+05 2.44E+05 1.32E+05 8.63E+04 4.31E+04 2.56E+04 1.13E+04 6.16E+03 2.54E+03 1.28E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.576  2.20E+08 4.09E+08 7.02E+09 7.77E+06 7.70E+06 2.29E+07 2.21E+07 3.64E+07 3.05E+07 3.88E+07 3.48E+07 3.61E+07 2.93E+07 2.99E+07 2.35E+07 2.27E+07 1.67E+07 1.41E+07 1.03E+07 8.01E+06 5.50E+06 4.35E+06 2.68E+06 1.98E+06 1.16E+06 7.63E+05 4.23E+05 2.77E+05 1.43E+05 8.75E+04 4.10E+04 2.27E+04 9.89E+03 5.07E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.596  5.96E+08 1.09E+09 1.90E+10 2.02E+07 2.00E+07 5.95E+07 5.77E+07 9.48E+07 8.00E+07 1.02E+08 9.17E+07 9.57E+07 7.82E+07 8.01E+07 6.36E+07 6.16E+07 4.58E+07 3.90E+07 2.89E+07 2.26E+07 1.58E+07 1.26E+07 7.89E+06 5.86E+06 3.51E+06 2.33E+06 1.32E+06 8.74E+05 4.62E+05 2.83E+05 1.38E+05 7.85E+04 3.65E+04 1.89E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.616  1.58E+09 2.85E+09 5.04E+10 5.04E+07 4.99E+07 1.49E+08 1.44E+08 2.37E+08 2.04E+08 2.61E+08 2.37E+08 2.49E+08 2.05E+08 2.11E+08 1.69E+08 1.64E+08 1.23E+08 1.06E+08 7.91E+07 6.22E+07 4.42E+07 3.54E+07 2.26E+07 1.70E+07 1.04E+07 6.95E+06 4.03E+06 2.70E+06 1.46E+06 9.01E+05 4.50E+05 2.57E+05 1.24E+05 6.66E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.635  4.14E+09 7.39E+09 1.32E+11 1.28E+08 1.27E+08 3.77E+08 3.67E+08 6.03E+08 5.22E+08 6.69E+08 6.08E+08 6.42E+08 5.31E+08 5.44E+08 4.40E+08 4.30E+08 3.26E+08 2.82E+08 2.13E+08 1.69E+08 1.21E+08 9.80E+07 6.37E+07 4.81E+07 2.99E+07 2.04E+07 1.20E+07 8.11E+06 4.48E+06 2.80E+06 1.44E+06 8.29E+05 4.11E+05 2.22E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.653  1.07E+10 1.90E+10 3.44E+11 3.21E+08 3.18E+08 9.48E+08 9.22E+08 1.52E+09 1.32E+09 1.69E+09 1.54E+09 1.63E+09 1.36E+09 1.40E+09 1.14E+09 1.12E+09 8.55E+08 7.37E+08 5.65E+08 4.51E+08 3.28E+08 2.67E+08 1.76E+08 1.34E+08 8.45E+07 5.80E+07 3.50E+07 2.40E+07 1.35E+07 8.53E+06 4.50E+06 2.62E+06 1.33E+06 7.27E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.671  2.75E+10 4.82E+10 8.85E+11 7.98E+08 7.92E+08 2.36E+09 2.30E+09 3.78E+09 3.29E+09 4.24E+09 3.88E+09 4.12E+09 3.45E+09 3.56E+09 2.91E+09 2.87E+09 2.21E+09 1.92E+09 1.48E+09 1.19E+09 8.72E+08 7.13E+08 4.78E+08 3.67E+08 2.35E+08 1.63E+08 1.00E+08 6.91E+07 3.96E+07 2.55E+07 1.37E+07 8.08E+06 4.21E+06 2.33E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.689  6.99E+10 1.21E+11 2.25E+12 1.96E+09 1.95E+09 5.81E+09 5.66E+09 9.33E+09 8.15E+09 1.05E+10 9.63E+09 1.03E+10 8.64E+09 8.93E+09 7.35E+09 7.26E+09 5.64E+09 4.92E+09 3.83E+09 3.10E+09 2.29E+09 1.88E+09 1.28E+09 9.83E+08 6.40E+08 4.47E+08 2.80E+08 1.96E+08 1.14E+08 7.44E+07 4.10E+07 2.45E+07 1.31E+07 7.29E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.722  5.02E+11 7.44E+11 1.41E+13 1.16E+10 1.15E+10 3.43E+10 3.35E+10 5.53E+10 4.86E+10 6.27E+10 5.78E+10 6.19E+10 5.26E+10 5.46E+10 4.54E+10 4.51E+10 3.55E+10 3.12E+10 2.47E+10 2.02E+10 1.52E+10 1.26E+10 8.79E+09 6.85E+09 4.57E+09 3.24E+09 2.09E+09 1.49E+09 8.97E+08 5.99E+08 3.45E+08 2.07E+08 1.11E+08 6.09E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.754  3.00E+12 4.25E+12 8.40E+13 5.13E+10 5.10E+10 1.52E+11 1.59E+11 2.68E+11 2.80E+11 3.62E+11 3.35E+11 3.61E+11 3.09E+11 3.22E+11 2.70E+11 2.70E+11 2.15E+11 1.90E+11 1.52E+11 1.26E+11 9.62E+10 8.09E+10 5.73E+10 4.52E+10 3.08E+10 2.22E+10 1.47E+10 1.07E+10 6.27E+09 4.11E+09 2.23E+09 1.33E+09 7.22E+08 4.12E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.785  8.28E+12 6.31E+12 1.93E+14 2.05E+10 1.96E+10 6.88E+10 7.21E+10 1.08E+11 9.92E+10 1.23E+11 1.00E+11 1.21E+11 1.13E+11 1.17E+11 1.48E+11 2.98E+11 4.26E+11 7.03E+11 7.76E+11 7.55E+11 5.86E+11 4.97E+11 3.58E+11 2.76E+11 1.87E+11 1.25E+11 7.83E+10 5.44E+10 3.20E+10 2.12E+10 1.20E+10 7.37E+09 4.11E+09 2.41E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
