                    *********************************************************************************
                    *  Z= 95 A=242: Positive-Parity Spin-dependent Level Density [MeV-1] for AM242  *
  11.00  0.707  3.86E+11 5.74E+11 1.18E+13 2.95E+06 1.58E+10 1.57E+10 3.12E+10 3.06E+10 4.11E+10 3.88E+10 4.58E+10 4.07E+10 4.37E+10 3.77E+10 3.88E+10 3.32E+10 2.99E+10 2.50E+10 2.22E+10 1.81E+10 1.52E+10 1.22E+10 1.00E+10 7.43E+09 5.76E+09 4.36E+09 3.39E+09 2.45E+09 1.85E+09 1.32E+09 9.17E+08 5.88E+08 3.40E+08 1.74E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.739  2.39E+12 3.44E+12 7.14E+13 1.61E+07 9.22E+10 9.13E+10 1.82E+11 1.78E+11 2.41E+11 2.28E+11 2.70E+11 2.41E+11 2.59E+11 2.25E+11 2.32E+11 2.00E+11 1.81E+11 1.53E+11 1.37E+11 1.13E+11 9.54E+10 7.71E+10 6.43E+10 4.82E+10 3.78E+10 2.90E+10 2.28E+10 1.61E+10 1.03E+10 6.34E+09 3.70E+09 2.12E+09 1.26E+09 6.28E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.769  7.09E+12 5.96E+12 1.84E+14 8.80E+07 3.18E+10 3.38E+10 6.58E+10 6.33E+10 8.45E+10 7.80E+10 1.10E+11 7.23E+10 1.10E+11 1.45E+11 2.76E+11 3.39E+11 5.44E+11 5.89E+11 6.22E+11 5.82E+11 5.42E+11 4.62E+11 3.83E+11 2.81E+11 2.01E+11 1.33E+11 8.18E+10 5.43E+10 3.27E+10 2.11E+10 1.25E+10 7.10E+09 4.52E+09 2.23E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.798  1.20E+13 3.77E+12 1.49E+14 1.18E+08 5.52E+09 4.49E+09 5.79E+09 5.78E+09 2.20E+09 1.03E+10 3.28E+10 1.59E+10 4.58E+10 4.30E+10 5.86E+10 1.20E+11 1.17E+11 7.81E+10 7.31E+10 3.58E+10 1.03E+11 2.30E+11 5.25E+11 6.77E+11 5.63E+11 3.72E+11 2.41E+11 1.56E+11 9.90E+10 6.24E+10 3.91E+10 2.16E+10 1.50E+10 6.91E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.826  1.47E+13 1.70E+12 7.41E+13 6.84E+08 6.44E+09 8.18E+09 1.75E+10 9.79E+09 1.53E+10 6.92E+09 4.44E+08 2.79E+09 1.29E+10 9.18E+09 1.25E+10 8.14E+09 3.91E+09 1.19E+09 2.79E+10 7.28E+10 4.27E+10 4.39E+10 1.31E+11 1.85E+09 9.09E+10 3.74E+11 2.91E+11 1.96E+11 1.22E+11 8.10E+10 5.52E+10 2.93E+10 1.84E+10 9.27E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  0.853  1.65E+13 1.83E+12 7.74E+13 3.98E+09 7.52E+09 1.49E+10 5.31E+10 1.66E+10 1.07E+11 4.64E+09 6.02E+06 4.92E+08 3.63E+09 1.96E+09 2.67E+09 5.51E+08 1.31E+08 1.81E+07 1.07E+10 1.48E+11 1.78E+10 8.37E+09 3.26E+10 5.03E+06 1.47E+10 3.75E+11 3.51E+11 2.46E+11 1.50E+11 1.05E+11 7.79E+10 3.98E+10 2.25E+10 1.24E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.879  1.89E+13 2.96E+12 1.01E+14 2.31E+10 8.78E+09 2.71E+10 1.61E+11 2.81E+10 7.46E+11 3.11E+09 8.17E+04 8.67E+07 1.02E+09 4.18E+08 5.69E+08 3.74E+07 4.40E+06 2.76E+05 4.08E+09 3.01E+11 7.38E+09 1.60E+09 8.12E+09 1.37E+04 2.37E+09 3.77E+11 4.24E+11 3.09E+11 1.85E+11 1.37E+11 1.10E+11 5.40E+10 2.75E+10 1.67E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  0.905  2.46E+13 8.52E+12 1.79E+14 1.35E+11 1.02E+10 4.94E+10 4.86E+11 4.76E+10 5.20E+12 2.09E+09 1.11E+03 1.53E+07 2.89E+08 8.93E+07 1.21E+08 2.53E+06 1.47E+05 4.21E+03 1.56E+09 6.13E+11 3.07E+09 3.05E+08 2.02E+09 3.73E+01 3.82E+08 3.79E+11 5.12E+11 3.88E+11 2.28E+11 1.77E+11 1.55E+11 7.33E+10 3.36E+10 2.23E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.929  5.01E+13 4.24E+13 5.72E+14 7.83E+11 1.20E+10 9.00E+10 1.47E+12 8.06E+10 3.63E+13 1.40E+09 1.50E+01 2.69E+06 8.14E+07 1.91E+07 2.59E+07 1.72E+05 4.94E+03 6.42E+01 5.97E+08 1.25E+12 1.28E+09 5.82E+07 5.03E+08 0.00E+00 6.17E+07 3.80E+11 6.18E+11 4.86E+11 2.82E+11 2.30E+11 2.19E+11 9.96E+10 4.12E+10 3.00E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.953  2.05E+14 2.68E+14 3.05E+15 4.55E+12 1.40E+10 1.64E+11 4.45E+12 1.36E+11 2.53E+14 9.37E+08 0.00E+00 4.74E+05 2.29E+07 4.07E+06 5.53E+06 1.16E+04 1.65E+02 0.00E+00 2.28E+08 2.54E+12 5.30E+08 1.11E+07 1.25E+08 0.00E+00 9.96E+06 3.82E+11 7.47E+11 6.11E+11 3.47E+11 2.99E+11 3.09E+11 1.35E+11 5.04E+10 4.02E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.011  4.18E+16 3.30E+16 3.60E+17 3.71E+14 2.05E+10 7.34E+11 7.09E+13 5.10E+11 3.26E+16 3.45E+08 0.00E+00 6.17E+03 9.67E+05 8.56E+04 1.16E+05 1.39E+01 0.00E+00 0.00E+00 2.06E+07 1.50E+13 5.91E+07 1.77E+05 3.88E+06 0.00E+00 1.04E+05 3.86E+11 1.20E+12 1.08E+12 5.85E+11 5.75E+11 7.32E+11 2.90E+11 8.34E+10 8.36E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.066  2.04E+17 9.64E+16 7.56E+17 3.03E+16 3.02E+10 3.29E+12 1.13E+15 1.90E+12 6.49E+16 1.27E+08 0.00E+00 8.03E+01 4.08E+04 1.80E+03 2.44E+03 0.00E+00 0.00E+00 0.00E+00 1.86E+06 8.86E+13 6.58E+06 2.81E+03 1.20E+05 0.00E+00 1.09E+03 3.91E+11 1.91E+12 1.90E+12 9.87E+11 1.10E+12 1.73E+12 6.23E+11 1.38E+11 1.74E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.168  5.06E+20 2.02E+20 2.06E+20 2.02E+20 6.54E+10 6.59E+13 2.87E+17 2.65E+13 2.58E+17 1.71E+07 0.00E+00 0.00E+00 7.24E+01 7.98E-01 1.08E+00 0.00E+00 0.00E+00 0.00E+00 1.52E+04 3.09E+15 8.16E+04 7.12E-01 1.15E+02 0.00E+00 1.20E-01 4.00E+11 4.91E+12 5.93E+12 2.81E+12 4.08E+12 9.70E+12 2.88E+12 3.79E+11 7.54E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.348  4.58E+21 6.13E+20 7.80E+20 6.05E+20 3.07E+11 2.65E+16 8.59E+17 5.16E+15 4.06E+18 3.14E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.02E+00 3.76E+18 1.26E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.18E+11 3.23E+13 5.76E+13 2.27E+13 5.56E+13 3.05E+14 6.12E+13 2.86E+12 1.42E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.508  1.71E+22 1.89E+21 2.78E+21 1.81E+21 1.44E+12 5.29E+16 2.57E+18 1.03E+16 6.39E+19 5.75E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.53E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.37E+11 2.12E+14 5.60E+14 1.84E+14 7.58E+14 9.56E+15 1.30E+15 2.15E+13 2.66E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.651  5.89E+22 6.47E+21 1.71E+22 5.44E+21 6.74E+12 1.06E+17 7.69E+18 2.05E+16 1.01E+21 1.05E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.57E+11 1.40E+15 5.44E+15 1.49E+15 1.03E+16 3.00E+17 2.77E+16 1.62E+14 4.99E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.784  2.52E+23 3.22E+22 1.93E+23 1.63E+22 3.16E+13 2.11E+17 2.30E+19 4.10E+16 1.59E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.01E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.78E+11 9.19E+15 5.29E+16 1.21E+16 1.41E+17 9.42E+18 5.89E+17 1.22E+15 9.37E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.907  1.91E+24 2.99E+23 2.82E+24 4.90E+22 1.48E+14 4.22E+17 6.88E+19 8.17E+16 2.50E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.01E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.00E+11 6.04E+16 5.13E+17 9.76E+16 1.92E+18 2.96E+20 1.25E+19 9.21E+15 1.76E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.023  2.39E+25 4.09E+24 4.40E+25 1.47E+23 6.95E+14 8.43E+17 2.06E+20 1.63E+17 3.94E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.23E+11 3.98E+17 4.99E+18 7.90E+17 2.62E+19 9.28E+21 2.67E+20 6.94E+16 3.31E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.132  3.58E+26 6.28E+25 6.99E+26 4.40E+23 3.26E+15 1.68E+18 6.16E+20 3.25E+17 6.20E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.40E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.47E+11 2.61E+18 4.85E+19 6.40E+18 3.57E+20 2.91E+23 5.67E+21 5.23E+17 6.21E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.236  5.61E+27 9.87E+26 1.13E+28 1.32E+24 1.53E+16 3.36E+18 1.84E+21 6.49E+17 9.77E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.80E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.72E+11 1.72E+19 4.71E+20 5.18E+19 4.87E+21 9.15E+24 1.21E+23 3.94E+18 1.17E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.335  8.90E+28 1.57E+28 1.85E+29 3.96E+24 7.17E+16 6.72E+18 5.52E+21 1.29E+18 1.54E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.61E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.98E+11 1.13E+20 4.57E+21 4.19E+20 6.63E+22 2.87E+26 2.57E+24 2.97E+19 2.19E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.431  1.42E+30 2.51E+29 3.17E+30 1.19E+25 3.36E+17 1.34E+19 1.65E+22 2.58E+18 2.42E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.92E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.26E+11 7.44E+20 4.44E+22 3.39E+21 9.04E+23 9.01E+27 5.46E+25 2.24E+20 4.11E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.523  2.32E+31 4.10E+30 5.76E+31 3.57E+25 1.58E+18 2.68E+19 4.94E+22 5.15E+18 3.82E+30 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.84E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.54E+11 4.89E+21 4.32E+23 2.75E+22 1.23E+25 2.83E+29 1.16E+27 1.68E+21 7.72E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.611  3.89E+32 6.91E+31 1.15E+33 1.07E+26 7.39E+18 5.35E+19 1.48E+23 1.03E+19 6.02E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.68E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.84E+11 3.22E+22 4.19E+24 2.22E+23 1.68E+26 8.88E+30 2.47E+28 1.27E+22 1.45E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.697  6.87E+33 1.23E+33 2.58E+34 3.21E+26 3.46E+19 1.07E+20 4.42E+23 2.05E+19 9.48E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.53E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.16E+11 2.12E+23 4.07E+25 1.80E+24 2.29E+27 2.79E+32 5.26E+29 9.56E+22 2.72E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.780  1.31E+35 2.37E+34 6.46E+35 9.63E+26 1.62E+20 2.14E+20 1.32E+24 4.09E+19 1.49E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.07E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.49E+11 1.39E+24 3.96E+26 1.46E+25 3.12E+28 8.75E+33 1.12E+31 7.20E+23 5.11E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.860  2.80E+36 5.10E+35 1.77E+37 2.89E+27 7.61E+20 4.27E+20 3.96E+24 8.15E+19 2.35E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.13E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.83E+11 9.16E+24 3.85E+27 1.18E+26 4.26E+29 2.75E+35 2.38E+32 5.43E+24 9.59E+30 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  2.939  6.70E+37 1.23E+37 5.15E+38 8.66E+27 3.57E+21 8.52E+20 1.18E+25 1.63E+20 3.70E+36 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.23E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.19E+11 6.02E+25 3.74E+28 9.55E+26 5.81E+30 8.62E+36 5.06E+33 4.09E+25 1.80E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.015  1.77E+39 3.29E+38 1.55E+40 2.60E+28 1.67E+22 1.70E+21 3.55E+25 3.24E+20 5.83E+37 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.45E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.57E+11 3.96E+26 3.63E+29 7.73E+27 7.92E+31 2.71E+38 1.08E+35 3.08E+26 3.38E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 95 A=243: Positive-Parity Spin-dependent Level Density [MeV-1] for AM243  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.106  3.00E+00 1.73E+01 1.91E+02 0.00E+00 1.67E+00 3.22E+00 3.11E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.150  7.00E+00 1.72E+01 2.24E+02 0.00E+00 1.67E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 3.11E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.184  1.30E+01 3.45E+01 3.99E+02 1.55E+00 4.89E+00 4.69E+00 6.32E+00 3.11E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 3.11E+00 1.55E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.213  2.50E+01 5.49E+01 6.40E+02 3.22E+00 4.77E+00 8.02E+00 9.43E+00 6.21E+00 4.66E+00 6.21E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.238  5.20E+01 1.66E+02 1.84E+03 8.22E+00 1.42E+01 2.38E+01 2.83E+01 2.02E+01 2.02E+01 1.56E+01 9.32E+00 7.88E+00 7.76E+00 3.11E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
