                    *********************************************************************************
                    *  Z= 73 A=181: Positive-Parity Spin-dependent Level Density [MeV-1] for TA181  *
   2.25  0.370  1.97E+02 4.25E+02 4.54E+03 1.85E+01 4.15E+01 5.61E+01 5.77E+01 5.90E+01 6.35E+01 5.00E+01 2.89E+01 1.64E+01 1.49E+01 8.96E+00 4.48E+00 4.65E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.390  3.24E+02 5.96E+02 6.37E+03 3.08E+01 5.96E+01 7.56E+01 8.36E+01 7.85E+01 7.28E+01 7.23E+01 5.13E+01 3.04E+01 1.66E+01 1.22E+01 5.97E+00 6.32E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.409  5.45E+02 1.17E+03 1.27E+04 5.35E+01 1.07E+02 1.50E+02 1.82E+02 1.56E+02 1.41E+02 1.12E+02 8.76E+01 7.41E+01 3.93E+01 2.44E+01 2.18E+01 1.06E+01 5.97E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.427  9.03E+02 1.70E+03 1.88E+04 6.67E+01 1.45E+02 2.15E+02 2.53E+02 2.46E+02 2.16E+02 1.71E+02 1.27E+02 1.04E+02 7.28E+01 3.48E+01 2.50E+01 1.38E+01 7.46E+00 1.49E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.444  1.49E+03 3.02E+03 3.40E+04 1.32E+02 2.63E+02 3.60E+02 4.05E+02 4.26E+02 3.91E+02 3.23E+02 2.39E+02 1.74E+02 1.29E+02 8.03E+01 4.37E+01 3.17E+01 1.05E+01 9.34E+00 3.67E-01 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.461  2.43E+03 4.49E+03 5.09E+04 2.00E+02 3.97E+02 5.41E+02 6.10E+02 6.16E+02 5.38E+02 4.60E+02 3.71E+02 2.74E+02 1.93E+02 1.33E+02 7.25E+01 4.21E+01 2.28E+01 1.25E+01 4.85E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.477  3.97E+03 7.84E+03 9.01E+04 3.40E+02 6.52E+02 8.84E+02 1.04E+03 1.11E+03 9.89E+02 8.11E+02 6.35E+02 5.02E+02 3.49E+02 2.22E+02 1.54E+02 6.79E+01 4.48E+01 2.16E+01 1.25E+01 1.49E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.493  6.37E+03 1.14E+04 1.33E+05 4.83E+02 9.30E+02 1.28E+03 1.46E+03 1.54E+03 1.46E+03 1.24E+03 9.28E+02 7.05E+02 5.11E+02 3.36E+02 2.31E+02 1.28E+02 7.62E+01 3.95E+01 1.97E+01 4.83E+00 1.52E+00 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.508  1.02E+04 1.95E+04 2.29E+05 8.44E+02 1.62E+03 2.21E+03 2.43E+03 2.55E+03 2.38E+03 2.13E+03 1.71E+03 1.28E+03 8.74E+02 5.92E+02 4.03E+02 2.41E+02 1.30E+02 7.03E+01 2.90E+01 1.71E+01 3.94E+00 2.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.523  1.63E+04 2.87E+04 3.39E+05 1.22E+03 2.37E+03 3.29E+03 3.71E+03 3.68E+03 3.39E+03 3.01E+03 2.47E+03 1.95E+03 1.33E+03 8.97E+02 6.19E+02 3.64E+02 2.14E+02 1.03E+02 5.61E+01 3.84E+01 1.47E+01 6.32E+00 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.537  2.61E+04 4.98E+04 5.94E+05 2.02E+03 4.01E+03 5.57E+03 6.26E+03 6.61E+03 6.03E+03 5.02E+03 4.17E+03 3.37E+03 2.46E+03 1.59E+03 1.13E+03 6.84E+02 4.08E+02 2.08E+02 1.22E+02 5.14E+01 3.46E+01 9.30E+00 3.25E+00 3.48E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.551  4.12E+04 7.11E+04 8.58E+05 2.80E+03 5.56E+03 7.71E+03 9.00E+03 9.38E+03 8.58E+03 7.52E+03 5.81E+03 4.80E+03 3.56E+03 2.41E+03 1.65E+03 1.01E+03 6.30E+02 3.27E+02 1.98E+02 9.27E+01 5.97E+01 2.03E+01 9.52E+00 3.77E+00 3.86E-01 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.578  1.02E+05 1.73E+05 2.12E+06 6.76E+03 1.33E+04 1.82E+04 2.11E+04 2.19E+04 2.03E+04 1.83E+04 1.48E+04 1.22E+04 8.65E+03 6.16E+03 4.51E+03 2.66E+03 1.69E+03 9.71E+02 5.75E+02 2.97E+02 1.49E+02 9.21E+01 3.80E+01 1.94E+01 3.93E+00 3.44E+00 0.00E+00 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.604  2.49E+05 4.13E+05 5.17E+06 1.57E+04 3.06E+04 4.25E+04 4.93E+04 5.18E+04 4.84E+04 4.37E+04 3.55E+04 2.92E+04 2.17E+04 1.55E+04 1.12E+04 7.20E+03 4.63E+03 2.64E+03 1.61E+03 8.91E+02 5.23E+02 2.66E+02 1.53E+02 6.43E+01 2.39E+01 1.33E+01 5.70E+00 2.19E+00 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.629  5.97E+05 9.80E+05 1.25E+07 3.56E+04 7.06E+04 9.85E+04 1.15E+05 1.21E+05 1.14E+05 1.03E+05 8.53E+04 7.07E+04 5.30E+04 3.84E+04 2.84E+04 1.80E+04 1.21E+04 7.21E+03 4.48E+03 2.58E+03 1.55E+03 9.23E+02 4.29E+02 2.45E+02 1.08E+02 5.57E+01 2.60E+01 1.30E+01 6.87E+00 4.03E+00 1.67E+00 1.74E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.652  1.41E+06 2.28E+06 2.95E+07 8.10E+04 1.60E+05 2.23E+05 2.60E+05 2.74E+05 2.62E+05 2.39E+05 1.99E+05 1.66E+05 1.27E+05 9.34E+04 6.93E+04 4.52E+04 3.08E+04 1.90E+04 1.20E+04 7.08E+03 4.23E+03 2.57E+03 1.43E+03 8.03E+02 4.36E+02 2.05E+02 1.18E+02 6.36E+01 3.24E+01 1.65E+01 7.02E+00 1.84E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.675  3.30E+06 5.26E+06 6.91E+07 1.82E+05 3.61E+05 5.05E+05 5.91E+05 6.25E+05 5.98E+05 5.47E+05 4.59E+05 3.87E+05 2.98E+05 2.22E+05 1.68E+05 1.11E+05 7.72E+04 4.82E+04 3.14E+04 1.91E+04 1.20E+04 7.47E+03 4.28E+03 2.57E+03 1.19E+03 7.26E+02 3.79E+02 2.00E+02 1.23E+02 5.20E+01 2.25E+01 7.71E+00 1.49E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.697  7.59E+06 1.19E+07 1.59E+08 3.96E+05 7.84E+05 1.11E+06 1.31E+06 1.39E+06 1.34E+06 1.24E+06 1.05E+06 8.90E+05 6.92E+05 5.22E+05 3.99E+05 2.69E+05 1.89E+05 1.20E+05 7.99E+04 5.00E+04 3.19E+04 2.07E+04 1.19E+04 7.37E+03 3.83E+03 2.32E+03 1.37E+03 7.48E+02 4.31E+02 2.05E+02 1.09E+02 3.51E+01 1.34E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.719  1.73E+07 2.69E+07 3.65E+08 8.75E+05 1.73E+06 2.45E+06 2.91E+06 3.10E+06 2.99E+06 2.76E+06 2.37E+06 2.02E+06 1.59E+06 1.21E+06 9.36E+05 6.36E+05 4.54E+05 2.96E+05 1.99E+05 1.27E+05 8.28E+04 5.46E+04 3.27E+04 2.08E+04 1.11E+04 6.92E+03 3.97E+03 2.39E+03 1.48E+03 7.47E+02 4.09E+02 1.29E+02 4.78E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.740  3.90E+07 6.01E+07 8.27E+08 1.92E+06 3.80E+06 5.37E+06 6.40E+06 6.83E+06 6.62E+06 6.16E+06 5.32E+06 4.54E+06 3.60E+06 2.77E+06 2.16E+06 1.49E+06 1.07E+06 7.12E+05 4.86E+05 3.17E+05 2.11E+05 1.42E+05 8.69E+04 5.64E+04 3.07E+04 1.97E+04 1.16E+04 7.19E+03 4.58E+03 2.31E+03 1.24E+03 4.29E+02 1.66E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.760  8.74E+07 1.33E+08 1.86E+09 4.17E+06 8.26E+06 1.17E+07 1.40E+07 1.49E+07 1.45E+07 1.36E+07 1.18E+07 1.01E+07 8.08E+06 6.27E+06 4.93E+06 3.44E+06 2.51E+06 1.69E+06 1.17E+06 7.72E+05 5.23E+05 3.59E+05 2.24E+05 1.48E+05 8.32E+04 5.44E+04 3.32E+04 2.09E+04 1.36E+04 7.17E+03 3.80E+03 1.53E+03 6.60E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.780  1.94E+08 2.93E+08 4.13E+09 8.99E+06 1.78E+07 2.53E+07 3.02E+07 3.24E+07 3.17E+07 2.97E+07 2.59E+07 2.23E+07 1.80E+07 1.40E+07 1.11E+07 7.83E+06 5.78E+06 3.94E+06 2.76E+06 1.85E+06 1.27E+06 8.88E+05 5.63E+05 3.81E+05 2.18E+05 1.45E+05 9.01E+04 5.83E+04 3.84E+04 2.11E+04 1.16E+04 4.78E+03 2.10E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.818  1.03E+09 1.38E+09 2.00E+10 4.09E+07 8.12E+07 1.15E+08 1.39E+08 1.49E+08 1.47E+08 1.38E+08 1.22E+08 1.06E+08 8.63E+07 6.84E+07 5.50E+07 3.94E+07 2.96E+07 2.07E+07 1.48E+07 1.02E+07 7.20E+06 5.16E+06 3.38E+06 2.35E+06 1.40E+06 9.64E+05 6.20E+05 4.14E+05 2.84E+05 1.61E+05 9.13E+04 4.07E+04 1.89E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.854  4.90E+09 6.35E+09 9.36E+10 1.82E+08 3.61E+08 5.13E+08 6.18E+08 6.68E+08 6.60E+08 6.27E+08 5.56E+08 4.88E+08 4.02E+08 3.22E+08 2.62E+08 1.91E+08 1.46E+08 1.04E+08 7.58E+07 5.33E+07 3.84E+07 2.82E+07 1.89E+07 1.35E+07 8.28E+06 5.87E+06 3.88E+06 2.67E+06 1.89E+06 1.11E+06 6.45E+05 3.02E+05 1.45E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.889  2.24E+10 2.86E+10 4.29E+11 8.07E+08 1.60E+09 2.27E+09 2.71E+09 2.94E+09 2.92E+09 2.79E+09 2.47E+09 2.19E+09 1.81E+09 1.47E+09 1.21E+09 8.97E+08 6.94E+08 5.00E+08 3.71E+08 2.66E+08 1.96E+08 1.46E+08 1.00E+08 7.32E+07 4.60E+07 3.34E+07 2.26E+07 1.60E+07 1.15E+07 6.97E+06 4.15E+06 2.02E+06 1.00E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.922  9.89E+10 1.25E+11 1.90E+12 3.42E+09 6.79E+09 9.62E+09 1.15E+10 1.25E+10 1.25E+10 1.20E+10 1.07E+10 9.58E+09 8.00E+09 6.52E+09 5.42E+09 4.07E+09 3.19E+09 2.32E+09 1.76E+09 1.28E+09 9.54E+08 7.25E+08 5.07E+08 3.76E+08 2.42E+08 1.79E+08 1.25E+08 8.98E+07 6.64E+07 4.07E+07 2.47E+07 1.24E+07 6.27E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.955  3.17E+11 3.12E+11 4.85E+12 8.14E+09 1.62E+10 2.33E+10 2.84E+10 3.11E+10 3.07E+10 2.97E+10 2.71E+10 2.42E+10 2.04E+10 1.66E+10 1.38E+10 1.06E+10 8.26E+09 6.13E+09 4.65E+09 3.42E+09 2.57E+09 1.98E+09 1.42E+09 1.06E+09 6.98E+08 5.23E+08 3.70E+08 2.70E+08 2.01E+08 1.27E+08 7.83E+07 3.89E+07 2.02E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
