                    *********************************************************************************
                    *  Z= 20 A= 32: Positive-Parity Spin-dependent Level Density [MeV-1] for CA 32  *
  12.00  2.000  5.28E+03 3.49E+03 4.79E+04 1.22E+02 2.08E+02 3.56E+02 3.62E+02 3.82E+02 3.85E+02 3.20E+02 3.02E+02 2.85E+02 2.03E+02 1.72E+02 1.08E+02 9.83E+01 6.00E+01 5.33E+01 4.00E+01 2.00E+01 6.67E+00 4.70E+00 3.99E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  2.082  1.07E+04 7.25E+03 1.01E+05 3.46E+02 4.67E+02 7.23E+02 6.80E+02 7.23E+02 6.60E+02 6.73E+02 6.35E+02 5.60E+02 4.90E+02 4.08E+02 2.77E+02 2.15E+02 1.20E+02 1.03E+02 5.83E+01 4.67E+01 2.18E+01 2.17E+01 4.45E+00 9.20E+00 5.48E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  2.160  2.16E+04 1.47E+04 2.10E+05 6.03E+02 1.12E+03 1.23E+03 1.29E+03 1.25E+03 1.36E+03 1.47E+03 1.42E+03 1.22E+03 1.02E+03 7.40E+02 5.68E+02 4.37E+02 2.93E+02 2.22E+02 1.38E+02 1.03E+02 8.93E+01 6.00E+01 4.00E+01 1.67E+01 6.67E+00 1.67E+00 2.15E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  2.236  3.88E+04 1.96E+04 2.89E+05 6.18E+02 1.11E+03 1.58E+03 1.75E+03 1.84E+03 1.99E+03 2.08E+03 1.80E+03 1.59E+03 1.37E+03 1.04E+03 7.54E+02 5.68E+02 4.64E+02 3.38E+02 2.28E+02 1.58E+02 1.02E+02 8.40E+01 4.20E+01 2.60E+01 1.58E+01 1.16E+01 3.16E+00 6.46E+00 4.00E+00 0.00E+00 0.00E+00 2.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  2.309  6.15E+04 2.59E+04 3.85E+05 6.33E+02 1.10E+03 2.04E+03 2.37E+03 2.71E+03 2.92E+03 2.94E+03 2.27E+03 2.08E+03 1.84E+03 1.35E+03 9.40E+02 6.99E+02 6.35E+02 4.54E+02 3.18E+02 2.13E+02 1.15E+02 1.08E+02 4.40E+01 3.53E+01 2.49E+01 2.16E+01 4.17E+00 1.12E+01 8.00E+00 0.00E+00 0.00E+00 4.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  2.380  9.16E+04 3.42E+04 5.07E+05 6.48E+02 1.09E+03 2.62E+03 3.22E+03 3.98E+03 4.29E+03 4.15E+03 2.87E+03 2.71E+03 2.47E+03 1.74E+03 1.13E+03 8.31E+02 8.05E+02 5.71E+02 4.07E+02 2.67E+02 1.27E+02 1.32E+02 4.60E+01 4.46E+01 3.40E+01 3.16E+01 5.17E+00 1.60E+01 1.20E+01 0.00E+00 0.00E+00 6.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  2.449  1.31E+05 4.55E+04 6.67E+05 6.62E+02 1.08E+03 3.38E+03 4.36E+03 5.85E+03 6.28E+03 5.85E+03 3.62E+03 3.53E+03 3.32E+03 2.25E+03 1.31E+03 9.62E+02 9.76E+02 6.87E+02 4.97E+02 3.22E+02 1.40E+02 1.56E+02 4.80E+01 5.39E+01 4.32E+01 4.16E+01 6.18E+00 2.08E+01 1.60E+01 0.00E+00 0.00E+00 8.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  2.517  1.85E+05 6.08E+04 8.78E+05 6.77E+02 1.07E+03 4.35E+03 5.90E+03 8.59E+03 9.21E+03 8.26E+03 4.57E+03 4.61E+03 4.46E+03 2.90E+03 1.53E+03 1.09E+03 1.15E+03 8.03E+02 5.87E+02 3.77E+02 1.53E+02 1.80E+02 5.00E+01 6.32E+01 5.23E+01 5.15E+01 7.19E+00 2.56E+01 2.00E+01 0.00E+00 0.00E+00 1.00E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  2.582  2.56E+05 8.17E+04 1.16E+06 6.92E+02 1.06E+03 5.61E+03 7.99E+03 1.26E+04 1.35E+04 1.17E+04 5.78E+03 6.02E+03 5.99E+03 3.75E+03 1.78E+03 1.22E+03 1.32E+03 9.20E+02 6.76E+02 4.31E+02 1.66E+02 2.04E+02 5.20E+01 7.25E+01 6.14E+01 6.15E+01 8.20E+00 3.04E+01 2.40E+01 0.00E+00 0.00E+00 1.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  2.739  5.79E+05 1.77E+05 2.41E+06 7.29E+02 1.04E+03 1.06E+04 1.71E+04 3.31E+04 3.52E+04 2.76E+04 1.04E+04 1.17E+04 1.25E+04 7.10E+03 2.61E+03 1.63E+03 1.86E+03 1.21E+03 9.00E+02 5.68E+02 1.97E+02 2.64E+02 5.70E+01 9.57E+01 8.42E+01 8.64E+01 1.07E+01 4.24E+01 3.40E+01 0.00E+00 0.00E+00 1.70E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  2.887  1.29E+06 3.96E+05 5.20E+06 7.65E+02 1.02E+03 1.99E+04 3.65E+04 8.66E+04 9.15E+04 6.54E+04 1.86E+04 2.28E+04 2.62E+04 1.34E+04 3.82E+03 2.16E+03 2.64E+03 1.50E+03 1.12E+03 7.05E+02 2.29E+02 3.24E+02 6.20E+01 1.19E+02 1.07E+02 1.11E+02 1.32E+01 5.44E+01 4.40E+01 0.00E+00 0.00E+00 2.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  3.162  7.66E+06 2.15E+06 2.68E+07 8.39E+02 9.79E+02 7.04E+04 1.66E+05 5.94E+05 6.20E+05 3.67E+05 5.98E+04 8.63E+04 1.14E+05 4.83E+04 8.19E+03 3.81E+03 5.28E+03 2.31E+03 1.57E+03 9.78E+02 2.93E+02 4.44E+02 7.20E+01 1.65E+02 1.53E+02 1.61E+02 1.83E+01 7.83E+01 6.40E+01 0.00E+00 0.00E+00 3.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  3.651  4.04E+08 7.70E+07 9.07E+08 9.86E+02 8.98E+02 8.84E+05 3.46E+06 2.79E+07 2.85E+07 1.15E+07 6.19E+05 1.24E+06 2.19E+06 6.21E+05 3.77E+04 1.18E+04 2.11E+04 5.46E+03 3.08E+03 1.52E+03 4.20E+02 6.84E+02 9.20E+01 2.58E+02 2.44E+02 2.61E+02 2.84E+01 1.26E+02 1.04E+02 0.00E+00 0.00E+00 5.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  4.082  1.65E+10 3.14E+09 3.60E+10 1.13E+03 8.17E+02 1.11E+07 7.20E+07 1.31E+09 1.31E+09 3.63E+08 6.41E+06 1.77E+07 4.18E+07 8.00E+06 1.74E+05 3.68E+04 8.46E+04 1.29E+04 6.02E+03 2.07E+03 5.48E+02 9.24E+02 1.12E+02 3.51E+02 3.35E+02 3.61E+02 3.85E+01 1.74E+02 1.44E+02 0.00E+00 0.00E+00 7.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  4.472  7.12E+11 1.36E+11 1.53E+12 1.28E+03 7.36E+02 1.39E+08 1.50E+09 6.17E+10 6.00E+10 1.14E+10 6.64E+07 2.54E+08 7.98E+08 1.03E+08 8.00E+05 1.14E+05 3.39E+05 3.06E+04 1.18E+04 2.81E+03 6.75E+02 1.16E+03 1.32E+02 4.44E+02 4.26E+02 4.60E+02 4.85E+01 2.22E+02 1.84E+02 0.00E+00 0.00E+00 9.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  4.830  3.17E+13 6.07E+12 6.78E+13 1.45E+03 6.55E+02 1.75E+09 3.12E+10 2.90E+12 2.75E+12 3.59E+11 6.88E+08 3.64E+09 1.53E+10 1.33E+09 3.68E+06 3.56E+05 1.36E+06 7.24E+04 2.30E+04 3.82E+03 8.02E+02 1.40E+03 1.52E+02 5.37E+02 5.18E+02 5.60E+02 5.86E+01 2.70E+02 2.24E+02 0.00E+00 0.00E+00 1.12E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  5.164  1.44E+15 2.75E+14 3.05E+15 1.64E+03 5.74E+02 2.20E+10 6.49E+11 1.36E+14 1.26E+14 1.13E+13 7.12E+09 5.22E+10 2.91E+11 1.71E+10 1.70E+07 1.11E+06 5.44E+06 1.71E+05 4.51E+04 5.19E+03 9.29E+02 1.69E+03 1.72E+02 6.30E+02 6.09E+02 6.60E+02 6.87E+01 3.18E+02 2.64E+02 0.00E+00 0.00E+00 1.32E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  5.477  6.58E+16 1.26E+16 1.39E+17 1.85E+03 4.93E+02 2.76E+11 1.35E+13 6.41E+15 5.80E+15 3.55E+14 7.37E+10 7.48E+11 5.57E+12 2.20E+11 7.81E+07 3.44E+06 2.18E+07 4.05E+05 8.81E+04 7.06E+03 1.06E+03 2.04E+03 1.92E+02 7.23E+02 7.00E+02 7.60E+02 7.88E+01 3.66E+02 3.04E+02 0.00E+00 0.00E+00 1.52E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  5.774  3.03E+18 5.79E+17 6.37E+18 2.09E+03 4.12E+02 3.47E+12 2.81E+14 3.01E+17 2.66E+17 1.12E+16 7.63E+11 1.07E+13 1.06E+14 2.84E+12 3.60E+08 1.07E+07 8.72E+07 9.59E+05 1.72E+05 9.59E+03 1.18E+03 2.46E+03 2.12E+02 8.16E+02 7.91E+02 8.59E+02 8.89E+01 4.14E+02 3.44E+02 0.00E+00 0.00E+00 1.72E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  6.055  1.40E+20 2.68E+19 2.93E+20 2.36E+03 3.31E+02 4.35E+13 5.84E+15 1.42E+19 1.22E+19 3.51E+17 7.90E+12 1.54E+14 2.03E+15 3.65E+13 1.66E+09 3.33E+07 3.49E+08 2.27E+06 3.37E+05 1.30E+04 1.33E+03 2.97E+03 2.32E+02 9.09E+02 8.83E+02 9.59E+02 9.90E+01 4.62E+02 3.84E+02 0.00E+00 0.00E+00 1.92E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  6.325  6.47E+21 1.24E+21 1.36E+22 2.67E+03 2.50E+02 5.47E+14 1.22E+17 6.66E+20 5.61E+20 1.10E+19 8.18E+13 2.20E+15 3.88E+16 4.71E+14 7.63E+09 1.03E+08 1.40E+09 5.37E+06 6.60E+05 1.77E+04 1.49E+03 3.58E+03 2.52E+02 1.00E+03 9.74E+02 1.06E+03 1.09E+02 5.09E+02 4.24E+02 0.00E+00 0.00E+00 2.12E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  6.583  3.00E+23 5.75E+22 6.27E+23 3.01E+03 1.69E+02 6.86E+15 2.53E+18 3.13E+22 2.58E+22 3.47E+20 8.47E+14 3.15E+16 7.42E+17 6.06E+15 3.51E+10 3.22E+08 5.60E+09 1.27E+07 1.29E+06 2.40E+04 1.67E+03 4.32E+03 2.72E+02 1.09E+03 1.07E+03 1.16E+03 1.19E+02 5.57E+02 4.64E+02 0.00E+00 0.00E+00 2.32E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  6.831  1.39E+25 2.67E+24 2.91E+25 3.40E+03 8.83E+01 8.62E+16 5.27E+19 1.47E+24 1.18E+24 1.09E+22 8.77E+15 4.52E+17 1.42E+19 7.81E+16 1.62E+11 1.00E+09 2.24E+10 3.01E+07 2.52E+06 3.27E+04 1.87E+03 5.22E+03 2.92E+02 1.20E+03 1.16E+03 1.27E+03 1.29E+02 6.05E+02 5.04E+02 0.00E+00 0.00E+00 2.52E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  7.071  6.47E+26 1.24E+26 1.35E+27 3.85E+03 7.33E+00 1.08E+18 1.10E+21 6.92E+25 5.43E+25 3.44E+23 9.08E+16 6.48E+18 2.71E+20 1.01E+18 7.45E+11 3.11E+09 8.98E+10 7.11E+07 4.94E+06 4.44E+04 2.09E+03 6.29E+03 3.12E+02 1.31E+03 1.26E+03 1.39E+03 1.39E+02 6.53E+02 5.44E+02 0.00E+00 0.00E+00 2.72E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  7.303  3.01E+28 5.76E+27 6.26E+28 4.35E+03 0.00E+00 1.36E+19 2.28E+22 3.26E+27 2.49E+27 1.08E+25 9.40E+17 9.29E+19 5.18E+21 1.29E+19 3.43E+12 9.66E+09 3.60E+11 1.68E+08 9.66E+06 6.03E+04 2.34E+03 7.59E+03 3.32E+02 1.43E+03 1.36E+03 1.52E+03 1.49E+02 7.01E+02 5.84E+02 0.00E+00 0.00E+00 2.92E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  7.528  1.40E+30 2.68E+29 2.91E+30 4.91E+03 0.00E+00 1.71E+20 4.74E+23 1.53E+29 1.14E+29 3.40E+26 9.73E+18 1.33E+21 9.89E+22 1.67E+20 1.58E+13 3.00E+10 1.44E+12 3.98E+08 1.89E+07 8.19E+04 2.62E+03 9.15E+03 3.52E+02 1.56E+03 1.48E+03 1.66E+03 1.59E+02 7.49E+02 6.24E+02 0.00E+00 0.00E+00 3.12E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  7.746  6.50E+31 1.25E+31 1.35E+32 5.55E+03 0.00E+00 2.14E+21 9.87E+24 7.20E+30 5.25E+30 1.07E+28 1.01E+20 1.91E+22 1.89E+24 2.15E+21 7.27E+13 9.34E+10 5.77E+12 9.42E+08 3.70E+07 1.11E+05 2.94E+03 1.10E+04 3.72E+02 1.71E+03 1.61E+03 1.82E+03 1.70E+02 7.97E+02 6.64E+02 0.00E+00 0.00E+00 3.32E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  7.958  3.03E+33 5.80E+32 6.28E+33 6.27E+03 0.00E+00 2.69E+22 2.05E+26 3.38E+32 2.41E+32 3.36E+29 1.04E+21 2.73E+23 3.61E+25 2.77E+22 3.35E+14 2.90E+11 2.31E+13 2.23E+09 7.23E+07 1.51E+05 3.30E+03 1.33E+04 3.92E+02 1.86E+03 1.74E+03 1.99E+03 1.80E+02 8.45E+02 7.04E+02 0.00E+00 0.00E+00 3.52E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  8.165  1.41E+35 2.70E+34 2.92E+35 7.09E+03 0.00E+00 3.38E+23 4.27E+27 1.59E+34 1.11E+34 1.06E+31 1.08E+22 3.92E+24 6.90E+26 3.56E+23 1.54E+15 9.03E+11 9.25E+13 5.28E+09 1.41E+08 2.05E+05 3.69E+03 1.61E+04 4.12E+02 2.04E+03 1.89E+03 2.18E+03 1.90E+02 8.93E+02 7.44E+02 0.00E+00 0.00E+00 3.72E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 20 A= 33: Negative-parity Spin-dependent Level Density [MeV-1] for CA 33  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.289  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.408  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.500  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.577  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.645  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.707  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
