                    *********************************************************************************
                    *  Z= 92 A=233: Positive-Parity Spin-dependent Level Density [MeV-1] for U 233  *
   2.25  0.326  1.31E+03 3.27E+03 4.07E+04 1.12E+02 2.34E+02 3.38E+02 3.98E+02 3.91E+02 3.95E+02 3.65E+02 2.94E+02 2.49E+02 1.75E+02 1.17E+02 8.20E+01 5.47E+01 3.49E+01 1.67E+01 3.04E+00 3.04E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.344  2.36E+03 5.17E+03 6.58E+04 1.81E+02 3.67E+02 5.24E+02 5.91E+02 5.97E+02 5.97E+02 5.57E+02 4.92E+02 3.97E+02 3.06E+02 2.05E+02 1.41E+02 8.35E+01 6.53E+01 3.49E+01 1.67E+01 3.04E+00 4.56E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.360  4.32E+03 1.05E+04 1.35E+05 3.46E+02 6.95E+02 1.04E+03 1.23E+03 1.27E+03 1.22E+03 1.15E+03 9.35E+02 7.75E+02 6.13E+02 4.46E+02 3.13E+02 1.99E+02 1.25E+02 7.59E+01 4.71E+01 1.97E+01 3.04E+00 3.04E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.376  7.85E+03 1.77E+04 2.28E+05 6.06E+02 1.20E+03 1.71E+03 2.07E+03 2.18E+03 2.07E+03 1.88E+03 1.63E+03 1.31E+03 9.97E+02 7.08E+02 5.40E+02 3.33E+02 2.34E+02 1.25E+02 7.59E+01 4.25E+01 2.13E+01 3.04E+00 4.56E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.392  1.46E+04 3.62E+04 4.73E+05 1.22E+03 2.34E+03 3.38E+03 4.02E+03 4.25E+03 4.17E+03 3.94E+03 3.47E+03 2.83E+03 2.19E+03 1.53E+03 1.06E+03 7.10E+02 4.91E+02 2.84E+02 1.66E+02 8.35E+01 5.16E+01 2.13E+01 3.04E+00 3.04E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.406  2.64E+04 5.81E+04 7.70E+05 1.87E+03 3.62E+03 5.27E+03 6.35E+03 6.83E+03 6.70E+03 6.21E+03 5.46E+03 4.58E+03 3.78E+03 2.54E+03 1.86E+03 1.17E+03 7.93E+02 4.98E+02 2.83E+02 1.55E+02 8.20E+01 4.71E+01 2.13E+01 3.04E+00 6.08E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.421  4.80E+04 1.14E+05 1.54E+06 3.54E+03 6.95E+03 1.01E+04 1.22E+04 1.30E+04 1.28E+04 1.22E+04 1.09E+04 9.21E+03 7.45E+03 5.41E+03 4.11E+03 2.62E+03 1.72E+03 9.90E+02 6.27E+02 3.37E+02 1.76E+02 9.57E+01 5.16E+01 1.97E+01 3.04E+00 6.08E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.435  8.47E+04 1.80E+05 2.45E+06 5.40E+03 1.07E+04 1.55E+04 1.88E+04 2.03E+04 2.02E+04 1.90E+04 1.70E+04 1.44E+04 1.20E+04 8.61E+03 6.51E+03 4.46E+03 2.94E+03 1.76E+03 9.86E+02 5.83E+02 3.21E+02 1.66E+02 8.22E+01 4.25E+01 1.52E+01 3.04E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.448  1.51E+05 3.49E+05 4.82E+06 1.03E+04 2.04E+04 2.98E+04 3.58E+04 3.85E+04 3.77E+04 3.64E+04 3.29E+04 2.85E+04 2.36E+04 1.73E+04 1.32E+04 9.13E+03 6.26E+03 3.97E+03 2.30E+03 1.20E+03 6.72E+02 3.83E+02 1.78E+02 8.35E+01 4.56E+01 1.52E+01 3.04E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.461  2.63E+05 5.46E+05 7.62E+06 1.57E+04 3.10E+04 4.55E+04 5.52E+04 6.05E+04 6.03E+04 5.70E+04 5.10E+04 4.39E+04 3.74E+04 2.76E+04 2.11E+04 1.48E+04 1.02E+04 6.50E+03 3.97E+03 2.13E+03 1.12E+03 6.35E+02 3.22E+02 1.56E+02 7.59E+01 2.89E+01 9.11E+00 4.56E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.474  4.63E+05 1.06E+06 1.49E+07 3.03E+04 5.96E+04 8.71E+04 1.05E+05 1.15E+05 1.13E+05 1.10E+05 1.00E+05 8.68E+04 7.29E+04 5.38E+04 4.25E+04 2.99E+04 2.08E+04 1.36E+04 8.28E+03 4.77E+03 2.58E+03 1.38E+03 6.79E+02 3.44E+02 1.63E+02 7.59E+01 2.73E+01 3.04E+00 4.56E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.486  8.01E+05 1.65E+06 2.34E+07 4.57E+04 9.00E+04 1.32E+05 1.61E+05 1.78E+05 1.79E+05 1.71E+05 1.54E+05 1.34E+05 1.15E+05 8.57E+04 6.62E+04 4.75E+04 3.37E+04 2.20E+04 1.38E+04 7.78E+03 4.58E+03 2.38E+03 1.14E+03 5.99E+02 2.73E+02 1.20E+02 5.47E+01 2.13E+01 3.04E+00 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.510  2.42E+06 4.82E+06 7.00E+07 1.29E+05 2.53E+05 3.71E+05 4.55E+05 5.05E+05 5.12E+05 4.95E+05 4.52E+05 3.98E+05 3.47E+05 2.63E+05 2.07E+05 1.51E+05 1.08E+05 7.12E+04 4.57E+04 2.68E+04 1.59E+04 8.77E+03 4.71E+03 2.21E+03 9.90E+02 4.80E+02 2.04E+02 8.20E+01 3.49E+01 3.04E+00 6.08E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.532  7.09E+06 1.39E+07 2.05E+08 3.57E+05 7.05E+05 1.03E+06 1.27E+06 1.41E+06 1.44E+06 1.40E+06 1.29E+06 1.15E+06 1.01E+06 7.76E+05 6.20E+05 4.62E+05 3.37E+05 2.29E+05 1.49E+05 8.88E+04 5.41E+04 3.10E+04 1.67E+04 8.39E+03 4.05E+03 1.78E+03 7.72E+02 3.36E+02 1.29E+02 5.18E+01 1.53E+01 3.04E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.554  2.04E+07 3.94E+07 5.93E+08 9.83E+05 1.94E+06 2.85E+06 3.51E+06 3.93E+06 4.02E+06 3.94E+06 3.67E+06 3.29E+06 2.90E+06 2.26E+06 1.83E+06 1.38E+06 1.02E+06 7.10E+05 4.71E+05 2.90E+05 1.81E+05 1.05E+05 5.84E+04 3.03E+04 1.50E+04 7.11E+03 3.12E+03 1.28E+03 5.52E+02 1.96E+02 8.12E+01 2.63E+01 4.56E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.575  5.78E+07 1.10E+08 1.69E+09 2.66E+06 5.26E+06 7.73E+06 9.55E+06 1.07E+07 1.10E+07 1.08E+07 1.02E+07 9.21E+06 8.20E+06 6.44E+06 5.32E+06 4.04E+06 3.03E+06 2.14E+06 1.45E+06 9.12E+05 5.84E+05 3.52E+05 2.00E+05 1.06E+05 5.46E+04 2.63E+04 1.23E+04 5.53E+03 2.18E+03 8.25E+02 3.48E+02 1.15E+02 5.16E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.595  1.61E+08 3.03E+08 4.71E+09 7.11E+06 1.41E+07 2.07E+07 2.56E+07 2.89E+07 2.98E+07 2.94E+07 2.78E+07 2.53E+07 2.27E+07 1.80E+07 1.50E+07 1.16E+07 8.80E+06 6.37E+06 4.34E+06 2.79E+06 1.83E+06 1.13E+06 6.63E+05 3.64E+05 1.92E+05 9.58E+04 4.67E+04 2.14E+04 9.11E+03 3.61E+03 1.39E+03 5.56E+02 1.96E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.615  4.41E+08 8.15E+08 1.29E+10 1.83E+07 3.62E+07 5.34E+07 6.66E+07 7.60E+07 7.92E+07 7.87E+07 7.48E+07 6.85E+07 6.19E+07 4.95E+07 4.17E+07 3.25E+07 2.50E+07 1.84E+07 1.27E+07 8.38E+06 5.58E+06 3.52E+06 2.12E+06 1.20E+06 6.60E+05 3.42E+05 1.73E+05 8.21E+04 3.62E+04 1.52E+04 6.43E+03 2.37E+03 9.22E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.633  1.19E+09 2.19E+09 3.51E+10 4.79E+07 9.49E+07 1.40E+08 1.75E+08 2.00E+08 2.09E+08 2.09E+08 1.99E+08 1.83E+08 1.66E+08 1.34E+08 1.14E+08 8.97E+07 6.97E+07 5.20E+07 3.66E+07 2.44E+07 1.66E+07 1.07E+07 6.63E+06 3.86E+06 2.18E+06 1.18E+06 6.22E+05 3.08E+05 1.39E+05 6.22E+04 2.72E+04 1.09E+04 4.00E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.652  3.19E+09 5.81E+09 9.45E+10 1.24E+08 2.46E+08 3.63E+08 4.55E+08 5.21E+08 5.47E+08 5.48E+08 5.26E+08 4.85E+08 4.43E+08 3.60E+08 3.08E+08 2.44E+08 1.91E+08 1.45E+08 1.03E+08 6.99E+07 4.84E+07 3.17E+07 2.01E+07 1.21E+07 7.02E+06 3.91E+06 2.15E+06 1.11E+06 5.25E+05 2.45E+05 1.12E+05 4.60E+04 1.80E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.670  8.45E+09 1.53E+10 2.51E+11 3.19E+08 6.32E+08 9.33E+08 1.17E+09 1.34E+09 1.42E+09 1.42E+09 1.37E+09 1.27E+09 1.17E+09 9.54E+08 8.24E+08 6.57E+08 5.20E+08 3.98E+08 2.86E+08 1.97E+08 1.38E+08 9.22E+07 5.98E+07 3.67E+07 2.20E+07 1.27E+07 7.14E+06 3.83E+06 1.89E+06 9.35E+05 4.46E+05 1.91E+05 7.63E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.687  2.22E+10 3.97E+10 6.62E+11 8.11E+08 1.61E+09 2.38E+09 2.99E+09 3.44E+09 3.63E+09 3.65E+09 3.54E+09 3.29E+09 3.03E+09 2.50E+09 2.17E+09 1.74E+09 1.39E+09 1.08E+09 7.82E+08 5.45E+08 3.88E+08 2.63E+08 1.74E+08 1.09E+08 6.69E+07 3.97E+07 2.31E+07 1.28E+07 6.57E+06 3.40E+06 1.70E+06 7.56E+05 3.14E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.721  1.72E+11 2.61E+11 4.45E+12 5.12E+09 1.01E+10 1.50E+10 1.89E+10 2.18E+10 2.32E+10 2.35E+10 2.29E+10 2.14E+10 1.99E+10 1.66E+10 1.46E+10 1.19E+10 9.63E+09 7.59E+09 5.61E+09 4.00E+09 2.92E+09 2.04E+09 1.39E+09 9.04E+08 5.79E+08 3.61E+08 2.21E+08 1.31E+08 7.15E+07 3.98E+07 2.15E+07 1.03E+07 4.60E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.753  1.13E+12 1.65E+12 2.88E+13 3.13E+10 6.21E+10 9.20E+10 1.16E+11 1.35E+11 1.43E+11 1.46E+11 1.43E+11 1.35E+11 1.26E+11 1.06E+11 9.43E+10 7.77E+10 6.37E+10 5.10E+10 3.83E+10 2.79E+10 2.08E+10 1.49E+10 1.04E+10 6.99E+09 4.64E+09 3.01E+09 1.92E+09 1.19E+09 6.87E+08 4.07E+08 2.34E+08 1.19E+08 5.65E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.783  6.10E+12 8.29E+12 1.66E+14 6.79E+10 1.35E+11 2.09E+11 3.17E+11 4.27E+11 5.85E+11 7.06E+11 8.43E+11 8.29E+11 7.81E+11 6.61E+11 5.91E+11 4.93E+11 4.08E+11 3.30E+11 2.51E+11 1.86E+11 1.41E+11 1.03E+11 7.39E+10 5.08E+10 3.48E+10 2.33E+10 1.54E+10 9.97E+09 6.02E+09 3.74E+09 2.26E+09 1.21E+09 6.01E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.813  1.48E+13 9.02E+12 2.88E+14 1.80E+10 3.94E+10 5.95E+10 5.57E+10 5.30E+10 1.75E+11 1.78E+11 1.64E+11 1.39E+11 1.23E+11 1.13E+11 1.15E+11 4.51E+11 8.49E+11 1.09E+12 1.16E+12 1.07E+12 9.06E+11 6.84E+11 4.99E+11 3.51E+11 2.46E+11 1.69E+11 1.16E+11 7.74E+10 4.83E+10 3.13E+10 1.97E+10 1.09E+10 5.64E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.842  2.27E+13 6.85E+12 2.76E+14 2.23E+09 4.89E+09 1.48E+10 9.22E+09 2.46E+10 7.14E+09 1.31E+10 1.33E+10 1.68E+10 2.15E+10 8.15E+10 7.00E+10 1.29E+11 1.82E+11 1.58E+11 4.76E+09 3.28E+11 7.51E+11 9.11E+11 8.02E+11 7.85E+11 7.31E+11 5.93E+11 4.30E+11 2.96E+11 1.89E+11 1.26E+11 8.11E+10 4.56E+10 2.44E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
