                    *********************************************************************************
                    *  Z= 80 A=199: Positive-Parity Spin-dependent Level Density [MeV-1] for HG199  *
   2.25  0.353  1.46E+02 3.08E+02 2.84E+03 2.22E+01 4.74E+01 4.81E+01 4.81E+01 4.30E+01 3.13E+01 2.75E+01 1.86E+01 1.17E+01 5.29E+00 1.84E+00 4.60E-01 4.60E-01 4.60E-01 4.60E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.372  2.28E+02 3.45E+02 3.65E+03 1.80E+01 3.52E+01 4.77E+01 4.61E+01 5.05E+01 3.94E+01 3.51E+01 2.78E+01 2.21E+01 1.38E+01 5.29E+00 1.84E+00 4.60E-01 2.30E-01 4.60E-01 4.60E-01 4.60E-01 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.390  3.35E+02 5.08E+02 5.76E+03 2.25E+01 4.81E+01 6.42E+01 6.11E+01 7.57E+01 5.88E+01 4.56E+01 4.04E+01 3.11E+01 2.78E+01 1.86E+01 9.20E+00 2.53E+00 6.90E-01 4.60E-01 4.60E-01 4.60E-01 4.60E-01 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.407  4.87E+02 7.12E+02 7.97E+03 4.85E+01 6.96E+01 9.12E+01 8.97E+01 8.83E+01 7.83E+01 6.34E+01 5.12E+01 3.85E+01 3.34E+01 2.78E+01 1.86E+01 9.20E+00 2.30E+00 4.60E-01 2.30E-01 4.60E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.424  7.49E+02 1.38E+03 1.41E+04 1.25E+02 2.13E+02 2.01E+02 1.69E+02 1.50E+02 1.25E+02 1.01E+02 8.01E+01 6.39E+01 4.60E+01 3.75E+01 3.04E+01 2.35E+01 1.17E+01 2.53E+00 6.90E-01 4.60E-01 4.60E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.440  1.21E+03 2.29E+03 2.23E+04 2.08E+02 3.50E+02 3.79E+02 3.13E+02 2.70E+02 2.06E+02 1.53E+02 1.11E+02 8.73E+01 6.33E+01 4.60E+01 3.75E+01 3.04E+01 2.21E+01 9.20E+00 2.30E+00 4.60E-01 2.30E-01 4.60E-01 6.90E-01 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.455  2.06E+03 4.53E+03 4.46E+04 3.65E+02 5.79E+02 7.19E+02 6.82E+02 5.90E+02 4.92E+02 3.46E+02 2.46E+02 1.63E+02 1.13E+02 7.34E+01 5.34E+01 3.91E+01 3.13E+01 2.35E+01 1.17E+01 2.30E+00 4.60E-01 2.30E-01 4.60E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.470  3.44E+03 6.52E+03 6.77E+04 4.19E+02 7.02E+02 9.47E+02 9.74E+02 8.90E+02 7.74E+02 5.84E+02 4.27E+02 2.84E+02 1.80E+02 1.08E+02 7.34E+01 5.34E+01 3.73E+01 3.04E+01 2.21E+01 8.97E+00 1.38E+00 6.90E-01 4.60E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.485  5.59E+03 1.07E+04 1.19E+05 5.41E+02 1.01E+03 1.32E+03 1.49E+03 1.48E+03 1.26E+03 1.09E+03 8.78E+02 6.01E+02 4.12E+02 2.44E+02 1.26E+02 8.49E+01 5.84E+01 3.91E+01 3.11E+01 2.23E+01 8.97E+00 1.38E+00 4.60E-01 4.60E-01 6.90E-01 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.499  8.76E+03 1.46E+04 1.69E+05 6.10E+02 1.21E+03 1.73E+03 1.96E+03 1.96E+03 1.82E+03 1.50E+03 1.24E+03 9.16E+02 6.55E+02 4.23E+02 2.34E+02 1.26E+02 8.03E+01 5.34E+01 3.70E+01 2.97E+01 1.79E+01 4.83E+00 4.60E-01 2.30E-01 4.60E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.512  1.35E+04 2.37E+04 2.83E+05 1.00E+03 1.91E+03 2.67E+03 2.89E+03 3.05E+03 2.83E+03 2.56E+03 2.07E+03 1.54E+03 1.15E+03 8.21E+02 5.29E+02 3.02E+02 1.52E+02 8.49E+01 5.82E+01 3.73E+01 2.97E+01 1.79E+01 2.53E+00 4.60E-01 2.30E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.526  2.07E+04 3.37E+04 4.03E+05 1.62E+03 2.88E+03 3.80E+03 4.08E+03 4.14E+03 3.89E+03 3.50E+03 2.85E+03 2.21E+03 1.66E+03 1.15E+03 8.20E+02 5.18E+02 2.73E+02 1.26E+02 8.00E+01 5.08E+01 3.70E+01 2.65E+01 9.20E+00 1.38E+00 4.60E-01 4.60E-01 6.90E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.551  5.10E+04 8.75E+04 1.02E+06 4.60E+03 8.29E+03 1.08E+04 1.14E+04 1.09E+04 9.56E+03 8.12E+03 6.71E+03 5.21E+03 3.94E+03 2.78E+03 1.95E+03 1.35E+03 8.83E+02 5.17E+02 2.72E+02 1.22E+02 6.92E+01 4.14E+01 3.04E+01 1.79E+01 2.53E+00 6.90E-01 4.60E-01 6.90E-01 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.576  1.27E+05 2.15E+05 2.57E+06 9.37E+03 1.79E+04 2.45E+04 2.73E+04 2.76E+04 2.53E+04 2.15E+04 1.78E+04 1.36E+04 1.01E+04 6.81E+03 4.65E+03 3.17E+03 2.11E+03 1.33E+03 8.74E+02 4.91E+02 2.13E+02 9.66E+01 5.34E+01 3.70E+01 2.35E+01 5.29E+00 4.60E-01 2.30E-01 6.90E-01 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.599  3.04E+05 4.95E+05 6.20E+06 1.82E+04 3.60E+04 5.07E+04 5.89E+04 6.17E+04 5.92E+04 5.28E+04 4.48E+04 3.46E+04 2.65E+04 1.83E+04 1.25E+04 8.02E+03 4.99E+03 3.20E+03 2.06E+03 1.25E+03 7.63E+02 3.63E+02 1.26E+02 6.92E+01 3.91E+01 2.78E+01 9.20E+00 6.90E-01 2.30E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.622  7.14E+05 1.15E+06 1.46E+07 4.46E+04 8.38E+04 1.16E+05 1.30E+05 1.35E+05 1.30E+05 1.19E+05 1.04E+05 8.32E+04 6.52E+04 4.63E+04 3.24E+04 2.18E+04 1.36E+04 7.96E+03 4.94E+03 2.97E+03 1.81E+03 1.04E+03 5.17E+02 2.13E+02 8.49E+01 4.60E+01 3.04E+01 1.38E+01 1.38E+00 2.30E-01 6.90E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.644  1.67E+06 2.69E+06 3.45E+07 1.02E+05 1.95E+05 2.71E+05 3.05E+05 3.17E+05 3.01E+05 2.74E+05 2.40E+05 1.93E+05 1.53E+05 1.11E+05 7.95E+04 5.48E+04 3.53E+04 2.18E+04 1.33E+04 7.43E+03 4.26E+03 2.43E+03 1.33E+03 7.63E+02 3.02E+02 1.06E+02 5.34E+01 3.34E+01 1.79E+01 1.84E+00 2.30E-01 4.60E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.665  3.87E+06 6.11E+06 8.04E+07 2.11E+05 4.09E+05 5.80E+05 6.77E+05 7.21E+05 6.95E+05 6.35E+05 5.61E+05 4.55E+05 3.62E+05 2.65E+05 1.89E+05 1.31E+05 8.65E+04 5.53E+04 3.46E+04 2.02E+04 1.14E+04 5.90E+03 3.15E+03 1.81E+03 9.52E+02 4.06E+02 1.26E+02 6.19E+01 3.61E+01 1.86E+01 2.07E+00 2.30E-01 4.60E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.685  8.84E+06 1.38E+07 1.85E+08 4.49E+05 8.68E+05 1.24E+06 1.46E+06 1.58E+06 1.56E+06 1.45E+06 1.29E+06 1.06E+06 8.53E+05 6.30E+05 4.57E+05 3.17E+05 2.08E+05 1.34E+05 8.52E+04 5.15E+04 2.99E+04 1.62E+04 7.89E+03 4.25E+03 2.25E+03 1.13E+03 5.17E+02 1.68E+02 6.74E+01 3.75E+01 2.07E+01 2.30E+00 2.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.705  2.00E+07 3.09E+07 4.21E+08 9.93E+05 1.92E+06 2.73E+06 3.20E+06 3.45E+06 3.41E+06 3.22E+06 2.91E+06 2.41E+06 1.98E+06 1.47E+06 1.08E+06 7.60E+05 5.06E+05 3.27E+05 2.07E+05 1.25E+05 7.42E+04 4.13E+04 2.16E+04 1.13E+04 5.35E+03 2.67E+03 1.33E+03 6.48E+02 2.08E+02 7.34E+01 3.75E+01 2.21E+01 2.30E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.725  4.49E+07 6.89E+07 9.52E+08 2.16E+06 4.18E+06 5.97E+06 7.03E+06 7.61E+06 7.53E+06 7.13E+06 6.48E+06 5.42E+06 4.49E+06 3.40E+06 2.53E+06 1.80E+06 1.20E+06 7.91E+05 5.05E+05 3.07E+05 1.80E+05 1.01E+05 5.48E+04 2.98E+04 1.46E+04 6.51E+03 3.15E+03 1.59E+03 7.46E+02 2.31E+02 7.41E+01 3.70E+01 2.21E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.743  1.00E+08 1.52E+08 2.13E+09 4.55E+06 8.88E+06 1.28E+07 1.52E+07 1.66E+07 1.66E+07 1.58E+07 1.44E+07 1.21E+07 1.01E+07 7.73E+06 5.82E+06 4.18E+06 2.83E+06 1.89E+06 1.21E+06 7.48E+05 4.44E+05 2.48E+05 1.34E+05 7.39E+04 3.78E+04 1.79E+04 7.88E+03 3.73E+03 1.77E+03 8.04E+02 2.46E+02 8.00E+01 3.70E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.780  5.39E+08 7.25E+08 1.04E+10 2.05E+07 4.00E+07 5.76E+07 6.89E+07 7.59E+07 7.67E+07 7.42E+07 6.89E+07 5.89E+07 5.01E+07 3.90E+07 2.99E+07 2.18E+07 1.51E+07 1.03E+07 6.74E+06 4.28E+06 2.58E+06 1.47E+06 8.13E+05 4.46E+05 2.27E+05 1.12E+05 5.47E+04 2.59E+04 1.10E+04 4.48E+03 1.97E+03 8.74E+02 2.72E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.814  2.58E+09 3.36E+09 4.95E+10 8.99E+07 1.76E+08 2.55E+08 3.07E+08 3.41E+08 3.48E+08 3.39E+08 3.19E+08 2.75E+08 2.38E+08 1.88E+08 1.47E+08 1.09E+08 7.73E+07 5.41E+07 3.59E+07 2.32E+07 1.43E+07 8.37E+06 4.76E+06 2.63E+06 1.37E+06 6.88E+05 3.31E+05 1.57E+05 7.21E+04 3.16E+04 1.25E+04 4.89E+03 2.06E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.848  1.19E+10 1.53E+10 2.30E+11 3.97E+08 7.79E+08 1.13E+09 1.35E+09 1.50E+09 1.54E+09 1.52E+09 1.45E+09 1.27E+09 1.10E+09 8.86E+08 7.02E+08 5.28E+08 3.81E+08 2.72E+08 1.84E+08 1.22E+08 7.66E+07 4.59E+07 2.67E+07 1.50E+07 7.99E+06 4.11E+06 2.03E+06 9.70E+05 4.41E+05 1.92E+05 8.16E+04 3.43E+04 1.33E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.880  5.32E+10 6.73E+10 1.03E+12 1.67E+09 3.28E+09 4.79E+09 5.76E+09 6.42E+09 6.64E+09 6.57E+09 6.32E+09 5.58E+09 4.93E+09 4.02E+09 3.23E+09 2.46E+09 1.82E+09 1.32E+09 9.09E+08 6.11E+08 3.93E+08 2.42E+08 1.45E+08 8.30E+07 4.52E+07 2.39E+07 1.20E+07 5.84E+06 2.71E+06 1.21E+06 5.07E+05 2.11E+05 8.43E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.911  1.71E+11 1.69E+11 2.64E+12 3.97E+09 7.81E+09 1.14E+10 1.40E+10 1.59E+10 1.64E+10 1.65E+10 1.57E+10 1.41E+10 1.25E+10 1.02E+10 8.35E+09 6.48E+09 4.81E+09 3.55E+09 2.49E+09 1.70E+09 1.10E+09 6.91E+08 4.25E+08 2.45E+08 1.38E+08 7.40E+07 3.84E+07 1.87E+07 8.79E+06 4.01E+06 1.72E+06 7.33E+05 2.78E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
