                    *********************************************************************************
                    *  Z= 94 A=239: Positive-Parity Spin-dependent Level Density [MeV-1] for PU239  *
   2.25  0.322  1.51E+03 3.86E+03 5.55E+04 1.14E+02 2.07E+02 2.90E+02 3.93E+02 3.85E+02 3.98E+02 3.99E+02 3.49E+02 3.28E+02 2.86E+02 2.21E+02 1.71E+02 1.14E+02 7.87E+01 5.08E+01 2.62E+01 2.16E+01 9.24E+00 4.62E+00 4.62E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.339  2.76E+03 6.16E+03 8.93E+04 1.82E+02 3.19E+02 4.60E+02 6.22E+02 6.38E+02 6.39E+02 6.44E+02 5.44E+02 4.93E+02 4.13E+02 3.46E+02 2.81E+02 2.11E+02 1.43E+02 9.58E+01 5.39E+01 2.62E+01 2.16E+01 9.24E+00 4.62E+00 3.08E+00 3.08E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.356  5.18E+03 1.32E+04 1.92E+05 3.75E+02 6.74E+02 9.94E+02 1.30E+03 1.35E+03 1.41E+03 1.40E+03 1.21E+03 1.06E+03 8.90E+02 6.75E+02 5.52E+02 4.17E+02 3.18E+02 2.28E+02 1.34E+02 8.32E+01 4.31E+01 2.47E+01 1.85E+01 6.16E+00 4.62E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.372  9.50E+03 2.14E+04 3.18E+05 5.69E+02 1.04E+03 1.54E+03 2.02E+03 2.16E+03 2.25E+03 2.26E+03 2.00E+03 1.80E+03 1.49E+03 1.21E+03 9.37E+02 6.77E+02 4.83E+02 3.83E+02 2.47E+02 1.62E+02 9.10E+01 5.08E+01 2.47E+01 1.39E+01 6.16E+00 4.62E+00 3.08E+00 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.387  1.77E+04 4.38E+04 6.60E+05 1.12E+03 2.10E+03 3.11E+03 4.05E+03 4.29E+03 4.49E+03 4.52E+03 4.04E+03 3.61E+03 3.16E+03 2.52E+03 2.09E+03 1.51E+03 1.08E+03 7.66E+02 4.92E+02 3.64E+02 2.33E+02 1.29E+02 6.79E+01 2.77E+01 2.16E+01 7.70E+00 4.62E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.401  3.20E+04 7.09E+04 1.08E+06 1.77E+03 3.32E+03 4.92E+03 6.43E+03 6.87E+03 7.28E+03 7.24E+03 6.55E+03 5.88E+03 5.06E+03 4.14E+03 3.43E+03 2.56E+03 1.84E+03 1.34E+03 8.30E+02 5.69E+02 3.92E+02 2.47E+02 1.33E+02 6.32E+01 2.80E+01 2.00E+01 6.29E+00 4.62E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.415  5.87E+04 1.43E+05 2.21E+06 3.50E+03 6.52E+03 9.61E+03 1.25E+04 1.33E+04 1.42E+04 1.42E+04 1.32E+04 1.19E+04 1.04E+04 8.56E+03 7.04E+03 5.41E+03 4.00E+03 2.94E+03 1.92E+03 1.30E+03 8.01E+02 5.31E+02 3.32E+02 1.81E+02 8.66E+01 3.57E+01 2.32E+01 9.37E+00 4.62E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.429  1.05E+05 2.24E+05 3.52E+06 5.21E+03 9.99E+03 1.46E+04 1.91E+04 2.09E+04 2.23E+04 2.22E+04 2.06E+04 1.87E+04 1.65E+04 1.38E+04 1.14E+04 8.75E+03 6.55E+03 4.87E+03 3.24E+03 2.28E+03 1.41E+03 8.85E+02 5.43E+02 3.29E+02 1.78E+02 7.73E+01 3.42E+01 2.32E+01 6.16E+00 4.62E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.442  1.88E+05 4.40E+05 7.00E+06 1.01E+04 1.94E+04 2.86E+04 3.72E+04 4.01E+04 4.26E+04 4.23E+04 3.95E+04 3.65E+04 3.21E+04 2.72E+04 2.28E+04 1.82E+04 1.36E+04 1.02E+04 6.92E+03 4.85E+03 3.16E+03 2.02E+03 1.20E+03 6.66E+02 4.20E+02 2.30E+02 1.04E+02 4.19E+01 2.63E+01 6.29E+00 4.62E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.455  3.30E+05 6.97E+05 1.12E+07 1.55E+04 2.98E+04 4.42E+04 5.76E+04 6.32E+04 6.80E+04 6.81E+04 6.31E+04 5.71E+04 5.05E+04 4.30E+04 3.64E+04 2.86E+04 2.19E+04 1.67E+04 1.15E+04 8.11E+03 5.32E+03 3.49E+03 2.09E+03 1.17E+03 6.74E+02 4.01E+02 2.07E+02 8.67E+01 3.72E+01 2.66E+01 4.62E+00 3.08E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.468  5.87E+05 1.36E+06 2.21E+07 2.94E+04 5.72E+04 8.43E+04 1.10E+05 1.20E+05 1.29E+05 1.29E+05 1.22E+05 1.13E+05 1.00E+05 8.56E+04 7.15E+04 5.76E+04 4.40E+04 3.41E+04 2.39E+04 1.72E+04 1.14E+04 7.62E+03 4.77E+03 2.76E+03 1.57E+03 8.79E+02 5.00E+02 2.61E+02 1.12E+02 4.98E+01 2.98E+01 4.62E+00 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.480  1.02E+06 2.11E+06 3.47E+07 4.43E+04 8.65E+04 1.28E+05 1.66E+05 1.84E+05 2.00E+05 2.02E+05 1.90E+05 1.74E+05 1.56E+05 1.35E+05 1.15E+05 9.04E+04 6.97E+04 5.47E+04 3.84E+04 2.79E+04 1.90E+04 1.27E+04 7.98E+03 4.70E+03 2.78E+03 1.53E+03 8.40E+02 4.65E+02 2.36E+02 9.95E+01 4.85E+01 1.71E+01 6.16E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.503  3.12E+06 6.29E+06 1.05E+08 1.27E+05 2.49E+05 3.68E+05 4.80E+05 5.34E+05 5.81E+05 5.88E+05 5.56E+05 5.14E+05 4.63E+05 4.04E+05 3.50E+05 2.82E+05 2.20E+05 1.76E+05 1.25E+05 9.09E+04 6.40E+04 4.42E+04 2.88E+04 1.74E+04 1.06E+04 6.26E+03 3.57E+03 1.89E+03 1.02E+03 5.60E+02 2.60E+02 1.02E+02 5.24E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.526  9.28E+06 1.83E+07 3.14E+08 3.56E+05 7.02E+05 1.04E+06 1.35E+06 1.51E+06 1.65E+06 1.68E+06 1.60E+06 1.49E+06 1.36E+06 1.19E+06 1.04E+06 8.47E+05 6.69E+05 5.42E+05 3.95E+05 2.93E+05 2.11E+05 1.48E+05 9.73E+04 6.09E+04 3.85E+04 2.37E+04 1.38E+04 7.84E+03 4.42E+03 2.36E+03 1.19E+03 5.69E+02 2.67E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.547  2.71E+07 5.28E+07 9.20E+08 9.89E+05 1.95E+06 2.89E+06 3.77E+06 4.23E+06 4.65E+06 4.75E+06 4.55E+06 4.28E+06 3.93E+06 3.47E+06 3.05E+06 2.51E+06 2.01E+06 1.64E+06 1.21E+06 9.14E+05 6.69E+05 4.81E+05 3.24E+05 2.07E+05 1.32E+05 8.44E+04 5.14E+04 3.05E+04 1.77E+04 1.01E+04 5.30E+03 2.56E+03 1.29E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.568  7.76E+07 1.49E+08 2.65E+09 2.71E+06 5.35E+06 7.92E+06 1.04E+07 1.17E+07 1.28E+07 1.32E+07 1.26E+07 1.20E+07 1.11E+07 9.86E+06 8.74E+06 7.27E+06 5.90E+06 4.86E+06 3.64E+06 2.78E+06 2.07E+06 1.51E+06 1.04E+06 6.76E+05 4.46E+05 2.92E+05 1.81E+05 1.11E+05 6.69E+04 4.02E+04 2.20E+04 1.11E+04 5.53E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.588  2.19E+08 4.16E+08 7.50E+09 7.32E+06 1.45E+07 2.15E+07 2.81E+07 3.17E+07 3.50E+07 3.61E+07 3.48E+07 3.31E+07 3.08E+07 2.76E+07 2.46E+07 2.06E+07 1.69E+07 1.41E+07 1.07E+07 8.30E+06 6.24E+06 4.63E+06 3.23E+06 2.15E+06 1.44E+06 9.70E+05 6.19E+05 3.90E+05 2.40E+05 1.50E+05 8.54E+04 4.47E+04 2.30E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.607  6.06E+08 1.13E+09 2.08E+10 1.90E+07 3.77E+07 5.59E+07 7.33E+07 8.38E+07 9.34E+07 9.66E+07 9.40E+07 9.00E+07 8.40E+07 7.57E+07 6.81E+07 5.74E+07 4.75E+07 3.99E+07 3.05E+07 2.40E+07 1.83E+07 1.38E+07 9.83E+06 6.64E+06 4.55E+06 3.12E+06 2.03E+06 1.32E+06 8.36E+05 5.34E+05 3.12E+05 1.68E+05 8.95E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.625  1.66E+09 3.07E+09 5.72E+10 5.04E+07 9.99E+07 1.48E+08 1.94E+08 2.23E+08 2.49E+08 2.58E+08 2.52E+08 2.42E+08 2.26E+08 2.04E+08 1.85E+08 1.58E+08 1.31E+08 1.11E+08 8.61E+07 6.84E+07 5.28E+07 4.03E+07 2.91E+07 2.00E+07 1.40E+07 9.74E+06 6.47E+06 4.30E+06 2.79E+06 1.83E+06 1.10E+06 6.05E+05 3.30E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.644  4.49E+09 8.24E+09 1.56E+11 1.32E+08 2.62E+08 3.88E+08 5.10E+08 5.85E+08 6.55E+08 6.81E+08 6.68E+08 6.45E+08 6.06E+08 5.50E+08 5.01E+08 4.29E+08 3.59E+08 3.05E+08 2.39E+08 1.92E+08 1.50E+08 1.15E+08 8.47E+07 5.88E+07 4.17E+07 2.97E+07 2.01E+07 1.36E+07 9.04E+06 6.04E+06 3.71E+06 2.09E+06 1.16E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.661  1.20E+10 2.19E+10 4.19E+11 3.42E+08 6.79E+08 1.01E+09 1.32E+09 1.52E+09 1.71E+09 1.78E+09 1.75E+09 1.70E+09 1.60E+09 1.46E+09 1.34E+09 1.15E+09 9.71E+08 8.30E+08 6.56E+08 5.30E+08 4.18E+08 3.25E+08 2.42E+08 1.70E+08 1.22E+08 8.84E+07 6.08E+07 4.19E+07 2.84E+07 1.93E+07 1.21E+07 6.97E+06 3.94E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.678  3.19E+10 5.75E+10 1.11E+12 8.79E+08 1.75E+09 2.59E+09 3.41E+09 3.93E+09 4.41E+09 4.61E+09 4.55E+09 4.42E+09 4.18E+09 3.83E+09 3.52E+09 3.05E+09 2.59E+09 2.23E+09 1.77E+09 1.45E+09 1.15E+09 9.03E+08 6.76E+08 4.81E+08 3.51E+08 2.58E+08 1.80E+08 1.26E+08 8.67E+07 6.02E+07 3.84E+07 2.25E+07 1.29E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.712  2.53E+11 3.86E+11 7.65E+12 5.65E+09 1.12E+10 1.67E+10 2.20E+10 2.54E+10 2.86E+10 3.01E+10 2.98E+10 2.91E+10 2.77E+10 2.56E+10 2.37E+10 2.07E+10 1.78E+10 1.55E+10 1.25E+10 1.03E+10 8.33E+09 6.66E+09 5.08E+09 3.69E+09 2.76E+09 2.07E+09 1.48E+09 1.07E+09 7.58E+08 5.42E+08 3.57E+08 2.15E+08 1.27E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.743  1.69E+12 2.49E+12 5.06E+13 3.52E+10 7.01E+10 1.04E+11 1.37E+11 1.59E+11 1.80E+11 1.89E+11 1.89E+11 1.85E+11 1.78E+11 1.65E+11 1.54E+11 1.35E+11 1.17E+11 1.03E+11 8.41E+10 7.03E+10 5.76E+10 4.67E+10 3.62E+10 2.68E+10 2.04E+10 1.56E+10 1.14E+10 8.45E+09 6.14E+09 4.49E+09 3.03E+09 1.87E+09 1.13E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.774  8.79E+12 1.17E+13 2.81E+14 6.43E+10 1.34E+11 2.10E+11 2.83E+11 3.54E+11 4.81E+11 5.83E+11 7.69E+11 8.88E+11 1.01E+12 1.01E+12 9.71E+11 8.59E+11 7.49E+11 6.64E+11 5.48E+11 4.63E+11 3.84E+11 3.14E+11 2.46E+11 1.85E+11 1.43E+11 1.12E+11 8.34E+10 6.27E+10 4.65E+10 3.48E+10 2.39E+10 1.51E+10 9.31E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.803  2.04E+13 1.15E+13 4.41E+14 2.26E+10 3.88E+10 5.68E+10 8.85E+10 5.19E+10 8.23E+10 6.43E+10 1.67E+11 1.59E+11 1.63E+11 1.46E+11 1.29E+11 1.19E+11 1.19E+11 2.82E+11 7.13E+11 1.07E+12 1.14E+12 1.17E+12 1.09E+12 1.04E+12 8.89E+11 7.46E+11 5.78E+11 4.42E+11 3.34E+11 2.53E+11 1.77E+11 1.14E+11 7.18E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.831  3.03E+13 8.20E+12 3.76E+14 1.69E+10 1.62E+10 1.11E+10 6.12E+09 1.39E+10 2.50E+10 3.43E+10 4.15E+10 3.71E+10 5.10E+10 2.04E+10 2.59E+10 1.06E+11 7.25E+10 1.41E+11 1.82E+11 2.37E+11 4.90E+10 9.62E+10 3.33E+11 8.63E+11 9.19E+11 8.73E+11 8.42E+11 6.89E+11 5.41E+11 5.96E+11 6.61E+11 4.26E+11 2.71E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
