                    *********************************************************************************
                    *  Z= 67 A=166: Positive-Parity Spin-dependent Level Density [MeV-1] for HO166  *
  16.00  1.030  5.88E+12 3.38E+12 4.89E+13 3.52E+10 3.50E+10 1.05E+11 1.03E+11 3.55E+11 5.79E+11 7.02E+11 4.59E+11 2.75E+11 2.17E+11 1.73E+11 7.44E+10 7.44E+10 5.05E+10 5.16E+10 2.53E+10 2.47E+10 1.28E+10 1.06E+10 5.28E+09 3.84E+09 1.99E+09 1.47E+09 6.34E+08 4.90E+08 2.51E+08 1.85E+08 9.25E+07 6.13E+07 1.05E+08 4.14E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.061  1.04E+13 5.67E+12 7.85E+13 3.71E+10 3.70E+10 1.11E+11 1.09E+11 5.67E+11 1.25E+12 1.51E+12 8.40E+11 3.74E+11 2.86E+11 2.09E+11 6.74E+10 7.41E+10 5.00E+10 5.84E+10 2.59E+10 2.85E+10 1.36E+10 1.25E+10 5.77E+09 4.55E+09 2.25E+09 1.86E+09 7.32E+08 6.52E+08 3.39E+08 2.85E+08 1.48E+08 1.08E+08 2.57E+08 5.24E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.092  1.83E+13 1.02E+13 1.36E+14 3.92E+10 3.92E+10 1.17E+11 1.15E+11 9.04E+11 2.69E+12 3.24E+12 1.54E+12 5.09E+11 3.78E+11 2.52E+11 6.09E+10 7.37E+10 4.95E+10 6.60E+10 2.65E+10 3.27E+10 1.44E+10 1.46E+10 6.30E+09 5.39E+09 2.54E+09 2.35E+09 8.46E+08 8.68E+08 4.58E+08 4.40E+08 2.36E+08 1.92E+08 6.27E+08 6.63E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.122  3.30E+13 1.92E+13 2.50E+14 4.15E+10 4.14E+10 1.23E+11 1.22E+11 1.44E+12 5.81E+12 6.95E+12 2.81E+12 6.92E+11 4.99E+11 3.04E+11 5.51E+10 7.34E+10 4.90E+10 7.47E+10 2.71E+10 3.77E+10 1.53E+10 1.72E+10 6.88E+09 6.38E+09 2.87E+09 2.96E+09 9.76E+08 1.15E+09 6.18E+08 6.79E+08 3.77E+08 3.39E+08 1.53E+09 8.40E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.151  6.14E+13 3.76E+13 4.79E+14 4.38E+10 4.38E+10 1.31E+11 1.29E+11 2.30E+12 1.25E+13 1.49E+13 5.13E+12 9.42E+11 6.59E+11 3.67E+11 4.99E+10 7.31E+10 4.85E+10 8.45E+10 2.77E+10 4.33E+10 1.63E+10 2.02E+10 7.51E+09 7.55E+09 3.23E+09 3.74E+09 1.13E+09 1.54E+09 8.34E+08 1.05E+09 6.02E+08 5.98E+08 3.74E+09 1.06E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.221  3.86E+14 2.22E+14 2.76E+15 5.02E+10 5.03E+10 1.50E+11 1.48E+11 7.41E+12 8.55E+13 1.01E+14 2.32E+13 2.03E+12 1.32E+12 5.88E+11 3.88E+10 7.24E+10 4.73E+10 1.15E+11 2.93E+10 6.15E+10 1.89E+10 3.03E+10 9.35E+09 1.15E+10 4.37E+09 6.71E+09 1.62E+09 3.14E+09 1.76E+09 3.10E+09 1.94E+09 2.48E+09 3.49E+10 1.92E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.287  2.42E+15 1.40E+15 1.73E+16 5.76E+10 5.79E+10 1.72E+11 1.71E+11 2.39E+13 5.84E+14 6.82E+14 1.05E+14 4.40E+12 2.64E+12 9.41E+11 3.02E+10 7.16E+10 4.62E+10 1.56E+11 3.09E+10 8.73E+10 2.20E+10 4.55E+10 1.16E+10 1.76E+10 5.92E+09 1.20E+10 2.31E+09 6.42E+09 3.73E+09 9.16E+09 6.25E+09 1.03E+10 3.25E+11 3.46E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.410  1.58E+17 6.09E+16 7.42E+17 7.59E+10 7.65E+10 2.27E+11 2.27E+11 2.47E+14 2.72E+16 3.12E+16 2.14E+15 2.05E+13 1.06E+13 2.41E+12 1.83E+10 7.01E+10 4.39E+10 2.89E+11 3.46E+10 1.76E+11 2.98E+10 1.02E+11 1.81E+10 4.09E+10 1.08E+10 3.86E+10 4.75E+09 2.68E+10 1.67E+10 8.00E+10 6.49E+10 1.78E+11 2.82E+13 1.13E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.628  6.28E+20 1.25E+20 1.52E+21 1.31E+11 1.34E+11 3.96E+11 3.98E+11 2.65E+16 5.92E+19 6.52E+19 8.96E+17 4.47E+14 1.71E+14 1.58E+13 6.73E+09 6.72E+10 3.97E+10 9.90E+11 4.33E+10 7.13E+11 5.47E+10 5.16E+11 4.35E+10 2.22E+11 3.62E+10 3.98E+11 2.00E+10 4.68E+11 3.34E+11 6.11E+12 7.00E+12 5.29E+13 2.12E+17 1.19E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.820  2.51E+21 2.51E+20 3.05E+21 2.28E+11 2.33E+11 6.90E+11 7.00E+11 5.27E+16 1.18E+20 1.30E+20 1.79E+18 9.73E+15 2.75E+15 1.04E+14 2.47E+09 6.45E+10 3.59E+10 3.39E+12 5.42E+10 2.89E+12 1.00E+11 2.60E+12 1.05E+11 1.20E+12 1.21E+11 4.11E+12 8.43E+10 8.15E+12 6.68E+12 4.66E+14 1.39E+13 1.06E+14 4.25E+17 1.27E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.994  6.27E+21 5.02E+20 6.10E+21 3.94E+11 4.08E+11 1.20E+12 1.23E+12 1.05E+17 2.37E+20 2.60E+20 3.57E+18 2.12E+17 4.43E+16 6.84E+14 9.09E+08 6.18E+10 3.25E+10 1.16E+13 6.78E+10 1.17E+13 1.84E+11 1.31E+13 2.52E+11 6.52E+12 4.06E+11 4.24E+13 3.55E+11 1.42E+14 1.34E+14 3.56E+16 2.78E+13 2.11E+14 8.50E+17 1.34E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.154  1.38E+22 1.01E+21 1.24E+22 6.83E+11 7.12E+11 2.09E+12 2.16E+12 2.09E+17 4.73E+20 5.21E+20 7.14E+18 4.61E+18 7.14E+17 4.50E+15 3.34E+08 5.93E+10 2.94E+10 3.97E+13 8.49E+10 4.76E+13 3.37E+11 6.64E+13 6.07E+11 3.54E+13 1.36E+12 4.38E+14 1.50E+12 2.48E+15 2.67E+15 2.72E+18 5.53E+13 4.21E+14 1.70E+18 1.42E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.302  3.05E+22 2.33E+21 3.73E+22 1.18E+12 1.24E+12 3.65E+12 3.80E+12 4.16E+17 9.46E+20 1.04E+21 1.43E+19 1.00E+20 1.15E+19 2.95E+16 1.23E+08 5.68E+10 2.66E+10 1.36E+14 1.06E+11 1.93E+14 6.18E+11 3.35E+14 1.46E+12 1.92E+14 4.55E+12 4.52E+15 6.31E+12 4.33E+16 5.35E+16 2.08E+20 1.10E+14 8.41E+14 3.40E+18 1.50E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.442  1.53E+23 2.22E+22 9.30E+23 2.05E+12 2.17E+12 6.36E+12 6.68E+12 8.28E+17 1.89E+21 2.08E+21 2.85E+19 2.19E+21 1.85E+20 1.94E+17 4.51E+07 5.45E+10 2.40E+10 4.66E+14 1.33E+11 7.83E+14 1.13E+12 1.69E+15 3.52E+12 1.04E+15 1.52E+13 4.66E+16 2.66E+13 7.55E+17 1.07E+18 1.59E+22 2.19E+14 1.68E+15 6.80E+18 1.59E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.574  6.61E+24 1.27E+24 6.51E+25 3.55E+12 3.80E+12 1.11E+13 1.17E+13 1.65E+18 3.78E+21 4.16E+21 5.69E+19 4.76E+22 2.98E+21 1.28E+18 1.66E+07 5.23E+10 2.17E+10 1.59E+15 1.66E+11 3.18E+15 2.08E+12 8.54E+15 8.46E+12 5.63E+15 5.09E+13 4.81E+17 1.12E+14 1.32E+19 2.14E+19 1.21E+24 4.36E+14 3.35E+15 1.36E+19 1.69E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.700  4.80E+26 9.35E+25 4.92E+27 6.14E+12 6.63E+12 1.93E+13 2.06E+13 3.28E+18 7.56E+21 8.33E+21 1.14E+20 1.04E+24 4.80E+22 8.38E+18 6.09E+06 5.01E+10 1.97E+10 5.46E+15 2.08E+11 1.29E+16 3.81E+12 4.31E+16 2.04E+13 3.05E+16 1.70E+14 4.97E+18 4.72E+14 2.30E+20 4.29E+20 9.24E+25 8.68E+14 6.69E+15 2.72E+19 1.79E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.820  3.63E+28 7.08E+27 3.74E+29 1.06E+13 1.16E+13 3.36E+13 3.62E+13 6.53E+18 1.51E+22 1.66E+22 2.27E+20 2.26E+25 7.73E+23 5.51E+19 2.24E+06 4.81E+10 1.78E+10 1.87E+16 2.60E+11 5.23E+16 6.99E+12 2.18E+17 4.90E+13 1.66E+17 5.71E+14 5.12E+19 1.99E+15 4.00E+21 8.58E+21 7.05E+27 1.73E+15 1.34E+16 5.44E+19 1.90E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.935  2.77E+30 5.39E+29 2.86E+31 1.84E+13 2.02E+13 5.86E+13 6.37E+13 1.30E+19 3.02E+22 3.33E+22 4.54E+20 4.92E+26 1.24E+25 3.62E+20 8.23E+05 4.61E+10 1.61E+10 6.40E+16 3.26E+11 2.12E+17 1.28E+13 1.10E+18 1.18E+14 8.98E+17 1.91E+15 5.29E+20 8.38E+15 6.98E+22 1.72E+23 5.39E+29 3.44E+15 2.67E+16 1.09E+20 2.01E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.046  2.11E+32 4.11E+31 2.18E+33 3.19E+13 3.53E+13 1.02E+14 1.12E+14 2.59E+19 6.05E+22 6.66E+22 9.06E+20 1.07E+28 2.00E+26 2.38E+21 3.02E+05 4.42E+10 1.45E+10 2.19E+17 4.08E+11 8.61E+17 2.35E+13 5.55E+18 2.84E+14 4.87E+18 6.39E+15 5.46E+21 3.53E+16 1.22E+24 3.43E+24 4.11E+31 6.85E+15 5.33E+16 2.17E+20 2.13E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.153  1.61E+34 3.14E+33 1.66E+35 5.53E+13 6.17E+13 1.78E+14 1.97E+14 5.15E+19 1.21E+23 1.33E+23 1.81E+21 2.33E+29 3.23E+27 1.56E+22 1.11E+05 4.24E+10 1.32E+10 7.50E+17 5.10E+11 3.49E+18 4.31E+13 2.80E+19 6.84E+14 2.64E+19 2.14E+16 5.63E+22 1.49E+17 2.12E+25 6.87E+25 3.14E+33 1.36E+16 1.06E+17 4.35E+20 2.26E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.256  1.23E+36 2.40E+35 1.27E+37 9.57E+13 1.08E+14 3.10E+14 3.46E+14 1.03E+20 2.42E+23 2.66E+23 3.62E+21 5.08E+30 5.20E+28 1.03E+23 4.08E+04 4.06E+10 1.19E+10 2.57E+18 6.39E+11 1.42E+19 7.89E+13 1.41E+20 1.65E+15 1.43E+20 7.16E+16 5.81E+23 6.27E+17 3.71E+26 1.37E+27 2.40E+35 2.71E+16 2.12E+17 8.70E+20 2.39E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.356  9.39E+37 1.83E+37 9.70E+38 1.66E+14 1.88E+14 5.39E+14 6.08E+14 2.04E+20 4.83E+23 5.32E+23 7.22E+21 1.11E+32 8.37E+29 6.75E+23 1.50E+04 3.90E+10 1.08E+10 8.80E+18 7.99E+11 5.75E+19 1.45E+14 7.14E+20 3.96E+15 7.75E+20 2.40E+17 6.00E+24 2.64E+18 6.46E+27 2.75E+28 1.83E+37 5.40E+16 4.24E+17 1.74E+21 2.53E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.454  7.17E+39 1.40E+39 7.41E+40 2.87E+14 3.29E+14 9.40E+14 1.07E+15 4.07E+20 9.67E+23 1.06E+24 1.44E+22 2.41E+33 1.35E+31 4.43E+24 5.51E+03 3.74E+10 9.73E+09 3.01E+19 1.00E+12 2.33E+20 2.65E+14 3.60E+21 9.54E+15 4.20E+21 8.02E+17 6.19E+25 1.11E+19 1.13E+29 5.50E+29 1.40E+39 1.08E+17 8.47E+17 3.48E+21 2.68E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.548  5.48E+41 1.07E+41 5.66E+42 4.97E+14 5.75E+14 1.64E+15 1.88E+15 8.09E+20 1.93E+24 2.13E+24 2.88E+22 5.24E+34 2.17E+32 2.91E+25 2.02E+03 3.58E+10 8.80E+09 1.03E+20 1.25E+12 9.46E+20 4.87E+14 1.82E+22 2.30E+16 2.28E+22 2.68E+18 6.39E+26 4.69E+19 1.97E+30 1.10E+31 1.07E+41 2.14E+17 1.69E+18 6.96E+21 2.84E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.640  4.18E+43 8.15E+42 4.32E+44 8.61E+14 1.00E+15 2.85E+15 3.30E+15 1.61E+21 3.86E+24 4.25E+24 5.76E+22 1.14E+36 3.50E+33 1.91E+26 7.44E+02 3.44E+10 7.96E+09 3.53E+20 1.57E+12 3.84E+21 8.92E+14 9.19E+22 5.53E+16 1.24E+23 8.99E+18 6.59E+27 1.97E+20 3.43E+31 2.20E+32 8.15E+42 4.26E+17 3.38E+18 1.39E+22 3.01E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 67 A=166: Negative-parity Spin-dependent Level Density [MeV-1] for HO166  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.129  6.00E+00 4.53E+01 4.55E+02 1.35E-01 1.54E+00 3.23E+00 9.32E+00 7.94E+00 9.32E+00 6.13E+00 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.182  2.10E+01 7.44E+01 7.94E+02 0.00E+00 1.54E+00 6.29E+00 1.24E+01 1.42E+01 1.39E+01 9.19E+00 9.19E+00 6.13E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.223  4.60E+01 1.24E+02 1.43E+03 1.35E-01 1.11E+01 1.09E+01 1.55E+01 1.24E+01 1.39E+01 1.56E+01 1.68E+01 1.23E+01 9.19E+00 6.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.257  8.10E+01 1.59E+02 1.99E+03 2.70E-01 1.27E+01 7.69E+00 1.69E+01 1.89E+01 2.30E+01 1.56E+01 1.68E+01 1.68E+01 1.53E+01 7.66E+00 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.288  1.38E+02 2.98E+02 3.70E+03 9.55E-01 2.18E+01 1.72E+01 4.04E+01 3.91E+01 4.48E+01 2.32E+01 2.76E+01 2.15E+01 1.85E+01 1.68E+01 1.38E+01 7.66E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.315  2.34E+02 4.65E+02 5.60E+03 1.77E+00 3.70E+01 3.14E+01 6.96E+01 4.99E+01 6.63E+01 5.08E+01 4.91E+01 2.30E+01 2.92E+01 1.84E+01 1.84E+01 1.23E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.341  4.06E+02 9.16E+02 1.08E+04 2.43E+00 8.99E+01 5.76E+01 1.33E+02 9.70E+01 1.48E+02 9.64E+01 9.20E+01 5.83E+01 4.90E+01 2.30E+01 2.45E+01 1.68E+01 1.68E+01 7.66E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.364  7.09E+02 1.51E+03 1.73E+04 1.89E+00 1.58E+02 1.16E+02 2.29E+02 1.57E+02 2.06E+02 1.57E+02 1.77E+02 9.07E+01 7.81E+01 4.76E+01 2.91E+01 1.99E+01 1.68E+01 1.38E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.386  1.30E+03 3.24E+03 3.75E+04 1.76E+00 2.92E+02 2.56E+02 4.83E+02 3.85E+02 4.70E+02 3.32E+02 3.33E+02 2.14E+02 1.97E+02 9.07E+01 7.20E+01 3.70E+01 2.92E+01 1.84E+01 1.68E+01 7.66E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.407  2.37E+03 5.29E+03 6.21E+04 2.03E+00 4.45E+02 4.10E+02 7.68E+02 6.27E+02 7.48E+02 5.37E+02 5.79E+02 3.93E+02 3.13E+02 1.71E+02 1.24E+02 6.78E+01 4.00E+01 2.60E+01 1.68E+01 1.38E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
