                    *********************************************************************************
                    *  Z= 97 A=250: Positive-Parity Spin-dependent Level Density [MeV-1] for BK250  *
  16.00  0.839  1.40E+13 1.67E+12 5.14E+13 1.29E+10 1.06E+11 2.71E+10 4.35E+11 2.30E+10 9.06E+09 2.70E+10 8.40E+07 5.63E+09 3.02E+09 1.11E+08 1.38E+09 2.02E+03 7.19E+09 2.35E+10 4.86E+08 9.93E+08 4.91E+08 1.01E+10 1.36E+10 1.04E+09 9.63E+09 5.26E+11 1.67E+11 1.34E+11 6.32E+10 3.23E+10 1.48E+10 1.03E+10 3.15E+09 2.52E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.865  2.21E+13 1.44E+13 1.45E+14 5.25E+10 8.24E+11 5.40E+10 1.21E+13 4.76E+10 8.11E+09 3.75E+10 8.02E+06 3.64E+09 1.67E+09 7.66E+06 3.66E+08 7.87E-01 5.13E+09 3.37E+10 4.43E+07 1.36E+08 4.64E+07 3.23E+09 3.22E+09 4.98E+07 1.41E+09 6.88E+11 1.77E+11 1.65E+11 7.32E+10 3.60E+10 1.45E+10 1.12E+10 3.03E+09 3.57E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  0.890  2.02E+14 3.46E+14 2.46E+15 2.13E+11 6.40E+12 1.08E+11 3.38E+14 9.89E+10 7.26E+09 5.22E+10 7.66E+05 2.35E+09 9.23E+08 5.29E+05 9.70E+07 0.00E+00 3.66E+09 4.83E+10 4.04E+06 1.86E+07 4.38E+06 1.04E+09 7.65E+08 2.38E+06 2.06E+08 9.02E+11 1.88E+11 2.04E+11 8.47E+10 4.02E+10 1.42E+10 1.22E+10 2.90E+09 5.06E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.914  5.11E+15 9.47E+15 6.62E+16 8.64E+11 4.97E+13 2.15E+11 9.42E+15 2.05E+11 6.50E+09 7.26E+10 7.31E+04 1.52E+09 5.10E+08 3.65E+04 2.57E+07 0.00E+00 2.61E+09 6.92E+10 3.68E+05 2.55E+06 4.14E+05 3.33E+08 1.81E+08 1.14E+05 3.01E+07 1.18E+12 2.00E+11 2.51E+11 9.82E+10 4.48E+10 1.39E+10 1.33E+10 2.79E+09 7.17E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.938  1.41E+17 2.63E+17 1.84E+18 3.51E+12 3.86E+14 4.28E+11 2.62E+17 4.26E+11 5.82E+09 1.01E+11 6.98E+03 9.80E+08 2.82E+08 2.52E+03 6.80E+06 0.00E+00 1.86E+09 9.92E+10 3.35E+04 3.50E+05 3.91E+04 1.07E+08 4.31E+07 5.46E+03 4.41E+06 1.55E+12 2.13E+11 3.09E+11 1.14E+11 5.00E+10 1.36E+10 1.44E+10 2.68E+09 1.02E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  0.995  1.35E+21 1.08E+21 7.54E+21 1.16E+14 6.49E+16 2.40E+12 1.08E+21 2.65E+12 4.41E+09 2.30E+11 1.97E+01 3.29E+08 6.40E+07 3.16E+00 2.45E+05 0.00E+00 8.01E+08 2.44E+11 8.40E+01 2.43E+03 1.07E+02 6.22E+06 1.18E+06 2.74E+00 3.60E+04 3.04E+12 2.47E+11 5.20E+11 1.64E+11 6.57E+10 1.30E+10 1.79E+10 2.42E+09 2.43E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.049  5.38E+21 2.15E+21 1.51E+22 3.86E+15 1.29E+17 1.34E+13 2.15E+21 1.64E+13 3.34E+09 5.24E+11 0.00E+00 1.10E+08 1.45E+07 0.00E+00 8.86E+03 0.00E+00 3.44E+08 6.00E+11 0.00E+00 1.69E+01 0.00E+00 3.63E+05 3.24E+04 0.00E+00 2.95E+02 5.96E+12 2.88E+11 8.76E+11 2.37E+11 8.62E+10 1.23E+10 2.21E+10 2.18E+09 5.80E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.149  3.23E+22 8.61E+21 6.03E+22 4.24E+18 5.14E+17 4.22E+14 8.61E+21 6.34E+14 1.92E+09 2.72E+12 0.00E+00 1.24E+07 7.48E+05 0.00E+00 1.15E+01 0.00E+00 6.36E+07 3.63E+12 0.00E+00 0.00E+00 0.00E+00 1.23E+03 2.43E+01 0.00E+00 0.00E+00 2.30E+13 3.89E+11 2.48E+12 4.94E+11 1.49E+11 1.11E+10 3.38E+10 1.78E+09 3.31E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.327  7.64E+23 1.38E+23 9.64E+23 1.27E+19 8.13E+18 4.17E+17 1.38E+23 9.42E+17 6.33E+08 7.35E+13 0.00E+00 1.57E+05 1.98E+03 0.00E+00 0.00E+00 0.00E+00 2.17E+06 1.33E+14 0.00E+00 0.00E+00 0.00E+00 1.42E-02 0.00E+00 0.00E+00 0.00E+00 3.41E+14 7.12E+11 2.00E+13 2.15E+12 4.43E+11 9.02E+09 7.91E+10 1.18E+09 1.08E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.483  1.25E+25 2.20E+24 1.54E+25 3.81E+19 1.29E+20 8.34E+17 2.20E+24 1.88E+18 2.09E+08 1.99E+15 0.00E+00 1.98E+03 5.27E+00 0.00E+00 0.00E+00 0.00E+00 7.43E+04 4.86E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.07E+15 1.30E+12 1.60E+14 9.33E+12 1.32E+12 7.34E+09 1.85E+11 7.84E+08 3.51E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.625  2.00E+26 3.52E+25 2.47E+26 1.14E+20 2.03E+21 1.67E+18 3.52E+25 3.77E+18 6.88E+07 5.36E+16 0.00E+00 2.50E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.54E+03 1.78E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.53E+16 2.39E+12 1.29E+15 4.05E+13 3.93E+12 5.96E+09 4.33E+11 5.21E+08 1.14E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.755  3.19E+27 5.63E+26 3.94E+27 3.43E+20 3.21E+22 3.33E+18 5.63E+26 7.53E+18 2.27E+07 1.45E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.67E+01 6.51E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.12E+18 4.37E+12 1.04E+16 1.76E+14 1.17E+13 4.85E+09 1.01E+12 3.46E+08 3.72E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.876  5.10E+28 9.01E+27 6.30E+28 1.03E+21 5.08E+23 6.66E+18 9.01E+27 1.51E+19 7.49E+06 3.91E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.38E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.66E+19 8.00E+12 8.32E+16 7.65E+14 3.48E+13 3.94E+09 2.37E+12 2.30E+08 1.21E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  1.990  8.16E+29 1.44E+29 1.01E+30 3.08E+21 8.03E+24 1.33E+19 1.44E+29 3.01E+19 2.47E+06 1.05E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.73E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.47E+20 1.46E+13 6.68E+17 3.32E+15 1.04E+14 3.21E+09 5.55E+12 1.53E+08 3.95E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.098  1.31E+31 2.30E+30 1.61E+31 9.24E+21 1.27E+26 2.66E+19 2.30E+30 6.02E+19 8.15E+05 2.85E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.19E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.66E+21 2.68E+13 5.37E+18 1.44E+16 3.08E+14 2.61E+09 1.30E+13 1.01E+08 1.29E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.200  2.09E+32 3.68E+31 2.58E+32 2.77E+22 2.01E+27 5.32E+19 3.68E+31 1.20E+20 2.69E+05 7.69E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.17E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.44E+22 4.90E+13 4.31E+19 6.28E+16 9.18E+14 2.12E+09 3.04E+13 6.73E+07 4.19E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.298  3.34E+33 5.89E+32 4.12E+33 8.31E+22 3.18E+28 1.06E+20 5.89E+32 2.40E+20 8.86E+04 2.07E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.28E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.08E+23 8.98E+13 3.47E+20 2.73E+17 2.73E+15 1.72E+09 7.11E+13 4.47E+07 1.36E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.392  5.34E+34 9.42E+33 6.59E+34 2.49E+23 5.02E+29 2.13E+20 9.42E+33 4.81E+20 2.92E+04 5.60E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.57E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E+25 1.64E+14 2.78E+21 1.18E+18 8.13E+15 1.40E+09 1.66E+14 2.97E+07 4.44E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.482  8.54E+35 1.51E+35 1.05E+36 7.47E+23 7.94E+30 4.25E+20 1.51E+35 9.61E+20 9.64E+03 1.51E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.73E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.78E+26 3.01E+14 2.24E+22 5.15E+18 2.42E+16 1.14E+09 3.89E+14 1.97E+07 1.45E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.569  1.37E+37 2.41E+36 1.69E+37 2.24E+24 1.25E+32 8.49E+20 2.41E+36 1.92E+21 3.18E+03 4.08E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.10E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.65E+27 5.50E+14 1.80E+23 2.24E+19 7.21E+16 9.27E+08 9.11E+14 1.31E+07 4.71E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.653  2.18E+38 3.85E+37 2.70E+38 6.71E+24 1.98E+33 1.70E+21 3.85E+37 3.84E+21 1.05E+03 1.10E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.67E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.93E+28 1.01E+15 1.44E+24 9.72E+19 2.15E+17 7.54E+08 2.13E+15 8.70E+06 1.53E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.735  3.49E+39 6.16E+38 4.31E+39 2.01E+25 3.14E+34 3.39E+21 6.16E+38 7.68E+21 3.46E+02 2.98E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.81E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.84E+29 1.84E+15 1.16E+25 4.22E+20 6.39E+17 6.13E+08 4.99E+15 5.78E+06 4.99E+32 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.814  5.59E+40 9.86E+39 6.90E+40 6.03E+25 4.96E+35 6.79E+21 9.85E+39 1.54E+22 0.00E+00 8.03E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.03E+36 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.67E+30 3.38E+15 9.33E+25 1.84E+21 1.90E+18 4.98E+08 1.17E+16 3.84E+06 1.63E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  2.891  8.93E+41 1.58E+41 1.10E+42 1.81E+26 7.84E+36 1.36E+22 1.58E+41 3.07E+22 0.00E+00 2.17E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.76E+37 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.29E+32 6.18E+15 7.49E+26 7.97E+21 5.66E+18 4.05E+08 2.73E+16 2.55E+06 5.30E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  2.966  1.43E+43 2.52E+42 1.77E+43 5.42E+26 1.24E+38 2.71E+22 2.52E+42 6.14E+22 0.00E+00 5.85E+36 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.38E+39 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.91E+33 1.13E+16 6.02E+27 3.46E+22 1.69E+19 3.30E+08 6.39E+16 1.69E+06 1.72E+37 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 97 A=250: Negative-parity Spin-dependent Level Density [MeV-1] for BK250  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.105  1.40E+01 1.08E+02 1.20E+03 2.49E-01 7.87E+00 6.34E+00 1.40E+01 1.25E+01 1.86E+01 1.54E+01 1.71E+01 1.23E+01 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.148  4.70E+01 1.59E+02 1.90E+03 4.99E-01 1.57E+01 9.52E+00 2.02E+01 1.23E+01 2.02E+01 1.54E+01 2.17E+01 1.70E+01 1.70E+01 9.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.182  1.00E+02 2.62E+02 3.35E+03 6.23E-01 2.18E+01 1.75E+01 3.41E+01 2.34E+01 3.41E+01 1.72E+01 2.65E+01 2.17E+01 2.31E+01 1.70E+01 1.70E+01 7.71E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.210  1.85E+02 4.24E+02 5.33E+03 1.12E+00 3.59E+01 2.38E+01 5.57E+01 4.69E+01 6.20E+01 3.90E+01 4.50E+01 2.49E+01 2.31E+01 1.85E+01 2.16E+01 1.54E+01 1.08E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.235  3.65E+02 1.01E+03 1.24E+04 1.50E+00 8.99E+01 7.27E+01 1.49E+02 9.32E+01 1.35E+02 9.50E+01 1.12E+02 8.24E+01 6.35E+01 3.40E+01 3.11E+01 1.85E+01 2.16E+01 1.39E+01 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.257  7.30E+02 1.90E+03 2.32E+04 1.62E+00 1.51E+02 1.25E+02 2.73E+02 2.21E+02 2.83E+02 1.91E+02 1.89E+02 1.23E+02 1.30E+02 7.30E+01 5.73E+01 2.32E+01 2.79E+01 1.70E+01 1.54E+01 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.277  1.49E+03 4.20E+03 5.34E+04 2.12E+00 2.86E+02 2.63E+02 5.42E+02 4.33E+02 5.85E+02 4.50E+02 4.76E+02 3.44E+02 2.94E+02 1.67E+02 1.53E+02 7.43E+01 5.73E+01 2.31E+01 2.47E+01 1.54E+01 7.71E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.297  2.92E+03 7.20E+03 9.35E+04 2.74E+00 4.79E+02 4.49E+02 9.03E+02 6.96E+02 9.60E+02 7.43E+02 7.99E+02 6.06E+02 5.78E+02 3.43E+02 2.60E+02 1.47E+02 1.18E+02 5.11E+01 2.79E+01 2.00E+01 1.70E+01 3.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.315  5.97E+03 1.72E+04 2.26E+05 4.36E+00 1.10E+03 1.05E+03 2.11E+03 1.69E+03 2.26E+03 1.75E+03 1.84E+03 1.41E+03 1.35E+03 8.94E+02 7.27E+02 3.98E+02 2.64E+02 1.56E+02 8.84E+01 3.39E+01 2.48E+01 1.70E+01 7.71E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.332  1.17E+04 2.87E+04 3.87E+05 3.37E+00 1.74E+03 1.67E+03 3.30E+03 2.69E+03 3.70E+03 3.02E+03 3.14E+03 2.36E+03 2.26E+03 1.58E+03 1.28E+03 7.67E+02 5.60E+02 2.80E+02 1.84E+02 7.58E+01 3.73E+01 2.00E+01 1.70E+01 1.54E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
