                    *********************************************************************************
                    *  Z= 64 A=153: Positive-Parity Spin-dependent Level Density [MeV-1] for GD153  *
   2.25  0.402  1.15E+02 2.64E+02 1.89E+03 2.87E+01 5.84E+01 5.28E+01 4.71E+01 3.67E+01 2.20E+01 1.28E+01 3.03E+00 0.00E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.424  1.98E+02 3.97E+02 3.04E+03 3.94E+01 7.58E+01 7.70E+01 7.40E+01 5.22E+01 3.72E+01 2.29E+01 1.21E+01 2.02E+00 1.01E+00 2.02E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.445  3.37E+02 7.16E+02 5.60E+03 6.95E+01 1.22E+02 1.46E+02 1.29E+02 1.00E+02 6.73E+01 4.40E+01 2.56E+01 1.01E+01 0.00E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.464  5.54E+02 1.02E+03 8.31E+03 9.83E+01 1.62E+02 1.90E+02 1.87E+02 1.50E+02 1.08E+02 6.59E+01 4.21E+01 1.62E+01 3.03E+00 1.01E+00 2.02E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.483  9.02E+02 1.76E+03 1.50E+04 1.35E+02 2.56E+02 3.15E+02 3.17E+02 2.46E+02 2.12E+02 1.38E+02 7.49E+01 4.41E+01 1.31E+01 3.03E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.502  1.44E+03 2.52E+03 2.17E+04 2.14E+02 3.59E+02 4.27E+02 4.55E+02 3.49E+02 2.80E+02 2.13E+02 1.18E+02 6.76E+01 2.49E+01 7.08E+00 0.00E+00 2.02E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.519  2.26E+03 4.08E+03 3.65E+04 3.09E+02 5.80E+02 6.54E+02 6.93E+02 5.92E+02 4.71E+02 3.45E+02 2.26E+02 1.29E+02 5.69E+01 2.12E+01 3.69E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.536  3.48E+03 5.65E+03 5.09E+04 4.32E+02 8.02E+02 9.24E+02 9.21E+02 8.04E+02 6.40E+02 4.81E+02 3.18E+02 1.86E+02 8.89E+01 3.91E+01 1.45E+01 0.00E+00 2.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.553  5.38E+03 9.57E+03 8.50E+04 7.91E+02 1.41E+03 1.65E+03 1.56E+03 1.31E+03 9.82E+02 7.49E+02 5.13E+02 3.11E+02 1.83E+02 7.51E+01 2.80E+01 5.71E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.569  8.32E+03 1.39E+04 1.23E+05 1.10E+03 2.06E+03 2.40E+03 2.43E+03 1.88E+03 1.42E+03 1.01E+03 7.05E+02 4.33E+02 2.66E+02 1.25E+02 4.55E+01 1.58E+01 0.00E+00 2.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.584  1.31E+04 2.42E+04 2.15E+05 1.88E+03 3.49E+03 4.07E+03 4.25E+03 3.49E+03 2.62E+03 1.77E+03 1.15E+03 7.25E+02 4.04E+02 2.23E+02 8.62E+01 2.90E+01 5.06E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.600  2.04E+04 3.47E+04 3.13E+05 2.49E+03 4.73E+03 5.79E+03 6.18E+03 5.08E+03 3.95E+03 2.69E+03 1.66E+03 1.03E+03 5.63E+02 3.22E+02 1.35E+02 5.15E+01 1.58E+01 0.00E+00 2.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.629  4.97E+04 8.23E+04 7.66E+05 5.54E+03 1.03E+04 1.30E+04 1.41E+04 1.21E+04 9.95E+03 7.37E+03 4.66E+03 2.64E+03 1.38E+03 7.10E+02 3.71E+02 1.52E+02 5.59E+01 1.21E+01 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.657  1.18E+05 1.91E+05 1.82E+06 1.22E+04 2.33E+04 2.89E+04 3.18E+04 2.75E+04 2.31E+04 1.75E+04 1.20E+04 7.35E+03 3.90E+03 1.89E+03 8.87E+02 4.16E+02 1.60E+02 5.75E+01 8.09E+00 1.01E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.684  2.75E+05 4.38E+05 4.27E+06 2.72E+04 5.18E+04 6.47E+04 7.15E+04 6.34E+04 5.26E+04 4.03E+04 2.81E+04 1.82E+04 1.05E+04 5.52E+03 2.31E+03 1.11E+03 4.58E+02 1.65E+02 5.74E+01 4.05E+00 1.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.709  6.32E+05 9.90E+05 9.80E+06 5.95E+04 1.13E+05 1.44E+05 1.60E+05 1.42E+05 1.20E+05 9.23E+04 6.50E+04 4.29E+04 2.54E+04 1.43E+04 6.79E+03 2.88E+03 1.23E+03 5.00E+02 1.64E+02 4.12E+01 2.32E+00 4.34E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.734  1.44E+06 2.23E+06 2.24E+07 1.30E+05 2.50E+05 3.17E+05 3.56E+05 3.21E+05 2.73E+05 2.12E+05 1.51E+05 1.00E+05 5.99E+04 3.44E+04 1.73E+04 8.17E+03 3.17E+03 1.32E+03 4.80E+02 1.56E+02 3.52E+01 4.45E+00 3.99E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.758  3.24E+06 4.98E+06 5.08E+07 2.74E+05 5.29E+05 6.89E+05 7.82E+05 7.14E+05 6.18E+05 4.86E+05 3.48E+05 2.34E+05 1.42E+05 8.23E+04 4.20E+04 2.12E+04 9.00E+03 3.48E+03 1.33E+03 4.09E+02 1.40E+02 2.55E+01 6.58E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.782  7.24E+06 1.10E+07 1.14E+08 5.87E+05 1.14E+06 1.49E+06 1.70E+06 1.57E+06 1.37E+06 1.09E+06 8.00E+05 5.47E+05 3.35E+05 1.98E+05 1.03E+05 5.28E+04 2.42E+04 1.00E+04 3.56E+03 1.26E+03 3.97E+02 1.19E+02 1.62E+01 1.20E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.804  1.60E+07 2.41E+07 2.54E+08 1.25E+06 2.42E+06 3.18E+06 3.66E+06 3.41E+06 3.00E+06 2.41E+06 1.79E+06 1.26E+06 7.82E+05 4.74E+05 2.50E+05 1.31E+05 6.14E+04 2.79E+04 1.05E+04 3.71E+03 1.21E+03 4.18E+02 1.12E+02 2.08E+01 1.03E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.826  3.51E+07 5.24E+07 5.59E+08 2.64E+06 5.13E+06 6.77E+06 7.81E+06 7.35E+06 6.50E+06 5.29E+06 3.96E+06 2.81E+06 1.79E+06 1.11E+06 5.98E+05 3.22E+05 1.55E+05 7.20E+04 3.00E+04 1.09E+04 4.02E+03 1.29E+03 4.94E+02 1.08E+02 3.77E+01 5.90E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.848  7.64E+07 1.13E+08 1.22E+09 5.55E+06 1.08E+07 1.43E+07 1.66E+07 1.57E+07 1.40E+07 1.15E+07 8.69E+06 6.24E+06 4.02E+06 2.54E+06 1.40E+06 7.76E+05 3.82E+05 1.83E+05 7.89E+04 3.12E+04 1.17E+04 4.30E+03 1.51E+03 5.51E+02 1.40E+02 4.70E+01 1.19E+01 1.97E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.889  3.90E+08 5.15E+08 5.70E+09 2.42E+07 4.73E+07 6.30E+07 7.36E+07 7.05E+07 6.36E+07 5.30E+07 4.09E+07 3.00E+07 1.98E+07 1.29E+07 7.36E+06 4.25E+06 2.22E+06 1.11E+06 5.08E+05 2.16E+05 9.07E+04 3.56E+04 1.42E+04 5.12E+03 1.86E+03 6.30E+02 1.91E+02 6.95E+01 1.53E+01 6.76E+00 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.929  1.79E+09 2.28E+09 2.59E+10 1.03E+08 2.01E+08 2.70E+08 3.17E+08 3.07E+08 2.81E+08 2.37E+08 1.86E+08 1.39E+08 9.43E+07 6.30E+07 3.71E+07 2.23E+07 1.21E+07 6.45E+06 3.13E+06 1.42E+06 6.40E+05 2.75E+05 1.19E+05 4.72E+04 1.77E+04 6.77E+03 2.40E+03 8.22E+02 2.67E+02 8.95E+01 2.66E+01 6.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.967  7.90E+09 9.94E+09 1.15E+11 4.39E+08 8.61E+08 1.14E+09 1.35E+09 1.31E+09 1.21E+09 1.03E+09 8.19E+08 6.26E+08 4.34E+08 2.97E+08 1.79E+08 1.11E+08 6.28E+07 3.49E+07 1.78E+07 8.57E+06 4.12E+06 1.90E+06 8.82E+05 3.86E+05 1.60E+05 6.69E+04 2.68E+04 1.08E+04 4.09E+03 1.44E+03 4.65E+02 1.70E+02 1.31E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.003  3.39E+10 4.20E+10 4.95E+11 1.79E+09 3.52E+09 4.68E+09 5.56E+09 5.44E+09 5.06E+09 4.38E+09 3.52E+09 2.73E+09 1.93E+09 1.35E+09 8.35E+08 5.34E+08 3.11E+08 1.79E+08 9.53E+07 4.80E+07 2.43E+07 1.19E+07 5.84E+06 2.68E+06 1.19E+06 5.25E+05 2.24E+05 9.68E+04 3.94E+04 1.59E+04 5.51E+03 2.64E+03 3.06E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.038  1.06E+11 1.03E+11 1.23E+12 4.16E+09 8.18E+09 1.13E+10 1.33E+10 1.31E+10 1.24E+10 1.08E+10 8.79E+09 6.84E+09 4.92E+09 3.46E+09 2.20E+09 1.43E+09 8.53E+08 5.02E+08 2.76E+08 1.44E+08 7.56E+07 3.83E+07 1.96E+07 9.46E+06 4.31E+06 1.97E+06 8.86E+05 4.00E+05 1.69E+05 7.16E+04 2.52E+04 1.26E+04 1.59E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
