                    *********************************************************************************
                    *  Z= 78 A=193: Positive-Parity Spin-dependent Level Density [MeV-1] for PT193  *
   0.50  0.168  4.00E+00 9.72E+00 1.08E+02 0.00E+00 0.00E+00 1.76E+00 2.09E+00 1.26E+00 1.26E+00 1.26E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.206  8.00E+00 1.52E+01 1.76E+02 4.20E-01 8.40E-01 1.35E+00 4.59E+00 1.68E+00 4.20E-01 8.40E-01 1.68E+00 1.26E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.238  1.20E+01 2.32E+01 2.59E+02 2.09E+00 1.26E+00 1.68E+00 3.53E+00 5.43E+00 2.52E+00 1.26E+00 8.40E-01 1.26E+00 1.26E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.266  1.90E+01 3.28E+01 3.72E+02 5.00E+00 1.62E+00 1.68E+00 3.95E+00 5.43E+00 2.94E+00 2.94E+00 2.94E+00 1.68E+00 8.40E-01 1.68E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.291  3.00E+01 5.15E+01 5.33E+02 6.08E+00 9.12E+00 5.87E+00 5.08E+00 4.79E+00 4.61E+00 3.36E+00 2.94E+00 2.52E+00 2.52E+00 8.40E-01 1.68E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.314  5.50E+01 1.46E+02 1.25E+03 1.82E+01 2.48E+01 2.68E+01 2.40E+01 1.44E+01 1.47E+01 7.13E+00 3.36E+00 3.36E+00 2.94E+00 2.94E+00 8.40E-01 8.40E-01 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.336  1.03E+02 2.43E+02 2.15E+03 2.47E+01 3.70E+01 4.40E+01 3.91E+01 2.89E+01 2.53E+01 1.80E+01 7.98E+00 4.20E+00 3.78E+00 2.94E+00 2.94E+00 8.40E-01 1.26E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.356  1.97E+02 5.05E+02 4.63E+03 5.27E+01 6.88E+01 8.17E+01 7.36E+01 6.70E+01 5.03E+01 4.24E+01 2.94E+01 1.72E+01 7.56E+00 3.36E+00 3.36E+00 2.94E+00 1.68E+00 8.40E-01 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.376  3.56E+02 7.70E+02 7.37E+03 6.57E+01 1.07E+02 1.10E+02 1.14E+02 1.08E+02 7.76E+01 6.25E+01 5.10E+01 3.36E+01 1.97E+01 7.98E+00 3.36E+00 2.94E+00 2.94E+00 8.40E-01 1.68E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.394  6.10E+02 1.26E+03 1.33E+04 7.82E+01 1.29E+02 1.71E+02 1.78E+02 1.67E+02 1.46E+02 1.15E+02 9.93E+01 6.72E+01 4.91E+01 2.73E+01 1.51E+01 4.62E+00 3.36E+00 2.94E+00 1.26E+00 1.68E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.411  9.86E+02 1.75E+03 1.95E+04 9.80E+01 1.51E+02 2.29E+02 2.30E+02 2.33E+02 2.17E+02 1.63E+02 1.45E+02 1.11E+02 7.18E+01 4.79E+01 2.73E+01 1.43E+01 4.20E+00 2.94E+00 2.94E+00 4.20E-01 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.428  1.57E+03 2.91E+03 3.36E+04 1.49E+02 2.59E+02 3.54E+02 3.65E+02 3.67E+02 3.48E+02 2.83E+02 2.39E+02 1.83E+02 1.44E+02 9.74E+01 5.96E+01 3.53E+01 1.64E+01 5.04E+00 3.36E+00 2.94E+00 4.20E-01 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.444  2.47E+03 4.33E+03 4.91E+04 2.47E+02 4.69E+02 5.36E+02 5.34E+02 5.21E+02 4.79E+02 4.14E+02 3.26E+02 2.54E+02 1.96E+02 1.47E+02 9.62E+01 5.96E+01 3.02E+01 1.47E+01 3.36E+00 2.94E+00 2.52E+00 8.40E-01 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.460  4.06E+03 8.33E+03 9.05E+04 5.21E+02 9.61E+02 1.19E+03 1.12E+03 9.89E+02 8.88E+02 7.06E+02 5.55E+02 4.27E+02 3.19E+02 2.42E+02 1.66E+02 1.15E+02 6.51E+01 3.61E+01 1.55E+01 3.36E+00 2.94E+00 2.52E+00 8.40E-01 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.475  6.74E+03 1.32E+04 1.41E+05 8.42E+02 1.40E+03 1.87E+03 1.89E+03 1.74E+03 1.43E+03 1.09E+03 8.85E+02 6.17E+02 4.49E+02 3.36E+02 2.41E+02 1.60E+02 1.04E+02 6.01E+01 2.86E+01 9.24E+00 3.78E+00 2.94E+00 8.40E-01 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.490  1.15E+04 2.49E+04 2.73E+05 1.27E+03 2.44E+03 3.35E+03 3.57E+03 3.45E+03 2.92E+03 2.33E+03 1.82E+03 1.22E+03 8.56E+02 5.66E+02 4.12E+02 2.68E+02 1.74E+02 1.15E+02 6.13E+01 2.86E+01 9.24E+00 3.78E+00 2.94E+00 8.40E-01 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.504  1.93E+04 3.73E+04 4.18E+05 1.79E+03 3.34E+03 4.63E+03 5.27E+03 5.22E+03 4.58E+03 3.67E+03 2.90E+03 2.08E+03 1.35E+03 8.92E+02 5.78E+02 3.93E+02 2.49E+02 1.61E+02 9.91E+01 4.96E+01 2.14E+01 5.46E+00 2.94E+00 2.52E+00 1.68E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.518  3.21E+04 6.56E+04 7.62E+05 2.85E+03 5.48E+03 7.60E+03 8.56E+03 8.76E+03 8.09E+03 6.90E+03 5.65E+03 4.15E+03 2.83E+03 1.86E+03 1.10E+03 6.91E+02 4.21E+02 2.71E+02 1.69E+02 9.91E+01 4.96E+01 1.97E+01 4.62E+00 2.94E+00 1.26E+00 1.26E+00 8.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.531  5.20E+04 9.37E+04 1.12E+06 3.94E+03 7.37E+03 1.04E+04 1.17E+04 1.22E+04 1.16E+04 9.92E+03 8.36E+03 6.35E+03 4.48E+03 2.99E+03 1.85E+03 1.08E+03 6.10E+02 3.96E+02 2.43E+02 1.48E+02 7.52E+01 3.65E+01 1.43E+01 3.78E+00 2.94E+00 8.40E-01 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.557  1.32E+05 2.27E+05 2.79E+06 9.59E+03 1.78E+04 2.45E+04 2.72E+04 2.78E+04 2.64E+04 2.32E+04 2.01E+04 1.61E+04 1.21E+04 8.68E+03 5.87E+03 3.58E+03 2.03E+03 1.09E+03 5.82E+02 3.42E+02 2.06E+02 1.18E+02 5.84E+01 1.97E+01 3.36E+00 2.94E+00 4.20E-01 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.582  3.33E+05 5.77E+05 7.07E+06 2.41E+04 4.57E+04 6.38E+04 7.06E+04 7.16E+04 6.63E+04 5.67E+04 4.90E+04 3.85E+04 2.93E+04 2.16E+04 1.53E+04 1.02E+04 6.28E+03 3.66E+03 1.94E+03 9.35E+02 4.84E+02 2.74E+02 1.57E+02 7.14E+01 2.86E+01 5.88E+00 2.94E+00 8.40E-01 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.606  8.50E+05 1.49E+06 1.84E+07 5.84E+04 1.13E+05 1.60E+05 1.81E+05 1.87E+05 1.76E+05 1.52E+05 1.30E+05 1.01E+05 7.50E+04 5.41E+04 3.76E+04 2.50E+04 1.65E+04 1.03E+04 6.09E+03 3.13E+03 1.47E+03 7.04E+02 3.70E+02 1.98E+02 9.91E+01 3.86E+01 9.24E+00 2.94E+00 1.68E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.628  2.14E+06 3.68E+06 4.67E+07 1.34E+05 2.59E+05 3.69E+05 4.24E+05 4.50E+05 4.34E+05 3.87E+05 3.38E+05 2.68E+05 2.02E+05 1.46E+05 9.99E+04 6.41E+04 4.06E+04 2.57E+04 1.59E+04 9.12E+03 4.89E+03 2.38E+03 1.04E+03 4.68E+02 2.43E+02 1.20E+02 4.96E+01 1.47E+01 3.36E+00 2.52E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.650  5.26E+06 8.79E+06 1.14E+08 3.10E+05 5.98E+05 8.48E+05 9.73E+05 1.03E+06 1.01E+06 9.17E+05 8.20E+05 6.66E+05 5.15E+05 3.86E+05 2.70E+05 1.77E+05 1.09E+05 6.64E+04 3.97E+04 2.29E+04 1.33E+04 7.28E+03 3.46E+03 1.40E+03 5.79E+02 2.86E+02 1.48E+02 6.01E+01 1.64E+01 3.78E+00 2.52E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.672  1.26E+07 2.08E+07 2.75E+08 7.05E+05 1.37E+06 1.95E+06 2.27E+06 2.42E+06 2.35E+06 2.14E+06 1.92E+06 1.58E+06 1.24E+06 9.52E+05 6.87E+05 4.64E+05 2.97E+05 1.84E+05 1.07E+05 5.89E+04 3.30E+04 1.87E+04 9.82E+03 4.73E+03 1.94E+03 7.32E+02 3.41E+02 1.61E+02 6.51E+01 1.97E+01 3.78E+00 2.52E+00 1.26E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.692  3.03E+07 4.97E+07 6.63E+08 1.64E+06 3.19E+06 4.58E+06 5.37E+06 5.79E+06 5.65E+06 5.15E+06 4.58E+06 3.77E+06 2.97E+06 2.29E+06 1.67E+06 1.15E+06 7.60E+05 4.89E+05 2.94E+05 1.64E+05 8.81E+04 4.73E+04 2.44E+04 1.30E+04 6.12E+03 2.48E+03 9.27E+02 3.95E+02 1.74E+02 7.06E+01 1.97E+01 3.78E+00 2.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.713  7.21E+07 1.18E+08 1.59E+09 3.75E+06 7.30E+06 1.05E+07 1.24E+07 1.35E+07 1.33E+07 1.23E+07 1.11E+07 9.16E+06 7.26E+06 5.55E+06 4.07E+06 2.81E+06 1.87E+06 1.22E+06 7.62E+05 4.42E+05 2.45E+05 1.30E+05 6.37E+04 3.22E+04 1.61E+04 7.57E+03 3.12E+03 1.09E+03 4.20E+02 1.90E+02 7.14E+01 1.97E+01 3.78E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.732  1.70E+08 2.74E+08 3.77E+09 8.43E+06 1.64E+07 2.37E+07 2.81E+07 3.06E+07 3.05E+07 2.85E+07 2.59E+07 2.18E+07 1.75E+07 1.36E+07 1.01E+07 6.94E+06 4.60E+06 3.01E+06 1.90E+06 1.13E+06 6.46E+05 3.58E+05 1.79E+05 8.68E+04 4.03E+04 1.95E+04 9.13E+03 3.69E+03 1.20E+03 4.51E+02 1.98E+02 7.14E+01 1.97E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.751  3.96E+08 6.31E+08 8.80E+09 1.89E+07 3.69E+07 5.34E+07 6.34E+07 6.94E+07 6.93E+07 6.51E+07 5.96E+07 5.05E+07 4.11E+07 3.24E+07 2.43E+07 1.71E+07 1.14E+07 7.53E+06 4.72E+06 2.80E+06 1.63E+06 9.30E+05 4.83E+05 2.43E+05 1.11E+05 4.97E+04 2.31E+04 1.05E+04 4.12E+03 1.36E+03 4.68E+02 1.98E+02 7.06E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.788  2.36E+09 3.30E+09 4.71E+10 9.44E+07 1.85E+08 2.68E+08 3.21E+08 3.54E+08 3.57E+08 3.38E+08 3.12E+08 2.67E+08 2.20E+08 1.76E+08 1.34E+08 9.63E+07 6.65E+07 4.53E+07 2.93E+07 1.77E+07 1.04E+07 5.94E+06 3.12E+06 1.66E+06 8.21E+05 3.86E+05 1.70E+05 6.98E+04 2.89E+04 1.27E+04 4.78E+03 1.42E+03 4.51E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.823  1.24E+10 1.67E+10 2.44E+11 4.55E+08 8.93E+08 1.30E+09 1.56E+09 1.73E+09 1.76E+09 1.69E+09 1.58E+09 1.37E+09 1.15E+09 9.31E+08 7.22E+08 5.25E+08 3.69E+08 2.55E+08 1.68E+08 1.05E+08 6.38E+07 3.78E+07 2.04E+07 1.10E+07 5.42E+06 2.64E+06 1.24E+06 5.52E+05 2.22E+05 8.71E+04 3.36E+04 1.36E+04 4.60E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.856  6.23E+10 8.31E+10 1.23E+12 2.20E+09 4.34E+09 6.33E+09 7.55E+09 8.36E+09 8.56E+09 8.27E+09 7.86E+09 6.84E+09 5.77E+09 4.75E+09 3.72E+09 2.76E+09 1.98E+09 1.40E+09 9.42E+08 5.99E+08 3.72E+08 2.25E+08 1.25E+08 7.00E+07 3.61E+07 1.80E+07 8.43E+06 3.82E+06 1.64E+06 6.96E+05 2.69E+05 9.77E+04 3.24E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.889  3.03E+11 3.99E+11 6.03E+12 1.02E+10 2.00E+10 2.93E+10 3.51E+10 3.91E+10 4.02E+10 3.91E+10 3.75E+10 3.30E+10 2.82E+10 2.36E+10 1.86E+10 1.40E+10 1.02E+10 7.34E+09 5.04E+09 3.28E+09 2.09E+09 1.30E+09 7.35E+08 4.23E+08 2.24E+08 1.17E+08 5.71E+07 2.70E+07 1.18E+07 5.06E+06 2.07E+06 8.44E+05 2.58E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.920  1.04E+12 1.07E+12 1.65E+13 2.59E+10 5.10E+10 7.46E+10 9.18E+10 1.04E+11 1.06E+11 1.05E+11 9.95E+10 8.85E+10 7.70E+10 6.40E+10 5.16E+10 3.93E+10 2.90E+10 2.11E+10 1.47E+10 9.73E+09 6.28E+09 3.98E+09 2.31E+09 1.36E+09 7.35E+08 3.91E+08 1.96E+08 9.52E+07 4.37E+07 1.95E+07 8.05E+06 3.45E+06 1.04E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  0.950  3.00E+12 2.86E+12 4.49E+13 6.57E+10 1.30E+11 1.90E+11 2.40E+11 2.75E+11 2.82E+11 2.80E+11 2.64E+11 2.38E+11 2.11E+11 1.74E+11 1.43E+11 1.10E+11 8.21E+10 6.04E+10 4.31E+10 2.89E+10 1.89E+10 1.22E+10 7.26E+09 4.40E+09 2.41E+09 1.31E+09 6.72E+08 3.36E+08 1.62E+08 7.50E+07 3.14E+07 1.41E+07 4.18E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.979  8.28E+12 7.69E+12 1.23E+14 1.67E+11 3.30E+11 4.85E+11 6.29E+11 7.28E+11 7.46E+11 7.51E+11 7.01E+11 6.38E+11 5.76E+11 4.71E+11 3.96E+11 3.10E+11 2.33E+11 1.73E+11 1.26E+11 8.56E+10 5.70E+10 3.74E+10 2.28E+10 1.42E+10 7.88E+09 4.40E+09 2.30E+09 1.19E+09 6.01E+08 2.89E+08 1.22E+08 5.76E+07 1.68E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
