                    *********************************************************************************
                    *  Z= 68 A=163: Positive-Parity Spin-dependent Level Density [MeV-1] for ER163  *
   2.25  0.390  4.11E+02 1.02E+03 1.11E+04 4.84E+01 9.58E+01 1.37E+02 1.38E+02 1.30E+02 1.32E+02 1.20E+02 7.78E+01 4.42E+01 3.99E+01 2.45E+01 1.52E+01 3.04E+00 4.57E+00 1.52E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.411  7.34E+02 1.57E+03 1.78E+04 6.67E+01 1.38E+02 1.88E+02 2.14E+02 2.08E+02 1.95E+02 1.72E+02 1.48E+02 9.82E+01 5.39E+01 4.12E+01 2.43E+01 1.52E+01 3.04E+00 3.04E+00 3.04E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.431  1.28E+03 2.83E+03 3.30E+04 1.18E+02 2.44E+02 3.36E+02 3.52E+02 3.45E+02 3.29E+02 3.08E+02 2.61E+02 1.94E+02 1.52E+02 9.13E+01 4.41E+01 2.60E+01 1.67E+01 3.04E+00 3.04E+00 3.04E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.450  2.14E+03 4.04E+03 4.85E+04 1.53E+02 3.04E+02 4.41E+02 5.23E+02 5.37E+02 4.70E+02 4.14E+02 3.67E+02 2.82E+02 2.09E+02 1.61E+02 8.37E+01 4.61E+01 2.43E+01 1.52E+01 4.57E+00 1.52E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.468  3.59E+03 7.53E+03 8.99E+04 3.23E+02 6.25E+02 8.83E+02 9.56E+02 9.01E+02 8.26E+02 7.71E+02 6.93E+02 4.86E+02 3.87E+02 2.93E+02 1.80E+02 1.12E+02 4.41E+01 2.59E+01 1.52E+01 4.57E+00 1.52E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.486  5.90E+03 1.10E+04 1.34E+05 4.37E+02 8.40E+02 1.19E+03 1.31E+03 1.38E+03 1.31E+03 1.18E+03 9.44E+02 7.54E+02 5.55E+02 4.17E+02 2.77E+02 1.80E+02 9.74E+01 4.57E+01 2.28E+01 7.61E+00 4.57E+00 3.04E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.503  9.70E+03 1.94E+04 2.40E+05 7.30E+02 1.45E+03 2.10E+03 2.31E+03 2.31E+03 2.26E+03 2.08E+03 1.82E+03 1.36E+03 1.00E+03 7.81E+02 4.84E+02 3.14E+02 1.92E+02 1.15E+02 4.57E+01 2.28E+01 7.61E+00 4.57E+00 3.04E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.520  1.56E+04 2.81E+04 3.51E+05 1.02E+03 2.10E+03 2.98E+03 3.29E+03 3.29E+03 3.24E+03 3.05E+03 2.54E+03 2.04E+03 1.59E+03 1.08E+03 7.40E+02 4.66E+02 3.14E+02 1.88E+02 8.37E+01 3.35E+01 1.83E+01 3.04E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.536  2.54E+04 4.99E+04 6.27E+05 1.83E+03 3.63E+03 5.26E+03 5.87E+03 5.86E+03 5.75E+03 5.26E+03 4.54E+03 3.57E+03 2.79E+03 2.12E+03 1.29E+03 8.74E+02 5.34E+02 3.31E+02 1.87E+02 8.37E+01 3.35E+01 1.69E+01 4.57E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.551  4.07E+04 7.29E+04 9.24E+05 2.62E+03 5.20E+03 7.50E+03 8.54E+03 8.60E+03 8.36E+03 7.70E+03 6.77E+03 5.26E+03 4.14E+03 3.01E+03 2.05E+03 1.29E+03 8.70E+02 4.91E+02 2.72E+02 1.53E+02 5.33E+01 2.60E+01 7.61E+00 3.04E+00 3.04E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.566  6.58E+04 1.27E+05 1.64E+06 4.57E+03 8.89E+03 1.28E+04 1.45E+04 1.46E+04 1.45E+04 1.37E+04 1.20E+04 9.38E+03 7.39E+03 5.45E+03 3.66E+03 2.49E+03 1.56E+03 9.43E+02 4.97E+02 2.86E+02 1.57E+02 4.73E+01 2.43E+01 3.04E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.581  1.05E+05 1.85E+05 2.39E+06 6.53E+03 1.26E+04 1.82E+04 2.09E+04 2.14E+04 2.09E+04 1.95E+04 1.74E+04 1.37E+04 1.08E+04 8.06E+03 5.44E+03 3.65E+03 2.39E+03 1.39E+03 7.66E+02 4.39E+02 2.32E+02 1.03E+02 3.50E+01 1.52E+01 4.57E+00 3.04E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.609  2.65E+05 4.55E+05 6.00E+06 1.52E+04 2.98E+04 4.32E+04 5.00E+04 5.15E+04 5.07E+04 4.81E+04 4.31E+04 3.46E+04 2.77E+04 2.12E+04 1.45E+04 9.87E+03 6.32E+03 3.95E+03 2.30E+03 1.21E+03 6.58E+02 3.52E+02 1.62E+02 5.52E+01 2.13E+01 4.57E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.636  6.54E+05 1.10E+06 1.48E+07 3.53E+04 6.96E+04 1.01E+05 1.18E+05 1.23E+05 1.22E+05 1.16E+05 1.05E+05 8.55E+04 6.93E+04 5.36E+04 3.73E+04 2.56E+04 1.73E+04 1.10E+04 6.15E+03 3.45E+03 1.99E+03 1.04E+03 4.74E+02 2.03E+02 6.54E+01 2.62E+01 3.04E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.662  1.59E+06 2.65E+06 3.62E+07 8.25E+04 1.62E+05 2.35E+05 2.75E+05 2.89E+05 2.89E+05 2.80E+05 2.52E+05 2.09E+05 1.70E+05 1.32E+05 9.37E+04 6.58E+04 4.50E+04 2.87E+04 1.68E+04 9.80E+03 5.67E+03 2.99E+03 1.34E+03 6.29E+02 2.60E+02 1.02E+02 2.89E+01 3.04E+00 1.52E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.687  3.82E+06 6.27E+06 8.70E+07 1.90E+05 3.73E+05 5.43E+05 6.39E+05 6.74E+05 6.74E+05 6.58E+05 5.99E+05 4.99E+05 4.12E+05 3.24E+05 2.33E+05 1.64E+05 1.14E+05 7.43E+04 4.51E+04 2.69E+04 1.55E+04 8.15E+03 4.07E+03 1.94E+03 8.88E+02 3.44E+02 1.42E+02 4.37E+01 6.52E+00 3.19E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.711  9.06E+06 1.47E+07 2.07E+08 4.32E+05 8.49E+05 1.24E+06 1.46E+06 1.55E+06 1.56E+06 1.53E+06 1.40E+06 1.18E+06 9.80E+05 7.81E+05 5.66E+05 4.06E+05 2.86E+05 1.89E+05 1.16E+05 7.05E+04 4.19E+04 2.32E+04 1.20E+04 5.66E+03 2.67E+03 1.14E+03 4.88E+02 2.03E+02 5.87E+01 9.20E+00 3.25E+00 3.48E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.735  2.12E+07 3.37E+07 4.83E+08 9.48E+05 1.87E+06 2.73E+06 3.27E+06 3.51E+06 3.55E+06 3.51E+06 3.23E+06 2.74E+06 2.30E+06 1.85E+06 1.36E+06 9.87E+05 7.03E+05 4.72E+05 2.95E+05 1.83E+05 1.12E+05 6.32E+04 3.30E+04 1.65E+04 8.01E+03 3.59E+03 1.62E+03 6.31E+02 2.47E+02 8.08E+01 1.79E+01 7.90E+00 3.04E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.757  4.89E+07 7.71E+07 1.12E+09 2.11E+06 4.17E+06 6.09E+06 7.33E+06 7.91E+06 8.03E+06 7.97E+06 7.32E+06 6.30E+06 5.32E+06 4.32E+06 3.21E+06 2.36E+06 1.70E+06 1.16E+06 7.35E+05 4.65E+05 2.88E+05 1.65E+05 8.92E+04 4.61E+04 2.34E+04 1.04E+04 4.81E+03 2.08E+03 8.69E+02 3.50E+02 1.01E+02 1.62E+01 1.22E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.779  1.12E+08 1.75E+08 2.57E+09 4.68E+06 9.23E+06 1.35E+07 1.63E+07 1.77E+07 1.80E+07 1.80E+07 1.66E+07 1.44E+07 1.22E+07 9.92E+06 7.49E+06 5.54E+06 4.05E+06 2.80E+06 1.80E+06 1.16E+06 7.31E+05 4.28E+05 2.37E+05 1.26E+05 6.49E+04 3.04E+04 1.46E+04 6.59E+03 2.87E+03 1.05E+03 4.38E+02 1.79E+02 3.80E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.801  2.54E+08 3.93E+08 5.84E+09 1.03E+07 2.03E+07 2.97E+07 3.59E+07 3.91E+07 4.00E+07 4.01E+07 3.72E+07 3.24E+07 2.77E+07 2.27E+07 1.73E+07 1.28E+07 9.52E+06 6.65E+06 4.36E+06 2.84E+06 1.82E+06 1.09E+06 6.16E+05 3.33E+05 1.79E+05 8.68E+04 4.36E+04 2.03E+04 8.66E+03 3.80E+03 1.62E+03 6.99E+02 2.16E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.821  5.71E+08 8.76E+08 1.32E+10 2.24E+07 4.42E+07 6.49E+07 7.86E+07 8.57E+07 8.81E+07 8.86E+07 8.25E+07 7.23E+07 6.23E+07 5.14E+07 3.94E+07 2.96E+07 2.21E+07 1.56E+07 1.04E+07 6.86E+06 4.47E+06 2.72E+06 1.57E+06 8.71E+05 4.82E+05 2.39E+05 1.22E+05 5.95E+04 2.76E+04 1.23E+04 5.55E+03 2.29E+03 8.52E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.862  3.13E+09 4.24E+09 6.52E+10 1.04E+08 2.06E+08 3.02E+08 3.68E+08 4.03E+08 4.17E+08 4.23E+08 3.97E+08 3.51E+08 3.06E+08 2.56E+08 1.99E+08 1.52E+08 1.16E+08 8.30E+07 5.65E+07 3.83E+07 2.57E+07 1.61E+07 9.65E+06 5.59E+06 3.23E+06 1.68E+06 9.15E+05 4.78E+05 2.37E+05 1.12E+05 5.42E+04 2.56E+04 1.05E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.900  1.52E+10 1.99E+10 3.13E+11 4.71E+08 9.31E+08 1.37E+09 1.67E+09 1.84E+09 1.92E+09 1.95E+09 1.85E+09 1.65E+09 1.45E+09 1.23E+09 9.67E+08 7.49E+08 5.79E+08 4.23E+08 2.94E+08 2.04E+08 1.40E+08 9.04E+07 5.57E+07 3.34E+07 2.02E+07 1.10E+07 6.22E+06 3.42E+06 1.81E+06 9.18E+05 4.70E+05 2.36E+05 1.02E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.937  7.11E+10 9.19E+10 1.46E+12 2.13E+09 4.22E+09 6.23E+09 7.53E+09 8.27E+09 8.63E+09 8.84E+09 8.48E+09 7.59E+09 6.73E+09 5.74E+09 4.55E+09 3.58E+09 2.81E+09 2.08E+09 1.47E+09 1.04E+09 7.29E+08 4.82E+08 3.07E+08 1.90E+08 1.18E+08 6.65E+07 3.92E+07 2.26E+07 1.25E+07 6.67E+06 3.62E+06 1.91E+06 8.51E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.972  3.22E+11 4.10E+11 6.65E+12 9.21E+09 1.82E+10 2.69E+10 3.27E+10 3.60E+10 3.77E+10 3.87E+10 3.74E+10 3.37E+10 3.02E+10 2.60E+10 2.08E+10 1.66E+10 1.31E+10 9.88E+09 7.09E+09 5.09E+09 3.65E+09 2.47E+09 1.60E+09 1.02E+09 6.55E+08 3.80E+08 2.32E+08 1.39E+08 8.00E+07 4.44E+07 2.52E+07 1.38E+07 6.42E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.006  1.05E+12 1.04E+12 1.72E+13 2.22E+10 4.41E+10 6.51E+10 8.12E+10 9.01E+10 9.52E+10 9.81E+10 9.42E+10 8.56E+10 7.72E+10 6.62E+10 5.42E+10 4.34E+10 3.47E+10 2.65E+10 1.93E+10 1.40E+10 1.01E+10 6.93E+09 4.59E+09 2.99E+09 1.94E+09 1.16E+09 7.17E+08 4.41E+08 2.62E+08 1.49E+08 8.69E+07 4.87E+07 2.33E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
