,ZA,Z,A,target,observable,value,uncertainty,unit,comment,qualifier
67,26058,26,58,Fe58_e0,D0,27600.000000000004,2600.0000000000005,eV,FE 58      STUDIED REGION NO STRONG BOUN LEVEL,
68,26058,26,58,Fe58_e0,D1,5030.000000000001,300.0,eV,FE 58     FROM URR REGION UP TO 3 MEV D0=37.6 KEV,
69,27059,27,59,Co59_e0,D0,1390.0,70.00000000000001,eV,CO 59  DES91: 1.299,
70,27059,27,59,Co59_e0,D1,900.0000000000001,47.00000000000001,eV,CO 59,
71,28058,28,58,Ni58_e0,D0,12920.000000000002,830.0,eV,NI 58    PEREY R0=6.29+-0.01  R1=4.23+-0.01,
72,28058,28,58,Ni58_e0,D1,4040.0000000000005,140.00000000000003,eV,NI 58,
73,28058,28,58,Ni58_e0,D2,3790.0000000000005,130.00000000000003,eV,NI 58,
74,28059,28,59,Ni59_e0,D0,1520.0000000000002,130.00000000000003,eV,NI 59                  eiland 13.7+-0.6,
75,28060,28,60,Ni60_e0,D0,14500.000000000002,1300.0000000000002,eV,"NI 60 NEW PTANAL.SAS UP TO  527.78 KEV  D1 DELETED TOO SMALLD1  = 3.02       0.12   K                  S0  = 3.17       0.70                                             NI 60       ""                  527.87",
76,28061,28,61,Ni61_e0,D0,1700.0000000000002,140.00000000000003,eV,NI 61,
77,28062,28,62,Ni62_e0,D0,16400.0,1400.0,eV,NI 62     NG3=23.4+-4.6MB,
78,28063,28,63,Ni63_e0,D0,4400.000000000001,800.0000000000001,eV,NI 63,
79,28064,28,64,Ni64_e0,D0,21100.000000000004,2000.0000000000002,eV,NI 64,
80,28064,28,64,Ni64_e0,D1,9200.0,600.0,eV,NI 64,
81,29063,29,63,Cu63_e0,D0,722.0,47.0,eV,CU 63,
82,29063,29,63,Cu63_e0,D1,404.0,22.0,eV,CU 63,
83,29065,29,65,Cu65_e0,D0,1520.0,100.0,eV,CU 65,
84,29065,29,65,Cu65_e0,D1,628.0,39.0,eV,CU 65,
85,30064,30,64,Zn64_e0,D0,2940.0000000000005,130.00000000000003,eV,ZN 64   URR:150KEV-1.1 MEV  D0=3.2 KEV  GG0=662  GG1=246      NG30=61.0  NG5=196,
86,30064,30,64,Zn64_e0,D1,1000.0000000000001,50.00000000000001,eV,ZN 64  CHINESE NG DATA      D0=3.2 KEV   GG0=662  GG1=316     NG30=60.9  NG5=196,
87,30066,30,66,Zn66_e0,D0,4700.000000000001,400.00000000000006,eV,ZN 66,
88,30066,30,66,Zn66_e0,D1,840.0000000000001,50.00000000000001,eV,ZN 66,
89,30067,30,67,Zn67_e0,D0,367.00000000000006,19.0,eV,"ZN 67     GG1/GG0~0.5 FROM ZN64,66,68",
90,30067,30,67,Zn67_e0,D1,123.00000000000001,5.000000000000001,eV,ZN 67,
91,30068,30,68,Zn68_e0,D0,3790.0000000000005,190.00000000000003,eV,ZN 68!!!   garg 5.56+-0.43  ptanal 2/25/15 5.820 kev,
92,30068,30,68,Zn68_e0,D1,1267.0,37.0,eV,ZN 68       DECORTE  I/NG=3.19-+0.05,
93,30070,30,70,Zn70_e0,D0,6000.000000000001,600.0,eV,ZN 70      5/11/2017   CHANGED 1981ASSIGNMENTS FOR P-WAVE RES,
94,30070,30,70,Zn70_e0,D1,2000.0000000000002,80.00000000000001,eV,"ZN 70 13.04 KEV, 56.09,60.995,106.92,107.38,152.85",
95,31069,31,69,Ga69_e0,D0F,220.0,25.0,eV,GA 69 now d0=220 from fit of capture data now d1 consistent with d0      PREVIOUSLY 316 41 !!,
96,31069,31,69,Ga69_e0,D1,123.0,60.0,eV,GA 69,
97,31071,31,71,Ga71_e0,D0F,200.0,20.0,eV,GA 71   atlas1 326 +-41 from rp,
98,31071,31,71,Ga71_e0,D1,113.0,11.0,eV,GA 71,
99,32070,32,70,Ge70_e0,D0,1170.0,230.0,eV,GE 70D0=18000 S0=3.2 PTANAL.SAS; 1170EV TO FIT UNRESOLVED REGION,
100,32072,32,72,Ge72_e0,D0,1190.0,290.0,eV,GE 72 below 13 kev was  do=2070+-290    malestsky 1550+-270 ev,
101,32073,32,73,Ge73_e0,D0,60.1,6.7,eV,GE 73    PTANAL UP TO 3 KEV;  PTANAL UP TO 5.766 kev GIVES 99+-10,
102,32074,32,74,Ge74_e0,D0,3000.0000000000005,800.0000000000001,eV,GE 74   RP+ FIT IN UNRESOLVED REGION,
103,32074,32,74,Ge74_e0,D0F,2710.0000000000005,600.0,eV,GE 74,
104,32076,32,76,Ge76_e0,D0,3630.0000000000005,900.0000000000001,eV,GE 76 AT THERMAL= IR=0.65+-0.07,
105,32076,32,76,Ge76_e0,D0F,3630.0000000000005,360.0,eV,GE 76,
106,33075,33,75,As75_e0,D0,89.3,6.0,eV,AS 75   4/29/16 ANALYSIS FROM 2.7-9.90 KEV,
107,33075,33,75,As75_e0,D1,46.6,2.6,eV,AS 75,
108,34074,34,74,Se74_e0,D0,300.0,40.0,eV,"SE 74   3(1 210, 2010) 10 OTHER NUCLEI AGREE WITH MUGHABGHAB!!",
109,34076,34,76,Se76_e0,D0,570.0,65.0,eV,SE 76,
110,34076,34,76,Se76_e0,D1,236.0,33.0,eV,SE 76,
111,34077,34,77,Se77_e0,D0,110.0,11.0,eV,SE 77,
112,34077,34,77,Se77_e0,D1,54.0,5.0,eV,SE 77,
113,34078,34,78,Se78_e0,D0,1480.0000000000002,200.00000000000003,eV,SE 78,
114,34078,34,78,Se78_e0,D1,520.0000000000001,350.0,eV,SE 78,
115,34080,34,80,Se80_e0,D0,5000.000000000001,1500.0000000000002,eV,SE 80,
116,34080,34,80,Se80_e0,D1,2200.0000000000005,1600.0000000000002,eV,SE 80,
117,34082,34,82,Se82_e0,D0F,9000.000000000002,1500.0000000000002,eV,SE 82,
118,35079,35,79,Br79_e0,D0,47.0,2.4,eV,BR 79        fitting macklin capture data with gg0=313 requires d0=47.0 ev,
119,35079,35,79,Br79_e0,D1,31.5,1.4,eV,BR 79,
120,35081,35,81,Br81_e0,D0,142.0,8.0,eV,BR 81    emax=11.55 kev,
121,35081,35,81,Br81_e0,D1,59.0,4.0,eV,BR 81    emax=6.94    for emax=8.056    d1=67-+3,
122,36078,36,78,Kr78_e0,D0,230.0,60.0,eV,KR 78  =  decays* intensity of gamma ray=0.11*0.97=0.1067,
123,36080,36,80,Kr80_e0,D0,300.0,60.0,eV,KR 80,
124,36082,36,82,Kr82_e0,D0,1240.0,100.0,eV,KR 82,
125,36083,36,83,Kr83_e0,D0,138.0,20.0,eV,KR 83   D0 UNITS CORRECTED 6/2017!!!!!,
126,36084,36,84,Kr84_e0,D0,4040.0,450.0,eV,KR 84,
127,36084,36,84,Kr84_e0,D1,1650.0,160.0,eV,KR 84,
128,36086,36,86,Kr86_e0,D0,25500.000000000004,2200.0000000000005,eV,KR 86    x,
129,36086,36,86,Kr86_e0,D1,8390.000000000002,400.00000000000006,eV,KR 86    x,
130,37085,37,85,Rb85_e0,D0,172.0,8.0,eV,RB 85 PTANAL.SAS RESULTS,
131,37085,37,85,Rb85_e0,D0F,185.0,8.0,eV,RB 85,
132,37085,37,85,Rb85_e0,D1,63.0,2.0,eV,"RB 85     """,
133,37087,37,87,Rb87_e0,D0,2030.0,210.0,eV,RB 87,
134,38084,38,84,Sr84_e0,D0,383.0,130.0,eV,SR 84            SEARS 5-+2,
135,38086,38,86,Sr86_e0,D0,2500.0,300.0,eV,SR 86   URR FIT GIVES D0=2000 PASSING THRU BAUR DATA BUT NG3=87.6!!   PTANAL GIVES 1744+-160,
136,38086,38,86,Sr86_e0,D1,840.0,140.0,eV,SR 86   D0=2500 FITS CAPTURE DATA OF BAUER ERROR 6%,
137,38087,38,87,Sr87_e0,D0,268.0,54.0,eV,SR 87  UP TO 7.9 KEV    PREVIOUSLY ATLAS1:D0  = 440        70,
138,38087,38,87,Sr87_e0,D1,118.0,11.0,eV,SR 87  NOTE D1 CONSISTENT WITH D0     ATLAS1  D1  = 156        11,
139,38088,38,88,Sr88_e0,D0,25000.000000000004,5000.000000000001,eV,SR 88,
140,38088,38,88,Sr88_e0,D1,8700.0,1100.0000000000002,eV,SR 88,
141,39089,39,89,Y89_e0,D0,3800.0,220.0,eV,Y 89,
142,39089,39,89,Y89_e0,D0F,3290.0,100.0,eV,Y 89,
143,39089,39,89,Y89_e0,D1,1423.0,43.0,eV,Y 89,
144,40090,40,90,Zr90_e0,D0,6670.000000000001,860.0000000000001,eV,ZR 90PRIOR    D0= 6.4-+1.1,
145,40090,40,90,Zr90_e0,D0F,4990.000000000001,170.00000000000003,eV,ZR 90     CORRECRWD 6/20/17,
146,40090,40,90,Zr90_e0,D1,3660.0000000000005,400.00000000000006,eV,ZR 90= PTANAL.SAS RESULT PRIOR D=3.5-+0.4 K  FOR EN<100 KEV  LATEST,
147,40091,40,91,Zr91_e0,D0,536.0,48.0,eV,ZR 91    AVERAGE WITH D1  GIVES 511+-32,
148,40091,40,91,Zr91_e0,D1,243.0,14.0,eV,ZR 91,
149,40092,40,92,Zr92_e0,D0,3800.0000000000005,510.00000000000006,eV,ZR 92,
150,40092,40,92,Zr92_e0,D1,1535.0,90.0,eV,ZR 92,
151,40093,40,93,Zr93_e0,D0,293.0,75.0,eV,ZR 93 =PTANAL.FOR VAUES     322-+36,
152,40093,40,93,Zr93_e0,D1,157.0,15.0,eV,"ZR 93  ""                     141-+11",
153,40094,40,94,Zr94_e0,D0,4000.0000000000005,730.0000000000001,eV,ZR 94    KRANE 0.0460-+0.0011  0R 0.0470+-0.0011  IN THERMAL COLUMN,
154,40094,40,94,Zr94_e0,D1,1236.0000000000002,74.0,eV,ZR 94     ARBOCCO 51.7+-0.3,
155,40096,40,96,Zr96_e0,D0,12800.000000000002,2000.0000000000002,eV,"ZR 96    WITH THIS ASSUMPTION, THIS WOULD GIVE B=6.66 F.",
156,40096,40,96,Zr96_e0,D1,4500.000000000001,500.00000000000006,eV,ZR 96     PRAJAPATI NG=24.30-+3.80 mb,
157,41093,41,93,Nb93_e0,D0,95.6,4.6,eV,NB 93  AMAZING SAS RESULT 84.8/42.4=2.00,
158,41093,41,93,Nb93_e0,D0F,110.0,10.0,eV,NB 93   D0=110 REQUIRE TO REPRODUICE ATLAS GG0 GG1,
159,41093,41,93,Nb93_e0,D1,45.5,1.6,eV,NB 93,
160,41094,41,94,Nb94_e0,D0,73.5,5.0,eV,NB 94    DO= 95.6*SPIN FACTORS=20/26,
161,42092,42,92,Mo92_e0,D0,2800.0,480.0,eV,MO 92,
162,42092,42,92,Mo92_e0,D0F,2340.0,210.0,eV,MO 92,
163,42092,42,92,Mo92_e0,D1,780.0,67.0,eV,MO 92  kuznetysova87,
164,42094,42,94,Mo94_e0,D0,1694.0,390.0,eV,MO 94 D1=450 NEW VALUE FOR PTANAL EN=FULL RANGE,
165,42094,42,94,Mo94_e0,D0F,1284.0,150.0,eV,MO 94,
166,42094,42,94,Mo94_e0,D1,450.0,40.0,eV,MO 94  kuznetsova87:,
167,42095,42,95,Mo95_e0,D0,77.3,8.3,eV,MO 95,
168,42095,42,95,Mo95_e0,D1,36.8,4.3,eV,MO 95,
169,42096,42,96,Mo96_e0,D0,1010.0,250.0,eV,MO 96    SAME AS mo95!!!!  no bound level is required,
170,42096,42,96,Mo96_e0,D0F,972.0,50.0,eV,MO 96,
171,42096,42,96,Mo96_e0,D1,324.0,25.0,eV,MO 96     NEW,
172,42097,42,97,Mo97_e0,D0,57.8,8.0,eV,MO 97MUSG. FIT IN KEV REGION D=42 GG0=130 GG1=140 S0=0.37S1=3.5,
173,42097,42,97,Mo97_e0,D0F,65.0,5.0,eV,"MO 97 WALKER LANL PR/C,92,014324,2015  USED D0=75 EV(CAPOTE)",
174,42097,42,97,Mo97_e0,D1,21.0,2.5,eV,MO 97,
175,42098,42,98,Mo98_e0,D0,858.0,42.0,eV,MO 98,
176,42098,42,98,Mo98_e0,D1,286.0,14.0,eV,MO 98,
177,42100,42,100,Mo100_e0,D0,663.0,63.0,eV,MO100,
178,42100,42,100,Mo100_e0,D1,236.0,21.0,eV,MO100,
179,43099,43,99,Tc99_e0,D0,12.8,0.5,eV,TC 99  R(L=1)=5.6-+0.5   S1=4.3-+0.4,
180,43099,43,99,Tc99_e0,D1,6.8,0.3,eV,TC 99   INCONSISTENT WITH D0,
181,44099,44,99,Ru99_e0,D0,22.0,2.1,eV,RU 99    HALPERIN64 NG=10.4-+0.7,
182,44100,44,100,Ru100_e0,D0,365.0,23.0,eV,RU100  FROM PTANAL.SAS,
183,44100,44,100,Ru100_e0,D1,121.7,7.7,eV,RU100  FROM PTANAL.SAS P3/2 ASSUMED GG=120,
184,44101,44,101,Ru101_e0,D0,18.5,1.9,eV,RU101     d0 from ptanal up to1035 ev,
185,44102,44,102,Ru102_e0,D0,382.0,20.0,eV,"RU102   IF NG=1.27-+0.03,THEN IG=3.76*1.27/1.128=4.2 IN",
186,44102,44,102,Ru102_e0,D1,127.3,6.7,eV,RU102   GOOD AGREEMENT WITH RAMBACK-STEINNES 4.2-+0.2,
187,44103,44,103,Ru103_e0,D0,25.6,3.4,eV,RU103,
188,44104,44,104,Ru104_e0,D0,460.0,28.0,eV,"RU104  FROM MACKLIN FIRST 30LEVELS D=103 D(L=0,1)=140-+17",
189,44104,44,104,Ru104_e0,D1,144.4,9.2,eV,RU104   I/D+3/D=1/103  HENCE D=4*103=410 =D0   D1=137,
190,45103,45,103,Rh103_e0,D0,29.8,1.7,eV,"RH103   MUGHABGHAB FROM LSF TOT, S1=4.15+-0.08",
191,45103,45,103,Rh103_e0,D1,14.4,0.6,eV,RH103,
192,46102,46,102,Pd102_e0,D0,200.0,20.0,eV,PD102,
193,46104,46,104,Pd104_e0,D0,243.0,21.0,eV,PD104,
194,46104,46,104,Pd104_e0,D1,73.8,3.7,eV,PD104,
195,46105,46,105,Pd105_e0,D0,10.9,0.5,eV,PD105PTANAL UP TO   SS7 EV GIVES  D1=8.29-+0.69 VALUE,
196,46105,46,105,Pd105_e0,D1,5.07,0.76,eV,PD105   BNL-KAERI,
