# Z   N   A      M      Etot    Emac    Emic     b2      b4      b6      b8      E*
  95 150 245   63.89   -1.79    4.39   -6.18    0.68    0.00    0.03   -0.02    2.23
  95 151 246   67.28   -1.64    5.01   -6.64    0.69   -0.02    0.02   -0.02    2.86
  95 152 247   69.35   -1.54    4.44   -5.98    0.68    0.00    0.03   -0.02    2.43
  96 145 241   55.30   -2.38    4.04   -6.42    0.65    0.01    0.05   -0.03    1.65
  96 146 242   56.52   -2.03    3.96   -5.99    0.66    0.01    0.04   -0.03    1.64
  96 147 243   58.56   -2.64    4.61   -7.25    0.68   -0.01    0.05   -0.03    1.57
  96 148 244   60.17   -2.16    4.65   -6.80    0.68   -0.01    0.05   -0.03    1.66
  96 149 245   62.98   -2.25    4.41   -6.66    0.68    0.01    0.05   -0.03    1.97
  96 150 246   64.61   -2.00    4.30   -6.30    0.68   -0.01    0.04   -0.02    1.89
  96 151 247   67.89   -1.88    4.63   -6.51    0.70   -0.01    0.04   -0.03    2.60
  96 152 248   69.68   -1.73    4.32   -6.04    0.69    0.00    0.03   -0.03    2.24
  96 153 249   73.14   -1.67    4.60   -6.26    0.70   -0.02    0.03   -0.02    2.20
  96 154 250   75.16   -1.53    4.51   -6.04    0.71   -0.01    0.03   -0.03    2.12
  97 147 244   61.62   -3.46    4.28   -7.74    0.69   -0.02    0.04   -0.03    1.26
  97 148 245   63.16   -2.98    4.21   -7.19    0.69   -0.02    0.03   -0.03    1.37
  97 149 246   65.72   -2.98    4.29   -7.27    0.70    0.00    0.05   -0.04    1.85
  97 150 247   67.17   -2.84    4.37   -7.21    0.70   -0.02    0.03   -0.03    1.66
  97 151 248   69.97   -2.86    5.31   -8.17    0.74   -0.03    0.04   -0.04    2.31
  97 152 249   71.75   -2.64    5.48   -8.12    0.74   -0.04    0.03   -0.03    1.98
  97 153 250   74.61   -2.85    6.36   -9.21    0.78   -0.06    0.03   -0.03    1.69
  98 152 250   73.11   -2.70    4.01   -6.71    0.71   -0.02    0.03   -0.03    1.83
  98 153 251   75.98   -2.82    5.74   -8.56    0.78   -0.06    0.03   -0.03    1.63
  98 154 252   77.66   -2.63    5.16   -7.79    0.76   -0.04    0.03   -0.03    1.58
  98 155 253   80.47   -3.06    6.78   -9.84    0.83   -0.08    0.03   -0.03    1.06
